Title,Description,HTML,Download,Service
</td>
<td class=""views-field views-field-edit-node"">
</td>
</tr>
<tr class=""even"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Moultrie          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1590"">2011</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            Available          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/moultrie/moultrie_2011_metadata.xml"" target=""_blank"">Metadata</a> </td>
<td class=""views-field views-field-field-lidar-tile-index"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/moultrie/moultrie_tile_index.zip"">Tile Index</a> </td>
<td class=""views-field views-field-field-lidar-county-breaklines"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/moultrie/moultrie_hydro_breaklines.zip"">Breaklines</a> </td>
<td class=""views-field views-field-field-lidar-derivatives-size"">
<a href=""/Derivatives""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/moultrie/moultrie2011.zip"">Derivatives</a> (5.7 GB)</a> </td>
<td class=""views-field views-field-field-lidar-las-size"">
<a href=""/LAS""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/moultrie/moultrie-las.zip"">LAS</a> (10.5 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dgn-size"">
<a href=""/DGN""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/moultrie/moultrie-dgn.zip"">DGN</a> (16.1 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dat-size"">
<a href=""/DAT""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/moultrie/moultrie-dat.zip"">DAT</a> (4.8 GB)
</a> </td>
<td class=""views-field views-field-field-lidar-tin-size"">
<a href=""/TIN""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/moultrie/moultrie-tin.zip"">TIN</a> (23.9 GB)
</a> </td>
<td class=""views-field views-field-edit-node"">
</td>
</tr>
<tr class=""odd"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Ogle          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1591"">2009</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            Available          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/ogle/ogle_2009_metadata.xml"" target=""_blank"">Metadata</a> </td>
<td class=""views-field views-field-field-lidar-tile-index"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/ogle/ogle_tile_index.zip"">Tile Index</a> </td>
<td class=""views-field views-field-field-lidar-county-breaklines"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/ogle/ogle_hydro_breaklines.zip"">Breaklines</a> </td>
<td class=""views-field views-field-field-lidar-derivatives-size"">
<a href=""/Derivatives""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/ogle/ogle2009.zip"">Derivatives</a> (21.4 GB)</a> </td>
<td class=""views-field views-field-field-lidar-las-size"">
<a href=""/LAS""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/ogle/ogle-las.zip"">LAS</a> (34.0 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dgn-size"">
<a href=""/DGN""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/ogle/ogle-dgn.zip"">DGN</a> (35.4 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dat-size"">
<a href=""/DAT""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/ogle/ogle-dat.zip"">DAT</a> (10.7 GB)
</a> </td>
<td class=""views-field views-field-field-lidar-tin-size"">
<a href=""/TIN""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/ogle/ogle-tin.zip"">TIN</a> (54.3 GB)
</a> </td>
<td class=""views-field views-field-edit-node"">
</td>
</tr>
<tr class=""even"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Peoria          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1592"">2012</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            Available          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/peoria/peoria_2012_metadata.xml"" target=""_blank"">Metadata</a> </td>
<td class=""views-field views-field-field-lidar-tile-index"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/peoria/peoria_tile_index.zip"">Tile Index</a> </td>
<td class=""views-field views-field-field-lidar-county-breaklines"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/peoria/peoria_hydro_breaklines.zip"">Breaklines</a> </td>
<td class=""views-field views-field-field-lidar-derivatives-size"">
<a href=""/Derivatives""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/peoria/peoria2012.zip"">Derivatives</a> (13.6 GB)</a> </td>
<td class=""views-field views-field-field-lidar-las-size"">
<a href=""/LAS""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/peoria/peoria-las.zip"">LAS</a> (24.5 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dgn-size"">
<a href=""/DGN""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/peoria/peoria-dgn.zip"">DGN</a> (37.2 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dat-size"">
<a href=""/DAT""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/peoria/peoria-dat.zip"">DAT</a> (11.0 GB)
</a> </td>
<td class=""views-field views-field-field-lidar-tin-size"">
<a href=""/TIN""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/peoria/peoria-tin.zip"">TIN</a> (52.6 GB)
</a> </td>
<td class=""views-field views-field-edit-node"">
</td>
</tr>
<tr class=""odd"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Peoria          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1593"">2008</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            By Request          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
</td>
<td class=""views-field views-field-field-lidar-tile-index"">
</td>
<td class=""views-field views-field-field-lidar-county-breaklines"">
</td>
<td class=""views-field views-field-field-lidar-derivatives-size"">
<a href=""/Derivatives""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/peoria/peoria2008.zip"">Derivatives</a> (7.5 GB)</a> </td>
<td class=""views-field views-field-field-lidar-las-size"">
</td>
<td class=""views-field views-field-field-lidar-dgn-size"">
</td>
<td class=""views-field views-field-field-lidar-dat-size"">
</td>
<td class=""views-field views-field-field-lidar-tin-size"">
</td>
<td class=""views-field views-field-edit-node"">
</td>
</tr>
<tr class=""even"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Perry          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1594"">2014</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            Available          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/perry/Perry_County_2014.xml"" target=""_blank"">Metadata</a> </td>
<td class=""views-field views-field-field-lidar-tile-index"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/perry/perry_tile_index.zip"">Tile Index</a> </td>
<td class=""views-field views-field-field-lidar-county-breaklines"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/perry/perry_hydro_breaklines.zip"">Breaklines</a> </td>
<td class=""views-field views-field-field-lidar-derivatives-size"">
<a href=""/Derivatives""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/perry/perry2014.zip"">Derivatives</a> (12.5 GB)</a> </td>
<td class=""views-field views-field-field-lidar-las-size"">
<a href=""/LAS""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/perry/perry-las.zip"">LAS</a> (33.1 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dgn-size"">
<a href=""/DGN""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/perry/perry-dgn.zip"">DGN</a> (31.2 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dat-size"">
<a href=""/DAT""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/perry/perry-dat.zip"">DAT</a> (7.9 GB)
</a> </td>
<td class=""views-field views-field-field-lidar-tin-size"">
<a href=""/TIN""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/perry/perry-tin.zip"">TIN</a> (29.0 GB)
</a> </td>
<td class=""views-field views-field-edit-node"">
</td>
</tr>
<tr class=""odd"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Piatt          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1595"">2012</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            Available          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/piatt/piatt_2012_metadata.xml"" target=""_blank"">Metadata</a> </td>
<td class=""views-field views-field-field-lidar-tile-index"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/piatt/piatt-las.zip"">Tile Index</a> </td>
<td class=""views-field views-field-field-lidar-county-breaklines"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/piatt/piatt_hydro_breaklines.zip"">Breaklines</a> </td>
<td class=""views-field views-field-field-lidar-derivatives-size"">
<a href=""/Derivatives""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/piatt/piatt2012.zip"">Derivatives</a> (17.0 GB)</a> </td>
<td class=""views-field views-field-field-lidar-las-size"">
<a href=""/LAS""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/piatt/piatt-las.zip"">LAS</a> (29.9 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dgn-size"">
<a href=""/DGN""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/piatt/piatt-dgn.zip"">DGN</a> (46.6 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dat-size"">
<a href=""/DAT""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/piatt/piatt-dat.zip"">DAT</a> (13.1 GB)
</a> </td>
<td class=""views-field views-field-field-lidar-tin-size"">
<a href=""/TIN""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/piatt/piatt-tin.zip"">TIN</a> (70.1 GB)
</a> </td>
<td class=""views-field views-field-edit-node"">
</td>
</tr>
<tr class=""even"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Piatt          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1596"">2011</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            By Request          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
</td>
<td class=""views-field views-field-field-lidar-tile-index"">
</td>
<td class=""views-field views-field-field-lidar-county-breaklines"">
</td>
<td class=""views-field views-field-field-lidar-derivatives-size"">
<a href=""/Derivatives""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/piatt/2011/piatt2011.zip"">Derivatives</a> (32.0 GB)</a> </td>
<td class=""views-field views-field-field-lidar-las-size"">
</td>
<td class=""views-field views-field-field-lidar-dgn-size"">
</td>
<td class=""views-field views-field-field-lidar-dat-size"">
</td>
<td class=""views-field views-field-field-lidar-tin-size"">
</td>
<td class=""views-field views-field-edit-node"">
</td>
</tr>
<tr class=""odd"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Pike          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1597"">2015</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            Available          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/pike/pike_2015_metadata.xml"" target=""_blank"">Metadata</a> </td>
<td class=""views-field views-field-field-lidar-tile-index"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/pike/Pike_Tile_Index.zip"">Tile Index</a> </td>
<td class=""views-field views-field-field-lidar-county-breaklines"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/pike/Pike_Hydro_Breaklines.zip"">Breaklines</a> </td>
<td class=""views-field views-field-field-lidar-derivatives-size"">
<a href=""/Derivatives""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/pike/pike2015.zip"">Derivatives</a> (116.0 GB)</a> </td>
<td class=""views-field views-field-field-lidar-las-size"">
<a href=""/LAS""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/pike/pike-las.zip"">LAS</a> (197.0 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dgn-size"">
</td>
<td class=""views-field views-field-field-lidar-dat-size"">
</td>
<td class=""views-field views-field-field-lidar-tin-size"">
</td>
<td class=""views-field views-field-edit-node"">
</td>
</tr>
<tr class=""even"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Pope          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1598"">2014</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            Available          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/pope/pope_2014_metadata.xml"" target=""_blank"">Metadata</a> </td>
<td class=""views-field views-field-field-lidar-tile-index"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/pope/pope_tile_index.zip"">Tile Index</a> </td>
<td class=""views-field views-field-field-lidar-county-breaklines"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/pope/pope_hydro_breaklines.zip"">Breaklines</a> </td>
<td class=""views-field views-field-field-lidar-derivatives-size"">
<a href=""/Derivatives""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/pope/pope2014.zip"">Derivatives</a> (17.2 GB)</a> </td>
<td class=""views-field views-field-field-lidar-las-size"">
<a href=""/LAS""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/pope/las.zip"">LAS</a> (4.9 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dgn-size"">
</td>
<td class=""views-field views-field-field-lidar-dat-size"">
<a href=""/DAT""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/pope/pope-dat.zip"">DAT</a> (8.3 GB)
</a> </td>
<td class=""views-field views-field-field-lidar-tin-size"">
<a href=""/TIN""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/pope/pope-tin.zip"">TIN</a> (43.9 GB)
</a> </td>
<td class=""views-field views-field-edit-node"">
</td>
</tr>
<tr class=""odd"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Pope          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1599"">2011</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            By Request          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
</td>
<td class=""views-field views-field-field-lidar-tile-index"">
</td>
<td class=""views-field views-field-field-lidar-county-breaklines"">
</td>
<td class=""views-field views-field-field-lidar-derivatives-size"">
</td>
<td class=""views-field views-field-field-lidar-las-size"">
</td>
<td class=""views-field views-field-field-lidar-dgn-size"">
</td>
<td class=""views-field views-field-field-lidar-dat-size"">
</td>
<td class=""views-field views-field-field-lidar-tin-size"">
</td>
<td class=""views-field views-field-edit-node"">
</td>
</tr>
<tr class=""even"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Pulaski          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1600"">2012</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            Available          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/pulaski/pulaski_2012_metadata.xml"" target=""_blank"">Metadata</a> </td>
<td class=""views-field views-field-field-lidar-tile-index"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/pulaski/pulaski_tile_index.zip"">Tile Index</a> </td>
<td class=""views-field views-field-field-lidar-county-breaklines"">
</td>
<td class=""views-field views-field-field-lidar-derivatives-size"">
<a href=""/Derivatives""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/pulaski/pulaski2012.zip"">Derivatives</a> (6.3 GB)</a> </td>
<td class=""views-field views-field-field-lidar-las-size"">
<a href=""/LAS""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/pulaski/pulaski-las.zip"">LAS</a> (8.1 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dgn-size"">
</td>
<td class=""views-field views-field-field-lidar-dat-size"">
</td>
<td class=""views-field views-field-field-lidar-tin-size"">
</td>
<td class=""views-field views-field-edit-node"">
</td>
</tr>
<tr class=""odd"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Putnam          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1601"">2012</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            Available          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/putnam/putnam_2012_metadata.xml"" target=""_blank"">Metadata</a> </td>
<td class=""views-field views-field-field-lidar-tile-index"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/putnam/putnam_tile_index.zip"">Tile Index</a> </td>
<td class=""views-field views-field-field-lidar-county-breaklines"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/putnam/putnam_hydro_breaklines.zip"">Breaklines</a> </td>
<td class=""views-field views-field-field-lidar-derivatives-size"">
<a href=""/Derivatives""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/putnam/putnam2012.zip"">Derivatives</a> (4.0 GB)</a> </td>
<td class=""views-field views-field-field-lidar-las-size"">
<a href=""/LAS""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/putnam/putnam-las.zip"">LAS</a> (5.6 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dgn-size"">
<a href=""/DGN""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/putnam/putnam-dgn.zip"">DGN</a> (9.6 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dat-size"">
<a href=""/DAT""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/putnam/putnam-dat.zip"">DAT</a> (2.9 GB)
</a> </td>
<td class=""views-field views-field-field-lidar-tin-size"">
<a href=""/TIN""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/putnam/putnam-tin.zip"">TIN</a> (14.1 GB)
</a> </td>
<td class=""views-field views-field-edit-node"">
</td>
</tr>
<tr class=""even"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Randolph          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1602"">2012</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            Available          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/randolph/randolph_2012_metadata.xml"" target=""_blank"">Metadata</a> </td>
<td class=""views-field views-field-field-lidar-tile-index"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/randolph/randolph_tile_index.zip"">Tile Index</a> </td>
<td class=""views-field views-field-field-lidar-county-breaklines"">
</td>
<td class=""views-field views-field-field-lidar-derivatives-size"">
<a href=""/Derivatives""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/randolph/randolph2012.zip"">Derivatives</a> (16.7 GB)</a> </td>
<td class=""views-field views-field-field-lidar-las-size"">
<a href=""/LAS""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/randolph/randolph-las.zip"">LAS</a> (32.2 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dgn-size"">
</td>
<td class=""views-field views-field-field-lidar-dat-size"">
</td>
<td class=""views-field views-field-field-lidar-tin-size"">
</td>
<td class=""views-field views-field-edit-node"">
</td>
</tr>
<tr class=""odd"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Richland          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1603"">2011</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            Available          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/richland/richland_2011_metadata.xml"" target=""_blank"">Metadata</a> </td>
<td class=""views-field views-field-field-lidar-tile-index"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/richland/richland_tile_index.zip"">Tile Index</a> </td>
<td class=""views-field views-field-field-lidar-county-breaklines"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/richland/richland_hydro_breaklines.zip"">Breaklines</a> </td>
<td class=""views-field views-field-field-lidar-derivatives-size"">
<a href=""/Derivatives""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/richland/richland2011.zip"">Derivatives</a> (12.4 GB)</a> </td>
<td class=""views-field views-field-field-lidar-las-size"">
<a href=""/LAS""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/richland/richland-las.zip"">LAS</a> (13.6 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dgn-size"">
<a href=""/DGN""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/richland/richland-dgn.zip"">DGN</a> (25.0 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dat-size"">
<a href=""/DAT""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/richland/richland-dat.zip"">DAT</a> (7.4 GB)
</a> </td>
<td class=""views-field views-field-field-lidar-tin-size"">
<a href=""/TIN""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/richland/richland-tin.zip"">TIN</a> (36.9 GB)
</a> </td>
<td class=""views-field views-field-edit-node"">
</td>
</tr>
<tr class=""even"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Rock Island          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1604"">2009</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            Available          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/rockisland/rockisland_2009_metadata.xml"" target=""_blank"">Metadata</a> </td>
<td class=""views-field views-field-field-lidar-tile-index"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/rockisland/rockisland_tile_index.zip"">Tile Index</a> </td>
<td class=""views-field views-field-field-lidar-county-breaklines"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/rockisland/rockisland_hydro_breaklines.zip"">Breaklines</a> </td>
<td class=""views-field views-field-field-lidar-derivatives-size"">
<a href=""/Derivatives""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/rockisland/rockisland2009.zip"">Derivatives</a> (3.1 GB)</a> </td>
<td class=""views-field views-field-field-lidar-las-size"">
<a href=""/LAS""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/rockisland/rockisland-las.zip"">LAS</a> (21.8 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dgn-size"">
<a href=""/DGN""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/rockisland/rockisland-dgn.zip"">DGN</a> (17.5 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dat-size"">
<a href=""/DAT""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/rockisland/rockisland-dat.zip"">DAT</a> (5.2 GB)
</a> </td>
<td class=""views-field views-field-field-lidar-tin-size"">
<a href=""/TIN""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/rockisland/rockisland-tin.zip"">TIN</a> (25.6 GB)
</a> </td>
<td class=""views-field views-field-edit-node"">
</td>
</tr>
<tr class=""odd"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Saline          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1605"">2011</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            Available          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/saline/saline_2011_metadata.xml"" target=""_blank"">Metadata</a> </td>
<td class=""views-field views-field-field-lidar-tile-index"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/saline/saline_tile_index.zip"">Tile Index</a> </td>
<td class=""views-field views-field-field-lidar-county-breaklines"">
</td>
<td class=""views-field views-field-field-lidar-derivatives-size"">
<a href=""/Derivatives""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/saline/saline2011.zip"">Derivatives</a> (17.5 GB)</a> </td>
<td class=""views-field views-field-field-lidar-las-size"">
<a href=""/LAS""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-east/saline/saline-las.zip"">LAS</a> (15.8 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dgn-size"">
</td>
<td class=""views-field views-field-field-lidar-dat-size"">
</td>
<td class=""views-field views-field-field-lidar-tin-size"">
</td>
<td class=""views-field views-field-edit-node"">
</td>
</tr>
<tr class=""even"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Sangamon          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1606"">2018</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            Available          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/sangamon/sangamon_2018_metadata.xml"" target=""_blank"">Metadata</a> </td>
<td class=""views-field views-field-field-lidar-tile-index"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/sangamon/Sangamon_Tile_Index.zip"">Tile Index</a> </td>
<td class=""views-field views-field-field-lidar-county-breaklines"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/sangamon/Sangamon_Hydro_Breaklines.zip"">Breaklines</a> </td>
<td class=""views-field views-field-field-lidar-derivatives-size"">
<a href=""/Derivatives""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/sangamon/sangamon2018.zip"">Derivatives</a> (48.8 GB)</a> </td>
<td class=""views-field views-field-field-lidar-las-size"">
<a href=""/LAS""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/sangamon/sangamon-las.zip"">LAS</a> (237.0 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dgn-size"">
</td>
<td class=""views-field views-field-field-lidar-dat-size"">
</td>
<td class=""views-field views-field-field-lidar-tin-size"">
</td>
<td class=""views-field views-field-edit-node"">
</td>
</tr>
<tr class=""odd"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Schuyler          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1607"">2017</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            Available          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/schuyler/schuyler_2017_metadata.xml"" target=""_blank"">Metadata</a> </td>
<td class=""views-field views-field-field-lidar-tile-index"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/schuyler/Schuyler_Tile_Index.zip"">Tile Index</a> </td>
<td class=""views-field views-field-field-lidar-county-breaklines"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/schuyler/Schuyler_Hydro_Breaklines.zip"">Breaklines</a> </td>
<td class=""views-field views-field-field-lidar-derivatives-size"">
<a href=""/Derivatives""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/schuyler/schuyler2017.zip"">Derivatives</a> (28.1 GB)</a> </td>
<td class=""views-field views-field-field-lidar-las-size"">
<a href=""/LAS""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/schuyler/schuyler-las.zip"">LAS</a> (164.0 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dgn-size"">
</td>
<td class=""views-field views-field-field-lidar-dat-size"">
</td>
<td class=""views-field views-field-field-lidar-tin-size"">
</td>
