245,034$d,034$e,034$f,034$g,650,651,520$a
"10$aSeminole Bat distribution in North America.","-97.157585","-75.459503","36.970539","25.333305","\7$abiota.$2ISO 19115 Topic Category|\7$aLasiurus seminolus.$2ISO 19115 Topic Category|\7$aSeminole Bat.$2ISO 19115 Topic Category|\7$aBiology.$2ISO 19115 Topic Category|\7$aZoology.$2ISO 19115 Topic Category|\7$aMammals.$2ISO 19115 Topic Category|\7$aBats.$2ISO 19115 Topic Category|\7$aDistribution.$2ISO 19115 Topic Category|\7$aBiogeography.$2ISO 19115 Topic Category|\7$aZoogeography.$2ISO 19115 Topic Category|\7$aRanges.$2ISO 19115 Topic Category","\0$aNorth America.|\0$aMid-Atlantic.","batSeminole."
"10$aSilver-haired Bat distribution in North America.","-134.430405","-65.464493","58.952316","29.071190","\7$abiota.$2ISO 19115 Topic Category|\7$aSilver-haired Bat.$2ISO 19115 Topic Category|\7$aLasionycteris noctivagans.$2ISO 19115 Topic Category|\7$aBiology.$2ISO 19115 Topic Category|\7$aZoology.$2ISO 19115 Topic Category|\7$aMammals.$2ISO 19115 Topic Category|\7$aBats.$2ISO 19115 Topic Category|\7$aDistribution.$2ISO 19115 Topic Category|\7$aBiogeography.$2ISO 19115 Topic Category|\7$aZoogeography.$2ISO 19115 Topic Category|\7$aRanges.$2ISO 19115 Topic Category","\0$aNorth America.|\0$aMid-Atlantic.","batSilverhaired."
"10$aSoutheastern Myotis distribution in North America.","-96.368172","-75.459503","39.274239","27.266016","\7$abiota.$2ISO 19115 Topic Category|\7$aSoutheastern Myotis.$2ISO 19115 Topic Category|\7$aMyotis austroriparius.$2ISO 19115 Topic Category|\7$aBiology.$2ISO 19115 Topic Category|\7$aZoology.$2ISO 19115 Topic Category|\7$aMammals.$2ISO 19115 Topic Category|\7$aBats.$2ISO 19115 Topic Category|\7$aDistribution.$2ISO 19115 Topic Category|\7$aBiogeography.$2ISO 19115 Topic Category|\7$aZoogeography.$2ISO 19115 Topic Category|\7$aRanges.$2ISO 19115 Topic Category","\0$aNorth America.|\0$aMid-Atlantic.","batSoutheasternMyotis."
"10$aTownsend's Big-eared Bat distribution in North America.","-125.333229","-78.669533","52.356689","16.836159","\7$abiota.$2ISO 19115 Topic Category|\7$aTownsend's Big-eared Bat.$2ISO 19115 Topic Category|\7$aCorynorhinus townsendii.$2ISO 19115 Topic Category|\7$aBiology.$2ISO 19115 Topic Category|\7$aZoology.$2ISO 19115 Topic Category|\7$aMammals.$2ISO 19115 Topic Category|\7$aBats.$2ISO 19115 Topic Category|\7$aDistribution.$2ISO 19115 Topic Category|\7$aBiogeography.$2ISO 19115 Topic Category|\7$aZoogeography.$2ISO 19115 Topic Category|\7$aRanges.$2ISO 19115 Topic Category","\0$aNorth America.|\0$aMid-Atlantic.","batTownsendBigeared."
"10$aBaywide_LandCover_UVM_CC_WorldView.","-81.146584","-73.273577","44.778215","36.212922","\0$aChesapeake Bay Program Partnership; University of Vermont Spatial Analysis Laboratory; Chesapeake Conservancy; WorldView Solutions Inc.; Land Cover.",,"Baywide_LandCover."
"10$aPennsylvania Breeding Bird Atlas 2 - Grid.",,,,,"\7$abiota.$2ISO 19115 Topic Categories|\7$abirds.$2ISO 19115 Topic Categories|\7$abird.$2ISO 19115 Topic Categories|\7$aBBA.$2ISO 19115 Topic Categories|\7$abreeding.$2ISO 19115 Topic Categories|\7$ablocks.$2ISO 19115 Topic Categories","\0$aPennsylvania.","BBA_appGrid."
"10$aPennsylvania Breeding Bird Atlas 2 - Regions.",,,,,"\7$abiota.$2ISO 19115 Topic Categories|\7$abirds.$2ISO 19115 Topic Categories|\7$abird.$2ISO 19115 Topic Categories|\7$aBBA.$2ISO 19115 Topic Categories|\7$abreeding.$2ISO 19115 Topic Categories|\7$ablocks.$2ISO 19115 Topic Categories","\0$aPennsylvania.","BBA_appRegions."
"10$aPennsylvania Breeding Bird Atlas 2 - Survey Points.",,,,,"\7$abiota.$2ISO 19115 Topic Categories|\7$abirds.$2ISO 19115 Topic Categories|\7$abird.$2ISO 19115 Topic Categories|\7$aBBA.$2ISO 19115 Topic Categories|\7$abreeding.$2ISO 19115 Topic Categories|\7$ablocks.$2ISO 19115 Topic Categories","\0$aPennsylvania.","BBA_appSurveyPoints."
"10$aNorth American Breeding Bird Survey Routes.","-176.667206","-52.677616","69.155037","24.589844","\7$apopulation change.$2ISO 19115 Topic Categories|\7$atrends.$2ISO 19115 Topic Categories|\7$asurveys.$2ISO 19115 Topic Categories|\7$aroute-regression.$2ISO 19115 Topic Categories|\7$arelative abundance.$2ISO 19115 Topic Categories|\7$apopulation trend.$2ISO 19115 Topic Categories|\7$apopulation change.$2ISO 19115 Topic Categories|\7$aestimating equation.$2ISO 19115 Topic Categories|\7$adistribution.$2ISO 19115 Topic Categories|\7$abird counts.$2ISO 19115 Topic Categories|\7$abreeding bird survey.$2ISO 19115 Topic Categories|\7$abreeding birds.$2ISO 19115 Topic Categories|\7$aabundance.$2ISO 19115 Topic Categories|\7$abiota.$2ISO 19115 Topic Categories|\7$aEARTH SCIENCE > BIOSPHERE > ECOLOGICAL DYNAMICS > POPULATION DYNAMICS.$2ISO 19115 Topic Categories|\7$aEARTH SCIENCE > BIOSPHERE > ZOOLOGY > BIRDS.$2ISO 19115 Topic Categories|\7$aEARTH SCIENCE > BIOSPHERE > ECOLOGICAL DYNAMICS > ABUNDANCE > Relative Abundance.$2ISO 19115 Topic Categories|\7$aEARTH SCIENCE > BIOSPHERE > ECOLOGICAL DYNAMICS > ABUNDANCE > Species Abundance.$2ISO 19115 Topic Categories","\7$aNorth America.$2none|\7$aAlaska.$2none|\7$aCanada.$2none|\7$aMexico.$2none|\7$aUnited Status.$2none","bbs_geog83."
"10$aPFBC Best Fishing Waters Streams.","-80.519250","-74.953620","42.254430","39.743440","\7$aFishing.$2ISO 19115 Topic Categories|\7$aRecreation.$2ISO 19115 Topic Categories|\7$ainlandWaters.$2ISO 19115 Topic Categories","\0$aPennsylvania.","BestFishingWaters_Streams201701."
"10$aBituminous_Coal_Mine_Permits_12022016.","-76.649616","-76.027413","40.846739","40.578533","\7$ageology geo geologic geological.$2ISO 19115 Topic Categories|\7$amining.$2ISO 19115 Topic Categories|\7$acoal.$2ISO 19115 Topic Categories|\7$aAnthracite.$2ISO 19115 Topic Categories|\7$aGeoscientific Information.$2ISO 19115 Topic Categories",,"Bituminous_Coal_Mine_Permits_12022016."
"10$aBoating Special Regulation Lakes (Polygons)","-80.541600","-74.816150","42.375000","39.721460","\7$aBoating.$2ISO 19115 Topic Categories|\7$aSpecial Regulation Waters.$2ISO 19115 Topic Categories|\7$aLakes.$2ISO 19115 Topic Categories|\7$ainlandWaters.$2ISO 19115 Topic Categories","\0$aPennsylvania.","Boating_SpecReg_Lakes201601."
"10$aBoating Special Regulation Waters (Points)","-80.504110","-74.815830","42.173060","39.766580","\7$aBoating.$2ISO 19115 Topic Categories|\7$aSpecial Regulation Waters.$2ISO 19115 Topic Categories|\7$aLakes.$2ISO 19115 Topic Categories|\7$aStreams.$2ISO 19115 Topic Categories|\7$aRivers.$2ISO 19115 Topic Categories|\7$ainlandWaters.$2ISO 19115 Topic Categories","\0$aPennsylvania.","Boating_SpecReg_Pt201601."
"10$aBoating Special Regulation Streams.","-80.309310","-74.734560","41.905420","39.848260","\7$aBoating.$2ISO 19115 Topic Categories|\7$aSpecial Regulation Waters.$2ISO 19115 Topic Categories|\7$aStreams.$2ISO 19115 Topic Categories|\7$aRivers.$2ISO 19115 Topic Categories|\7$ainlandWaters.$2ISO 19115 Topic Categories","\0$aPennsylvania.","Boating_SpecReg_Streams201601."
"10$aButler County Parcels.","-80.174514","-79.668119","41.179624","40.659865","\7$aboundaries.$2ISO 19115 Topic Categories|\7$aplanning Cadastre.$2ISO 19115 Topic Categories","\0$aPA.|\0$aBulter County.","ButlerCounty_Parcels201002."
"10$aCAF - Fish Habitat.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2ISO 19115 Topic Categories|\7$aCentral Appalachian Forest.$2ISO 19115 Topic Categories|\7$aAquatic Resources.$2ISO 19115 Topic Categories|\7$afish habitat.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Aquatic_Fish_Habitat."
"10$aCAF - Floodplains.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2ISO 19115 Topic Categories|\7$aCentral Appalachian Forest.$2ISO 19115 Topic Categories|\7$aAquatic Resources.$2ISO 19115 Topic Categories|\7$afloodplains.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Aquatic_Floodplains."
"10$aCAF - Forested Water Quality.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2ISO 19115 Topic Categories|\7$aCentral Appalachian Forest.$2ISO 19115 Topic Categories|\7$aAquatic Resources.$2ISO 19115 Topic Categories|\7$aforested water quality.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Aquatic_ForestedWaterQuality."
"10$aCAF - Headwaters.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2ISO 19115 Topic Categories|\7$aCentral Appalachian Forest.$2ISO 19115 Topic Categories|\7$aAquatic Resources.$2ISO 19115 Topic Categories|\7$aheadwaters.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Aquatic_Headwaters."
"10$aCAF - Aquatic Herp Habitat.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2ISO 19115 Topic Categories|\7$aCentral Appalachian Forest.$2ISO 19115 Topic Categories|\7$aAquatic Resources.$2ISO 19115 Topic Categories|\7$aaquatic herp habitat.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Aquatic_Herp_Habitat."
"10$aCAF - Aquatic Hydric Soils.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2ISO 19115 Topic Categories|\7$aCentral Appalachian Forest.$2ISO 19115 Topic Categories|\7$aAquatic Resources.$2ISO 19115 Topic Categories|\7$ahydric soils.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Aquatic_Hydric_Soils."
"10$aCAF - Aquatic Impervious Change.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2SO 19115 Topic Categories|\7$aCentral Appalachian Forest.$2SO 19115 Topic Categories|\7$aAquatic Resources.$2SO 19115 Topic Categories|\7$aimpervious cover change.$2SO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2SO 19115 Topic Categories","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Aquatic_Impervious_Change."
"10$aCAF - Aquatic Impervious Cover.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2ISO 19115 Topic Categories|\7$aCentral Appalachian Forest.$2ISO 19115 Topic Categories|\7$aAquatic Resources.$2ISO 19115 Topic Categories|\7$aimpervious cover (2000)$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Aquatic_Impervious_Cover."
"10$aCAF - Aquatic Resources Combined.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2ISO 19115 Topic Categories|\7$aCentral Appalachian Forest.$2ISO 19115 Topic Categories|\7$aAquatic Resources.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Aquatic_Resources_Combined."
"10$aCAF - Aquatic Riparian Buffer Quality.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2ISO 19115 Topic Categories|\7$aCentral Appalachian Forest.$2ISO 19115 Topic Categories|\7$aAquatic Resources.$2ISO 19115 Topic Categories|\7$ariparian buffer quality.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Aquatic_RiparianBufferQuality."
"10$aCAF - Aquatic Water Quality.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2ISO 19115 Topic Categories|\7$aCentral Appalachian Forest.$2ISO 19115 Topic Categories|\7$aAquatic Resources.$2ISO 19115 Topic Categories|\7$awater quality.$2ISO 19115 Topic Categories|\7$a303d.$2ISO 19115 Topic Categories|\7$a305b.$2ISO 19115 Topic Categories","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Aquatic_Water_Quality."
"10$aCAF - Aquatic Wetlands NWI.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2ISO 19115 Topic Categories|\7$aCentral Appalachian Forest.$2ISO 19115 Topic Categories|\7$aAquatic Resources.$2ISO 19115 Topic Categories|\7$awetlands.$2ISO 19115 Topic Categories|\7$aNational Wetlands Inventory.$2ISO 19115 Topic Categories","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Aquatic_Wetlands_NWI."
"10$aCAF - Terrestrial Bird Habitat.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2ISO 19115 Topic Categories|\7$aTerrestrial Reqources.$2ISO 19115 Topic Categories|\7$aCentral Appalachian Forest.$2ISO 19115 Topic Categories|\7$abird habitat.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Terrestrial_Bird_Habitat."
"10$aCAF - Terrestrial Grasslands.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2ISO 19115 Topic Categories|\7$aCentral Appalachian Forest.$2ISO 19115 Topic Categories|\7$aTerrestrial Resources.$2ISO 19115 Topic Categories|\7$agrasslands.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Terrestrial_Grasslands."
"10$aCAF - Terrestrial Herp Habitat.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2ISO 19115 Topic Categories|\7$aCentral Appalachian Forest.$2ISO 19115 Topic Categories|\7$aTerrestrial Resources.$2ISO 19115 Topic Categories|\7$aherp habitat.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Terrestrial_Herp_Habitat."
"10$aCAF - Terrestrial Important Bird Areas.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2SO 19115 Topic Categories|\7$aCentral Appalachian Forest.$2SO 19115 Topic Categories|\7$aTerrestrial Resources.$2SO 19115 Topic Categories|\7$aimportant bird areas.$2SO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2SO 19115 Topic Categories","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Terrestrial_ImportantBirdAreas."
"10$aCAF - Terrestrial Important Mammal Areas.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2ISO 19115 Topic Categories|\7$aCentral Appalachian Forest.$2ISO 19115 Topic Categories|\7$aTerrestrial Resources.$2ISO 19115 Topic Categories|\7$aimportant mammal areas.$2ISO 19115 Topic Categories|\7$amageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Terrestrial_ImportantMammalAreas."
"10$aCAF - Terrestrial Interior Forest.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2ISO 19115 Topic Categories|\7$aCentral Appalachian Forest.$2ISO 19115 Topic Categories|\7$aTerrestrial Resources.$2ISO 19115 Topic Categories|\7$ainterior forest.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Terrestrial_Interior_Forest."
"10$aCAF - Terrestrial Mammal Habitat.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2ISO 19115 Topic Categories|\7$aCentral Appalachian Forest.$2ISO 19115 Topic Categories|\7$aTerrestrial Resources.$2ISO 19115 Topic Categories|\7$amammal habitat.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Terrestrial_Mammal_Habitat."
"10$aCAF - Terrestrial Natural Vegetation.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2mageryBaseMapsEarthCover|\7$aCentral Appalachian Forest.$2mageryBaseMapsEarthCover|\7$aTerrestrial Resources.$2mageryBaseMapsEarthCover|\7$anatural vegetation.$2mageryBaseMapsEarthCover|\7$aimageryBaseMapsEarthCover.$2mageryBaseMapsEarthCover","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Terrestrial_Natural_Vegetation."
"10$aCAF Terrestrial Resources Combined.","-80.738558","-74.569949","42.412572","39.548312","\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories",,"CAF_Terrestrial_Resources_Combined."
"10$aCAF Terrestrial Slopes.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2ISO 19115 Topic Categories|\7$aCentral Appalachian Forest.$2ISO 19115 Topic Categories|\7$aTerrestrial Resources.$2ISO 19115 Topic Categories|\7$aslopes.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Terrestrial_Slopes."
"10$aCAF_Terrestrial_Transitional_Vegetation.","-80.738558","-74.569949","42.412572","39.548312","\7$aSmartConservation.$2ISO 19115 Topic Categories|\7$aCentral Appalachian Forest.$2ISO 19115 Topic Categories|\7$aTerrestrial Resources.$2ISO 19115 Topic Categories|\7$atransitional vegetation.$2ISO 19115 Topic Categories|\7$abarren.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aCentral Appalachian Forest.|\0$aPennsylvania.","CAF_Terrestrial_Transitional_Vegetation."
"10$aChesapeake Bay Basin Major Watersheds."," -80.530571"," -74.595909"," 42.974747"," 36.664398","\7$ainlandWaters.$2ISO 19115 Topic Categories|\7$aChesapeake.$2ISO 19115 Topic Categories","\0$aPennsylvania.|\0$aMaryland.|\0$aChesapeake.","chesapeakebaybasinmajorwatersheds."
"10$aChesapeake Bay Region State Boundaries."," -83.675180"," -73.238400"," 45.006150"," 36.541160","\7$ainlandWaters.$2ISO 19115 Topic Categories|\7$aboundaries.$2ISO 19115 Topic Categories","\0$aPennsylvania.|\0$aMaryland.|\0$aChesapeake.","chesapeakebayregionstateboundaries."
"10$aBiofuel Feedstock Potential in the Chesapeake Bay - Rye, Barley and Switchgrass.","-80.767272","-74.554929","43.015255","36.632310","\7$aFarming.$2ISO 19115 Topic Categories|\7$aEnvironment.$2ISO 19115 Topic Categories|\7$autilitiesCommunication.$2ISO 19115 Topic Categories|\7$aEnergy.$2ISO 19115 Topic Categories|\7$aBiofuel.$2ISO 19115 Topic Categories|\7$aSwitchgrass.$2ISO 19115 Topic Categories","\0$aChesapeake Bay.","ChesBayBiofuelFeedstocks_HUC6."
"10$aChester County airports.","-75.868222","-75.582159","39.992865","39.826405","\7$aTransportation.$2ISO 19115 Topic Categories|\7$aAirports.$2ISO 19115 Topic Categories|\7$aStructure.$2ISO 19115 Topic Categories","\0$aChester County.","ChesterCounty_Airports201107."
"10$aChester County Bridge Points.","-76.096577","-75.397644","40.249612","39.713436","\0$aBridges.|\0$aStructure.|\0$aTransportation.|\0$atransportation.|\0$astructure.","\0$aChester County.","ChesterCounty_Bridgepoints201306."
"10$aChester County cemeteries.","-76.065993","-75.384165","40.243598","39.710863","\7$asociety.$2ISO 19115 Topic Categories|\7$aburial ground.$2ISO 19115 Topic Categories|\7$agraveyard.$2ISO 19115 Topic Categories|\7$acemetery.$2ISO 19115 Topic Categories|\7$astructure.$2ISO 19115 Topic Categories|\7$ahealth.$2ISO 19115 Topic Categories","\0$aChester County.","ChesterCounty_Cemeteries201306."
"10$aChester County - County Boundary.","-76.136732","-75.354884","40.252489","39.707848","\7$aplanningCadastre.$2ISO 19115 Topic Categories|\7$aboundaries.$2ISO 19115 Topic Categories|\7$acounty.$2ISO 19115 Topic Categories|\7$amunicipalities.$2ISO 19115 Topic Categories",,"ChesterCounty_CountyBoundary201107."
"10$aChester County higher education facilities.","-75.924806","-75.520091","40.124755","39.800334","\0$aChester County Higher Education Facilities.|\0$aCollege.|\0$aUniversity.|\0$aStructure.|\0$astructure.|\0$aeconomy.|\0$asociety.","\0$aChester County.","ChesterCounty_Highereducationsfacilities201306."
"10$aChester County Municipal Boundaries.","-76.136733","-75.354884","40.252489","39.707846","\7$aboundaries.$2ISO 19115 Topic Categories|\7$aplanningCadastre.$2ISO 19115 Topic Categories|\7$amunicipality.$2ISO 19115 Topic Categories|\7$acounty.$2ISO 19115 Topic Categories","\0$aChester County.","ChesterCounty_MuniBoundaries201107."
"10$aChester County School district boundaries.","-76.136732","-75.354884","40.252489","39.707848","\0$aEducational Facilities.|\0$aSchool.|\0$aChester County School Districts.|\0$aBoundaries.|\0$aStructure.|\0$astructure.|\0$aboundaries.","\0$aChester County.","ChesterCounty_Schooldistrictboundaries201306."
"10$aChester County Schools.","-76.003115","-75.385573","40.237301","39.749591","\0$aSociety.|\0$aPublic.|\0$aStructures.|\0$aPrivate.|\0$aInstitutions.|\0$aSchools.|\0$aVocational.|\0$astructure.|\0$asociety.","\0$aChester County.","ChesterCounty_Schools201306."
"10$aChoptank River Public Access.","-76.336700","-75.763100","39.067800","38.569077","\7$aTourism.$2ISO 19115 Topic Categories|\7$aSteamboat Landings.$2ISO 19115 Topic Categories|\7$aHistoric Sites.$2ISO 19115 Topic Categories|\7$aNational Register of Historic Places.$2ISO 19115 Topic Categories|\7$aPublic Landings.$2ISO 19115 Topic Categories|\7$aBoat ramps.$2ISO 19115 Topic Categories|\7$ainlandWaters.$2ISO 19115 Topic Categories","\0$aChoptank River.|\0$aMaryland.|\0$aDelaware.|\0$aCaroline County, MD.|\0$aKent County, DE.|\0$aTalbot County, MD.|\0$aDorchester County, MD.|\0$aQueen Anne County, MD.|\0$aTuckahoe River.|\0$aEastern Shore.","ChoptankRiverHeritage_Access201101."
"10$aChoptank River Environmental Education and Preservation Sites.","-76.141000","-75.831000","38.966000","38.605000","\7$aTourism.$2ISO 19115 Topic Categories|\7$aSteamboat Landings.$2ISO 19115 Topic Categories|\7$aHistoric Sites.$2ISO 19115 Topic Categories|\7$aNational Register of Historic Places.$2ISO 19115 Topic Categories|\7$aNature sites.$2ISO 19115 Topic Categories|\7$aWetlands Preservation.$2ISO 19115 Topic Categories|\7$aState Parks.$2ISO 19115 Topic Categories|\7$aArboretums.$2ISO 19115 Topic Categories|\7$aenvironmental.$2ISO 19115 Topic Categories","\0$aChoptank River.|\0$aMaryland.|\0$aDelaware.|\0$aCaroline County, MD.|\0$aKent County, DE.|\0$aTalbot County, MD.|\0$aDorchester County, MD.|\0$aQueen Anne County, MD.|\0$aTuckahoe River.|\0$aEastern Shore.","ChoptankRiverHeritage_Environmental201101."
"10$aChoptank and Tuckahoe River Historic Sites.","-76.339000","-75.786600","39.034600","38.562000","\7$aSteamboat Landings.$2ISO 19115 Topic Categories|\7$aHistoric Sites.$2ISO 19115 Topic Categories|\7$aNational Register of Historic Places.$2ISO 19115 Topic Categories|\7$aTourism.$2ISO 19115 Topic Categories|\7$aHeritage Tourism.$2ISO 19115 Topic Categories|\7$asociety.$2ISO 19115 Topic Categories","\0$aChoptank River.|\0$aMaryland.|\0$aDelaware.|\0$aCaroline County, MD.|\0$aKent County, DE.|\0$aTalbot County, MD.|\0$aDorchester County, MD.|\0$aQueen Anne County, MD.|\0$aTuckahoe River.|\0$aEastern Shore.","ChoptankRiverHeritage_HistoricSites201101."
"10$aNational Register of Historic Places, Mid-Shore Counties, Maryland.","-76.367496","-75.774061","39.369260","38.256257","\7$aSteamboat Landings.$2ISO 19115 Topic Categories|\7$aHistoric Sites.$2ISO 19115 Topic Categories|\7$aNational Register of Historic Places.$2ISO 19115 Topic Categories|\7$aTourism.$2ISO 19115 Topic Categories|\7$aHeritage Tourism.$2ISO 19115 Topic Categories|\7$ainlandWaters.$2ISO 19115 Topic Categories","\0$aChoptank River.|\0$aMaryland.|\0$aDelaware.|\0$aCaroline County, MD.|\0$aKent County, DE.|\0$aTalbot County, MD.|\0$aDorchester County, MD.|\0$aQueen Anne County, MD.|\0$aTuckahoe River.|\0$aEastern Shore.","ChoptankRiverHeritage_NRHP201101."
"10$aChoptank River Watershed Boundaries.","-76.339992","-75.634539","39.150108","38.551851","\7$aWatershed.$2ISO 19115 Topic Categories|\7$ainlandWaters.$2ISO 19115 Topic Categories","\0$aChoptank River.|\0$aMaryland.|\0$aDelaware.|\0$aCaroline County, MD.|\0$aKent County, DE.|\0$aTalbot County, MD.|\0$aDorchester County, MD.|\0$aQueen Anne County, MD.|\0$aTuckahoe River.|\0$aEastern Shore.","ChoptankRiverHeritage_Watershed."
"10$aConneaut Lake Boundary, Crawford County, Pennsylvania.","-80.320427","-80.290922","41.642041","41.603177","\7$amacrophyte.$2ISO 19115 Topic Categories|\7$aaquatic.$2ISO 19115 Topic Categories|\7$aglacial lake.$2ISO 19115 Topic Categories|\7$ainlandWaters.$2ISO 19115 Topic Categories","\7$aConneaut Lake.$2none","cneat_bndry_nodocks."
"10$aCoal Mining Operations.","-80.582294","-75.404965","41.999805","39.696021","\7$aenvironment.$2ISO 19115 Topic Categories|\7$amine, mining, mines, Coal Mining Operation, coal, CMO.$2ISO 19115 Topic Categories|\7$aNPDES Discharge Point, NPDES, Discharge, Point, Discharge Point, National Pollutant Discharge Elimination System, Pollutant, Elimination System.$2ISO 19115 Topic Categories","\0$aPennsylvania.","CoalMiningOperations2018_01."
"10$aCoal Pillar Location-Mining.","-80.586626","-78.554382","41.664169","39.699750","\7$aenvironment.$2ISO 19115 Topic Categories|\7$aefacts, mine, mining, mines, coal, coal pillar, Coal Pillar Location-Mining, CPILL.$2ISO 19115 Topic Categories","\0$aPennsylvania.","CoalPillarLocationMining2018_01."
"10$aCoal Pillar Location-Oil & Gas.","-80.577978","-78.021154","41.665569","39.691592","\7$aenvironment.$2ISO 19115 Topic Categories|\7$aefacts, oil, gas, oil & gas, Coal Pillar Location-O&G, coal pillar.$2ISO 19115 Topic Categories","\0$aPennsylvania.","CoalPillarLocationOilandGas2018_01."
"10$aUrban Ecosystem Analysis Ikonos interpreted land cover for the Cobbs/Mill Creek and Tacony/Frankford Creek watersheds, 2002.","-75.360110","-74.874411","40.131134","39.709530","\7$aTrees.$2ISO 19115 Topic Categories|\7$aLandcover.$2ISO 19115 Topic Categories|\7$aForests.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\7$aFrankford Tacony Creek.$2none|\7$aCobbs Creek.$2none|\7$aBig Timber Creek.$2none|\7$aMill Creek.$2none","cobbs_mill_tacony_frankfordcreek_landcover2002."
