Title,Date,Publisher,Description,Metadata,Download
"(u'PAMAP Program - 3.2 ft Digital Elevation Model',)","(u'2006 - 2008',)","(u'DCNR PAMAP Program',)","(u'This dataset, produced by the PAMAP Program, consists of a raster digital elevation model with a horizontal ground resolution of 3.2 feet.  The model was constructed from PAMAP LiDAR (Light Detection and Ranging) elevation points. PAMAP data are organized into blocks, which do not have gaps or overlaps, that represent 10,000 feet by 10,000 feet on the ground. The coordinate system for blocks in the northern half of the state is Pennsylvania State Plane North (datum:NAD83, units: feet); blocks in the southern half of the state are in Pennsylvania State Plane South. A block name is formed by concatenating the first four digits of the State Plane northing and easting defining the block\'s northwest corner, the State identifier ""PA"", and the State Plane zone designator ""N"" or ""S"" (e.g. 45001210PAS).',)","(u'FullMetadataDisplay.aspx?file=PAMAP_DEM.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/pamap/
"(u'PAMAP Program - Buildings (Points)',)","(u'2007',)","(u'DCNR PAMAP Program',)","(u'This dataset consists of building/structure/address points aggregated by the PAMAP Program from data supplied by various Pennsylvania county governments.  Additional information is available at the PAMAP website: www.dcnr.state.pa.us/topogeo/pamap.',)","(u'FullMetadataDisplay.aspx?file=PAMAP_BuildingPoint2007.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/pamap/shapefiles/PAMAP_BuildingPoint2007.zip
"(u'PAMAP Program - Buildings (Polygon)',)","(u'2007',)","(u'DCNR PAMAP Program',)","(u'This dataset consists of building outlines aggregated by the PAMAP Program from data supplied by various Pennsylvania county governments.  Additional information is available at the PAMAP website: www.dcnr.state.pa.us/topogeo/pamap.',)","(u'FullMetadataDisplay.aspx?file=PAMAP_BuildingPolygon2007.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/pamap/shapefiles/PAMAP_BuildingPolygon2007.zip
"(u'PAMAP Program - Color Orthophotos Cycle 1',)","(u'2003 - 2006',)","(u'DCNR PAMAP Program',)","(u'Orthoimagery for south-central Pennsylvania captured in April of 2003. An orthoimage is remotely sensed image data in which displacement of features in the image caused by terrain relief and sensor orientation have been mathematically removed. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map. For this dataset, the natural color orthoimages were produced at 2-feet pixel resolution. The design accuracy is estimated not to exceed 4.8 feet at the 95% confidence level. Each orthoimage provides imagery for a 10,000 by 10,000 feet block on the ground. The projected coordinate system is Pennsylvania State Plane with a NAD83 datum. There is no image overlap been adjacent files. The ortho image filenames were derived from the northwest corner of each ortho tile using the first four digits of the northing and easting coordinates referenced to the Pennsylvania State Plane coordinate system, followed by the State designator ""PA"", and the State Plane zone designator ""S"".',)","(u'FullMetadataDisplay.aspx?file=PAMAP_cycle1.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/pamap/pamap_imagery/cycle1
"(u'PAMAP Program - Color Orthophotos Cycle 2',)","(u'2007 - 2008',)","(u'DCNR PAMAP Program',)","(u'This dataset, produced by the PAMAP Program, consists of an orthorectified digital raster image (i.e. orthoimage) with a horizontal ground resolution of 1 foot.  An orthoimage is a remotely sensed image that has been positionally corrected for camera lens distortion, vertical displacement, and variations in aircraft altitude and orientation.  Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map.  Source images were captured in natural color at a negative scale of 1:19200.  PAMAP data are organized into blocks, which do not have gaps or overlaps, that represent 10,000 feet by 10,000 feet on the ground. The coordinate system for blocks in the northern half of the state is Pennsylvania State Plane North (datum:NAD83, units: feet); blocks in the southern half of the state are in Pennsylvania State Plane South. A block name is formed by concatenating the first four digits of the State Plane northing and easting defining the block\'s northwest corner, the State identifier ""PA"", and the State Plane zone designator ""N"" or ""S"" (e.g. 45001210PAS).',)","(u'FullMetadataDisplay.aspx?file=PAMAP_cycle2.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/pamap/pamap_imagery/cycle2
"(u'PAMAP Program - County Mosaics 2003 - 2006',)","(u'2003 - 2006',)","(u'DCNR PAMAP Program',)","(u'County Mosaics MR.SID format -  An orthoimage is remotely sensed image data that has been positionally corrected for camera lens distortion, vertical displacement and variations in aircraft altitude and orientation.  Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map.  The PAMAP 2005 natural color orthoimages were produced at 1-foot pixel resolution. Each orthoimage provides imagery for a 10,000 x 10,000 ft. block on the ground. The projected coordinate system is Pennsylvania State Plane South with a NAD83 datum. There is no image overlap been adjacent files. The orthoimage filenames were derived from the northwest corner of each ortho tile using the first four digits of the northing and easting coordinates referenced to the Pennsylvania State Plane coordinate system, followed by the State designator ""PA,"" and the State Plane zone designator ""S."" This dataset consists of 10000 x 10000 ft. uncompressed natural color (24-bit) GeoTIFF files at a pixel resolution of 1 foot.  The imagery was captured at a negative scale of 1:19200 for the purpose of producing orthophotos.',)","(u'FullMetadataDisplay.aspx?file=PAMAP_CountyMosaics.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/pamap/pamap_imagery/cycle1/mosaics
"(u'PAMAP Program - County Mosaics 2007 - 2008',)","(u'2007 - 2008',)","(u'DCNR PAMAP Program',)","(u'County Mosaics JPEG 2000 format -  This dataset, produced by the PAMAP Program, consists of an orthorectified digital raster image (i.e. orthoimage) with a horizontal ground resolution of 1 foot. An orthoimage is a remotely sensed image that has been positionally corrected for camera lens distortion, vertical displacement, and variations in aircraft altitude and orientation. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map. Source images were captured in natural color at a negative scale of 1:19200. PAMAP data are organized into blocks, which do not have gaps or overlaps, that represent 10,000 feet by 10,000 feet on the ground. The coordinate system for blocks in the northern half of the state is Pennsylvania State Plane North (datum:NAD83, units: feet); blocks in the southern half of the state are in Pennsylvania State Plane South. A block name is formed by concatenating the first four digits of the State Plane northing and easting defining the block\'s northwest corner, the State identifier ""PA"", and the State Plane zone designator ""N"" or ""S"" (e.g. 45001210PAS).',)","(u'FullMetadataDisplay.aspx?file=PAMAP_CountyMosaicsCycle2.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/pamap/pamap_imagery/cycle2/mosaics/
"(u'PAMAP Program - Hydrography (Line)',)","(u'2007',)","(u'DCNR PAMAP Program',)","(u'This dataset consists of hydrography (streams, rivers) aggregated by the PAMAP Program from data supplied by various Pennsylvania county governments.  Additional information is available at the PAMAP website: www.dcnr.state.pa.us/topogeo/pamap.',)","(u'FullMetadataDisplay.aspx?file=PAMAP_HydrographyLine2007.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/pamap/shapefiles/PAMAP_Streams2007.zip
"(u'PAMAP Program - Hydrography (Polygon)',)","(u'2007',)","(u'DCNR PAMAP Program',)","(u'This dataset consists of hydrography (waterbodies) aggregated by the PAMAP Program from data supplied by various Pennsylvania county governments.  Additional information is available at the PAMAP website: www.dcnr.state.pa.us/topogeo/pamap.',)","(u'FullMetadataDisplay.aspx?file=PAMAP_HydrographyPoly2007.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/pamap/shapefiles/PAMAP_WaterBodies2007.zip
"(u'PAMAP Program - LiDAR LAS  files',)","(u'2006 - 2008',)","(u'DCNR PAMAP Program',)","(u'This dataset consists of classified LiDAR (Light Detection and Ranging) elevation points produced by the PAMAP Program.  Additional information is available at the PAMAP website: www.dcnr.state.pa.us/topogeo/pamap.\r\n\r\nPAMAP data are organized into blocks, which do not have gaps or overlaps, that represent 10,000 feet by 10,000 feet on the ground. The coordinate system for blocks in the northern half of the state is Pennsylvania State Plane North (datum:NAD83, units: feet); blocks in the southern half of the state are in Pennsylvania State Plane South. A block name is formed by concatenating the first four digits of the State Plane northing and easting defining the block\'s northwest corner, the State identifier ""PA"", and the State Plane zone designator ""N"" or ""S"" (e.g. 45001210PAS).',)","(u'FullMetadataDisplay.aspx?file=pamap_lidar_LAS.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/pamap/pamap_lidar/cycle1
"(u'PAMAP Program - Municipal Boundaries',)","(u'2007',)","(u'DCNR PAMAP Program',)","(u'This dataset consists of county and municipal boundaries aggregated by the PAMAP Program from data supplied by various Pennsylvania county governments.  Additional information is available at the PAMAP website: www.dcnr.state.pa.us/topogeo/pamap.',)","(u'FullMetadataDisplay.aspx?file=PAMAP_MuniBoundaries2007.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/pamap/shapefiles/PAMAP_MuniBoundaries2007.zip
"(u'PAMAP Program - Railroad Lines',)","(u'2007',)","(u'DCNR PAMAP Program',)","(u'This dataset consists of railroad lines aggregated by the PAMAP Program from data supplied by various Pennsylvania county governments.  Additional information is available at the PAMAP website: www.dcnr.state.pa.us/topogeo/pamap.',)","(u'FullMetadataDisplay.aspx?file=PAMAP_Rail2007.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/pamap/shapefiles/PAMAP_Rail2007.zip
"(u'PAMAP Program - Roads',)","(u'2007',)","(u'DCNR PAMAP Program',)","(u'This dataset consists of road centerlines aggregated by the PAMAP Program from data supplied by various Pennsylvania county governments.  Additional information is available at the PAMAP website: www.dcnr.state.pa.us/topogeo/pamap.',)","(u'FullMetadataDisplay.aspx?file=PAMAP_Roads2007.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/pamap/shapefiles/PAMAP_Roads2007.zip
"(u'PAMAP Program - Tile Index North',)","(u'2005',)","(u'DCNR PAMAP Program',)","(u'PAMAP 10,000 feet x 10,000 feet tile index covering counties in the southern State Plane zone of Pennsylvania.  This version has been updated to include additional tiles within a 5000 feet buffer of the Pennsylvania border.  Also, the one tile overlap along the border between the north-south State Plane zones has been removed.',)","(u'FullMetadataDisplay.aspx?file=pamaptileindexnorth2006.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/pamap/
"(u'PAMAP Program - Tile Index South',)","(u'2005',)","(u'DCNR PAMAP Program',)","(u'PAMAP 10,000 feet x 10,000 feet tile index covering counties in the southern State Plane zone of Pennsylvania.  This version has been updated to include additional tiles within a 5000 feet buffer of the Pennsylvania border.  Also, the one tile overlap along the border between the north-south State Plane zones has been removed.',)","(u'FullMetadataDisplay.aspx?file=pamaptileindexsouth2006.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/pamap/
"(u'PAMAP Program - Topographic Contours (2 ft Interval)',)","(u'2006 - 2008',)","(u'DCNR PAMAP Program',)","(u'This dataset, provided by the PAMAP Program, consists of vectors used to classify LiDAR points and aesthetically enhance contour lines. The vectors are commonly delineated along features such as road edges, railroads, bridge decks, double line hydro (20\' wide and greater), lakes and ponds, swamps and marshes, and extreme terrain breaks (cliffs, retaining walls, etc.). PAMAP data are organized into blocks, which do not have gaps or overlaps, that represent 10,000 feet by 10,000 feet on the ground. The coordinate system for blocks in the northern half of the state is Pennsylvania State Plane North (datum:NAD83, units: feet); blocks in the southern half of the state are in Pennsylvania State Plane South. A block name is formed by concatenating the first four digits of the State Plane northing and easting defining the block\'s northwest corner, the State identifier ""PA"", and the State Plane zone designator ""N"" or ""S"" (e.g. 45001210PAS).',)","(u'FullMetadataDisplay.aspx?file=PAMAP_Contours.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/pamap/
"(u'108th Congressional Districts for the Delaware River Basin Area',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'108th Congressional Districts for the Delaware River Basin Area.  These were compiled from the 4 basin states and combined into one layer.',)","(u'FullMetadataDisplay.aspx?file=cd108_polygon.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/cd108_polygon.zip
"(u'County Seats for the Delaware River Basin Area',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'County Seats (county capitals) for the Delaware River Basin Area',)","(u'FullMetadataDisplay.aspx?file=countyseat.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/countyseat.zip
"(u'Delaware River Basin boundary - line',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'line boundary of the Delaware River basin',)","(u'FullMetadataDisplay.aspx?file=drb_bnd_arc.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/drb_bnd_arc.zip
"(u'Delaware River Basin boundary - polygon',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'polygon boundary of the Delaware River Basin',)","(u'FullMetadataDisplay.aspx?file=drb_bnd_polygon.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/drb_bnd_polygon.zip
"(u'Delaware River Basin Commission watershed boundaries - HUC 8',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'watershed boundaries for the Delaware River Basin at the HUC 8 level',)","(u'FullMetadataDisplay.aspx?file=drb_huc8_polygon.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/drb_huc8_polygon.zip
"(u'Delaware River Basin county boundaries - clipped',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'County boundaries clipped to the Delaware River Basin.',)","(u'FullMetadataDisplay.aspx?file=drb_co_clip.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/drb_co_clip.zip
"(u'Delaware River Basin county boundaries - unclipped',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'County boundaries that touch the Delaware River Basin, not clipped to the basin boundary',)","(u'FullMetadataDisplay.aspx?file=drb_co_polygon.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/drb_co_polygon.zip
"(u'Delaware River Basin creeks and rivers',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'creeks and rivers clipped to the Delaware River Basin',)","(u'FullMetadataDisplay.aspx?file=drb_riv_arc.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/drb_riv_arc.zip
"(u'Delaware River Basin major cities',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'major cities and towns within Delaware River Basin',)","(u'FullMetadataDisplay.aspx?file=drb_citytown_point.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/drb_citytown_point.zip
"(u'Delaware River Basin Reservoirs',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'Reservoirs located within the Delaware River Basin',)","(u'FullMetadataDisplay.aspx?file=drb_res_polygon.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/drb_res_polygon.zip
"(u'Delaware River Basin roads',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'roads clipped to the Delaware River Basin',)","(u'FullMetadataDisplay.aspx?file=drb_rds_arc.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/drb_rds_arc.zip
"(u'Delaware River Basin sub-basins',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'sub-basins within the Delaware River Basin',)","(u'FullMetadataDisplay.aspx?file=drb_sb_polygon.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/drb_sb_polygon.zip
"(u'Delaware River Basin watershed boundaries - HUC 11',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'watershed boundaries for the Delaware River Basin at the HUC 11 level',)","(u'FullMetadataDisplay.aspx?file=drb_huc11_polygon.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/drb_huc11_polygon.zip
"(u'Delaware River boundary',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'Boundary of the Delaware river within the Delaware River Basin.',)","(u'FullMetadataDisplay.aspx?file=delawareriver.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/delawareriver.zip
"(u'Delaware river bridges',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'Bridges over the Delaware river within the Delaware River Basin',)","(u'FullMetadataDisplay.aspx?file=delriv_bridg_arc.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/delriv_bridg_arc.zip
"(u'Delaware River islands',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'islands located on the Delaware River within the Delaware River Basin',)","(u'FullMetadataDisplay.aspx?file=islands.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/islands.zip
"(u'Delaware state boundary - line',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'Line boundary for the state of Delaware',)","(u'FullMetadataDisplay.aspx?file=de_stateline_arc.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/de_stateline_arc.zip
"(u'Delaware watersheds within the Delaware River Basin',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'Delaware watersheds within the Delaware River Basin.',)","(u'FullMetadataDisplay.aspx?file=de_wshed_polygon.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/de_wshed_polygon.zip
"(u'Major Municipal boundaries for the Delaware River Basin Area',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'Major municipal boundaries for the Delaware River Basin Area 2004',)","(u'FullMetadataDisplay.aspx?file=de_mun_polygon.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/de_mun_polygon.zip
"(u'Municipal boundaries for New York clipped to the Delaware River Basin',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'Municipal boundaries for New York clipped to the Delaware River Basin',)","(u'FullMetadataDisplay.aspx?file=ny_mun_polygon.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/ny_mun_polygon.zip
"(u'Municipal boundaries for Pennsylvania clipped to the Delaware River Basin',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'Municipal boundaries for Pennsylvania clipped to the Delaware River Basin',)","(u'FullMetadataDisplay.aspx?file=pa_mun_polygon.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/pa_mun_polygon.zip
"(u'New Jersey municipal boundaries',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'New Jersey municipal boundaries',)","(u'FullMetadataDisplay.aspx?file=nj_mun_polygon.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/nj_mun_polygon.zip
"(u'Route of the Cape May-Lewis Ferry',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'Route of the Cape May-Lewis ferry',)","(u'FullMetadataDisplay.aspx?file=capemay_lewes_ferry.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/capemay_lewes_ferry.zip
"(u'Watershed boundaries for New York clipped to the Delaware River Basin',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'Watershed boundaries for New York clipped to the Delaware River Basin',)","(u'FullMetadataDisplay.aspx?file=ny_wshed_polygon.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/ny_wshed_polygon.zip
"(u'Watershed boundaries for Pennsylvania clipped to the Delaware River Basin',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'Watershed boundaries for Pennsylvania clipped to the Delaware River Basin',)","(u'FullMetadataDisplay.aspx?file=pa_wshed_polygon.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/pa_wshed_polygon.zip
"(u'Watersheds for New Jersey clipped to the Delaware River Basin',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'Watersheds for New Jersey coded to 14 digit Hydrologic Unit Codes (HUC) clipped to the Delaware River Basin',)","(u'FullMetadataDisplay.aspx?file=nj_wshed_polygon.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/nj_wshed_polygon.zip
"(u'West Branch of the Delaware River boundary',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'boundary of the West Branch of the Delaware River',)","(u'FullMetadataDisplay.aspx?file=wbranch_polygon.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/drbc/wbranch_polygon.zip
"(u'DVRPC 2000 Digital Orthoimagery for Southeast Pennsylvania',)","(u'2000',)","(u'Delaware Valley Regional Planning Commission',)","(u'An orthoimage is remotely sensed image data in which displacement of features in the image caused by terrain relief and sensor orientation have been mathematically removed. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map.',)","(u'FullMetadataDisplay.aspx?file=DVRPC2000.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/dvrpc/aerials2000/
"(u'DVRPC 2000 Digital Orthoimagery for Southeast Pennsylvania - Tile Index',)","(u'2000',)","(u'Delaware Valley Regional Planning Commission',)","(u'Tile Index  - An orthoimage is remotely sensed image data in which displacement of features in the image caused by terrain relief and sensor orientation have been mathematically removed. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map.',)","(u'FullMetadataDisplay.aspx?file=DVRPC_TileIndex2000.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/dvrpc/aerials2000/
"(u'DVRPC 2005 Digital Orthoimagery - County Mosaics Southeast, Pennsylvania',)","(u'2005',)","(u'Delaware Valley Regional Planning Commission',)","(u""Mosaic - An orthoimage is remotely sensed image data in which displacement of features in the image caused by terrain relief and sensor orientation have been mathematically removed. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map.  This project consists of the creation of 3-band, 24 bit color digital orthophoto tiles for the 5-county, Pennsylvania portion DVRPC?s region utilizing a Leica ADS40 digital imaging system.  The tiles were delivered in both GeoTIFF and MrSID MG3 formats.  A GeoTIFF is a TIFF file which has geographic (or cartographic) data embedded as tags within the TIFF file. The geographic data can then be used to position the image in the correct location and geometry within a geographic information system (GIS) display.  MrSID (Multi-resolution Seamless Image Database) is a proprietary, wavelet-based, image compression file format (*.sid) developed and patented by LizardTech, Inc.  A 20:1 compression ratio was used for the MrSIDs.  The complete data set contains 1,540 full ortho tiles in Pennsylvania State Plane South coordinate system, NAD83.  The individual tiles measure 5,055' x 8,745' at a 1.0' pixel size.  There is no image overlap between adjacent tiles. Counties include: Bucks, Chester, Delaware, Montgomery, and Philadelphia."",)","(u'FullMetadataDisplay.aspx?file=DVRPCMrSidMosaic_bucks_north.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/dvrpc/countymosaics/2005
"(u'DVRPC 2005 Digital Orthoimagery for Southeast Pennsylvania',)","(u'2005',)","(u'Delaware Valley Regional Planning Commission',)","(u""An orthoimage is remotely sensed image data in which displacement of features in the image caused by terrain relief and sensor orientation have been mathematically removed. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map.  This project consists of the creation of 3-band, 24 bit color digital orthophoto tiles for the 5-county, Pennsylvania portion DVRPC?s region utilizing a Leica ADS40 digital imaging system.  The tiles were delivered in both GeoTIFF and MrSID MG3 formats.  A GeoTIFF is a TIFF file which has geographic (or cartographic) data embedded as tags within the TIFF file. The geographic data can then be used to position the image in the correct location and geometry within a geographic information system (GIS) display.  MrSID (Multi-resolution Seamless Image Database) is a proprietary, wavelet-based, image compression file format (*.sid) developed and patented by LizardTech, Inc.  A 20:1 compression ratio was used for the MrSIDs.  The complete data set contains 1,540 full ortho tiles in Pennsylvania State Plane South coordinate system, NAD83.  The individual tiles measure 5,055' x 8,745' at a 1.0' pixel size.  There is no image overlap between adjacent tiles."",)","(u'FullMetadataDisplay.aspx?file=DVRPC_2005_ortho_PA.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/dvrpc/aerials2005
"(u'DVRPC 2005 Digital Orthoimagery for Southeast Pennsylvania - Tile Index',)","(u'2005',)","(u'Delaware Valley Regional Planning Commission',)","(u""TILE INDEX - An orthoimage is remotely sensed image data in which displacement of features in the image caused by terrain relief and sensor orientation have been mathematically removed. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map.  This project consists of the creation of 3-band, 24 bit color digital orthophoto tiles for the 5-county, Pennsylvania portion DVRPC?s region utilizing a Leica ADS40 digital imaging system.  The tiles were delivered in both GeoTIFF and MrSID MG3 formats.  A GeoTIFF is a TIFF file which has geographic (or cartographic) data embedded as tags within the TIFF file. The geographic data can then be used to position the image in the correct location and geometry within a geographic information system (GIS) display.  MrSID (Multi-resolution Seamless Image Database) is a proprietary, wavelet-based, image compression file format (*.sid) developed and patented by LizardTech, Inc.  A 20:1 compression ratio was used for the MrSIDs.  The complete data set contains 1,540 full ortho tiles in Pennsylvania State Plane South coordinate system, NAD83.  The individual tiles measure 5,055' x 8,745' at a 1.0' pixel size.  There is no image overlap between adjacent tiles."",)","(u'FullMetadataDisplay.aspx?file=DVRPC_PA_State_Plane_tile_index.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/dvrpc/DVRPC_PA_State_Plane_tile_index.zip
"(u'DVRPC 2010 Digital Orthoimagery - County Mosaics Southeast, Pennsylvania',)","(u'2010',)","(u'Delaware Valley Regional Planning Commission',)","(u""Mosaic - An orthoimage is remotely sensed image data in which displacement of features in the image caused by terrain relief and sensor orientation have been mathematically removed. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map.  This project consists of the creation of 3-band, 24 bit color digital orthophoto tiles for the 5-county, Pennsylvania portion DVRPC?s region utilizing a Leica ADS40 digital imaging system.  The tiles were delivered in both GeoTIFF and MrSID MG3 formats.  A GeoTIFF is a TIFF file which has geographic (or cartographic) data embedded as tags within the TIFF file. The geographic data can then be used to position the image in the correct location and geometry within a geographic information system (GIS) display.  MrSID (Multi-resolution Seamless Image Database) is a proprietary, wavelet-based, image compression file format (*.sid) developed and patented by LizardTech, Inc.  A 20:1 compression ratio was used for the MrSIDs.  The complete data set contains 1,540 full ortho tiles in Pennsylvania State Plane South coordinate system, NAD83.  The individual tiles measure 5,055' x 8,745' at a 1.0' pixel size.  There is no image overlap between adjacent tiles. Counties include: Bucks, Chester, Delaware, Montgomery, and Philadelphia."",)","(u'FullMetadataDisplay.aspx?file=DVRPCMrSidMosaic2010.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/dvrpc/countymosaics/2010
"(u'DVRPC 2010 Digital Orthoimagery for Southeast Pennsylvania',)","(u'2010',)","(u'Delaware Valley Regional Planning Commission',)","(u""An orthoimage is remotely sensed image data in which displacement of features in the image caused by terrain relief and sensor orientation have been mathematically removed. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map.  This project consists of the creation of 3-band, 24 bit color digital orthophoto tiles for the 5-county, Pennsylvania portion DVRPC?s region utilizing a Leica ADS40 digital imaging system.  The tiles were delivered in both GeoTIFF and MrSID MG3 formats.  A GeoTIFF is a TIFF file which has geographic (or cartographic) data embedded as tags within the TIFF file. The geographic data can then be used to position the image in the correct location and geometry within a geographic information system (GIS) display.  MrSID (Multi-resolution Seamless Image Database) is a proprietary, wavelet-based, image compression file format (*.sid) developed and patented by LizardTech, Inc.  A 20:1 compression ratio was used for the MrSIDs.  The complete data set contains 1,540 full ortho tiles in Pennsylvania State Plane South coordinate system, NAD83.  The individual tiles measure 5,055' x 8,745' at a 1.0' pixel size.  There is no image overlap between adjacent tiles."",)","(u'FullMetadataDisplay.aspx?file=DVRPC2010.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/dvrpc/aerials2010
"(u'DVRPC 2010 Digital Orthoimagery for Southeast Pennsylvania - Tile Index',)","(u'2010',)","(u'Delaware Valley Regional Planning Commission',)","(u""TILE INDEX - An orthoimage is remotely sensed image data in which displacement of features in the image caused by terrain relief and sensor orientation have been mathematically removed. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map.  This project consists of the creation of 3-band, 24 bit color digital orthophoto tiles for the 5-county, Pennsylvania portion DVRPC?s region utilizing a Leica ADS40 digital imaging system.  The tiles were delivered in both GeoTIFF and MrSID MG3 formats.  A GeoTIFF is a TIFF file which has geographic (or cartographic) data embedded as tags within the TIFF file. The geographic data can then be used to position the image in the correct location and geometry within a geographic information system (GIS) display.  MrSID (Multi-resolution Seamless Image Database) is a proprietary, wavelet-based, image compression file format (*.sid) developed and patented by LizardTech, Inc.  A 20:1 compression ratio was used for the MrSIDs.  The complete data set contains 1,540 full ortho tiles in Pennsylvania State Plane South coordinate system, NAD83.  The individual tiles measure 5,055' x 8,745' at a 1.0' pixel size.  There is no image overlap between adjacent tiles."",)","(u'FullMetadataDisplay.aspx?file=DVRPC_TileIndex2010.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/dvrpc/DVRPC_TileIndex2010.zip
