Title,Alternative Title,Description,Language,Creator,Publisher,Genre,Subject,Keyword,Date Issued,Temporal Coverage,Date Range,Solr Year,Spatial Coverage,Bounding Box,Type,Geometry Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,Identifier,Provenance,Code,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child
,Water Wells - East Central Lower Peninsula,"NOTE: This data download does not contain the associated lithology files. To download this data by county with lithology file.CLICK HERE.The data in these six files is derived from Wellogic, the EGLE statewide ground water database. The six files combined contain information on over 575,000 spatially verified water well records. The six files are intended to provide water well information for wells in counties clustered by geographic region: Upper Peninsula, Northern Lower Peninsula, East Central Lower Peninsula, West Central Lower Peninsula, Southwest Lower Peninsula and the South Central - Southeastern Lower Peninsula. The files are constructed to be easily merged, containing the same number and type of attribute fields.Although the derived data in these files represents the best readily available data, the six files do not represent a complete database of all wells or well records in existence. Until January 1, 2000 not all water well records for new wells in Michigan were entered into Wellogic. For wells drilled before 2000 the rate of inclusion is highly variable from one county to another. Further, there is a quality control check on location that may exclude a limited number of wells from Wellogic from the six files made available on this site.",English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Hydrology|PublicHealth|EGLE|Groundwater|Wells|Monitoring,2020-07-31T13:18:03.000Z,,,,Michigan,"-168.1259,69.574,171.2098,76.1171",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/e43e71817be94d6194197915cca5efae_8,https://gis-michigan.opendata.arcgis.com/datasets/e43e71817be94d6194197915cca5efae_8.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/public_health/MapServer/8,,,e43e71817be94d6194197915cca5efae_8,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Culverts,"This dataset contains the locations of culverts collected as part of the Michigan Department of Transportation (MDOT) Transportation Asset Management System (TAMS). This inventory establishes a monitoring protocol for smaller culverts between 1 foot and 10 feet (larger culverts are inventoried in the Michigan Structure Inventory as part of the National Bridge Inspection Standards).***DISCLAIMERThis statewide trunkline culvert data is part of an ongoing data collection effort. Please be advised that this data is undergoing data review and field verification and does not yet represent a complete statewide dataset.******Collection Date:Data from the 2016-2018 collectionUpdate Cycle: Annual Data Quality:Mapping grade (refer to Spatial Quality Index field for culvert-specific data quality rating)Coverage: StatewideSymbology: PolylineContact:Erik Carlson,CarlsonE2@michigan.govField Map:Route: Indicates route (I, M, and US routes) where the culvert is locatedBeneath:The type of structure beneath which the culvert is locatedCulvert Material:The material of which the culvert is constructedCulvert Shape:Shape of the culvertCulvert Height:Height of the culvert, in inchesCulvert Width:Width of the culvert, in inchesDepth of Cover: Amount of fill above the top of the culvert barrel (Yes = >5', No = <5')Liner: Indicates whether the culvert contains a linerLiner Material:The type of liner in the culvertSpatial Quality Index:Location accuracy of the culvert data (A = Survey Grade (3D), B = Survey Grade (2D), C = Mapping Grade, D = Informational, E = Unknown)",English,Michigan Department of Transportation,State of Michigan,Geospatial data,,MDOT|culverts|TAMS|OpenData|culvert|Culvertmaterial|culvertshape|culvertheight|culvertwidth|culvertliner|assets|asset,2019-05-14T11:44:48.000Z,,,,Michigan,"-90.1906,41.7028,-82.441,47.4829",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/fdccf89b12c346b4a6610c7b5c2fff1a_0,https://gis-michigan.opendata.arcgis.com/datasets/fdccf89b12c346b4a6610c7b5c2fff1a_0.zip,https://utility.arcgis.com/usrsvcs/servers/fdccf89b12c346b4a6610c7b5c2fff1a/rest/services/MDOT/MdotTamsCulvertOpenDataProd/MapServer/0,,,fdccf89b12c346b4a6610c7b5c2fff1a_0,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Conservation and Recreation Lands (Fee and Other),Conservation and Recreation Lands (Fee and Other),English,Michigan Department of Natural Resources,State of Michigan,Geospatial data,,DucksUnlimited|CARL|Conservation|Recreation|Land|Michigan|Ohio|Indiana|Illinois|Wisconsin|MI|IL|WI|IN|OH|DNR|dnr,2018-12-07T14:00:23.000Z,,,,Michigan,"-92.8886,36.9829,-80.5191,48.3021",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/a0836d06d2b644c0bac79734cfcb2acc_0,https://gis-michigan.opendata.arcgis.com/datasets/a0836d06d2b644c0bac79734cfcb2acc_0.zip,,https://gisweb.ducks.org/arcgis/rest/services/GLARO/CARL_feature_service/FeatureServer/0,,a0836d06d2b644c0bac79734cfcb2acc_0,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Watershed Boundary - 8 Digit,"This dataset at 1:24,000 scale is a greatly expanded version of the hydrologic units created in the mid-1970's by the U.S. Geological Survey under the sponsorship of the Water Resources Council. The WBD is a complete set of hydrologic units from new watershed and subwatesheds less than 10,000 acres to entire river systems draining large hydrologic unit regions, all attributed by a standard nomenclature.",English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|EGLE|Watershed|Hydrology|Boundaries,2020-07-30T20:43:40.000Z,,,,Michigan,"-166.9208,68.5569,165.91,78.536",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/e0249bb517164f26add606b2bb096f50_21,https://gis-michigan.opendata.arcgis.com/datasets/e0249bb517164f26add606b2bb096f50_21.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/21,,,e0249bb517164f26add606b2bb096f50_21,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Oil & Gas Test Well Surface Hole Locations,"S Surface Location - Surface locations (wellhead) of all oil & gas test wells whether directionally drilled or straight (vertical) holes. D Surface locations (wellhead) of all oil & gas test wells whether directionally drilled or straight (vertical) holes. These are extracted from the Michigan EGLE Oil, Gas & Minerals RBDMS database on a nightly basis.",English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|EGLE|Wellhead|Wells|OilandGas,2020-07-30T20:29:15.000Z,,,,Michigan,"-154.2717,-36.428,20.6662,15.8531",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/b45234f636b74285b665979728a623ff_3,https://gis-michigan.opendata.arcgis.com/datasets/b45234f636b74285b665979728a623ff_3.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/geology/MapServer/3,,,b45234f636b74285b665979728a623ff_3,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Oil & Gas Test Well Bottom Hole Locations,"S Bottom hole locations for all oil and gas test wells whether directionally drilled or straight (vertical) holes. D Bottom Hole Location - Bottom hole locations for all oil and gas test wells whether directionally drilled or straight (vertical) holes. For a straight (vertical) hole the bottom hole location will be the same as the surface location. These are extracted from the Michigan EGLE Oil, Gas & Minerals RBDMS database on a nightly basis.",English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|EGLE|Wells|OilandGas,2020-07-30T20:22:51.000Z,,,,Michigan,"-154.6767,-35.1078,20.6662,15.8531",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/2ea99e44d3e442aa83d326b4b89549fb_2,https://gis-michigan.opendata.arcgis.com/datasets/2ea99e44d3e442aa83d326b4b89549fb_2.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/geology/MapServer/2,,,2ea99e44d3e442aa83d326b4b89549fb_2,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Estimated Groundwater Recharge,This data set provides an estimate of annual groundwater recharge for each public land survey section in Michigan.,English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Hydrology|EGLE|Groundwater|Monitoring,2020-07-31T12:08:29.000Z,,,,Michigan,"-168.2467,69.5727,170.7007,76.0728",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/7571dd68765e4935908cce56bf91d9eb_8,https://gis-michigan.opendata.arcgis.com/datasets/7571dd68765e4935908cce56bf91d9eb_8.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/8,,,7571dd68765e4935908cce56bf91d9eb_8,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Aquifer Characteristics Of Glacial Drift,"This data set was derived from the 1981 publication of the Hydrological Atlas of Michigan plate 26. Three plates of the Aquifer Characteristics of Glacial Drift map were scanned, geo-rectified and used as a backdrop in the digitizing of this polygon vector file.",English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Hydrology|EGLE|Groundwater,2020-07-31T12:01:33.000Z,,,,Michigan,"-168.0733,69.8346,170.9889,76.0572",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/befb0f80af5a4e7aa155ef4328d90242_7,https://gis-michigan.opendata.arcgis.com/datasets/befb0f80af5a4e7aa155ef4328d90242_7.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/7,,,befb0f80af5a4e7aa155ef4328d90242_7,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Major Watersheds-Subbasins,The Michigan's Major Watersheds - Subbasins data set depicts the drainage areas of 20 square miles or greater at geographic features such as the mouth of a river or the location of a USGS stream flow collection station. The data set is used to determine hydrologic parameters for determining a range of flows in watershed analysis.,English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Hydrology|EGLE|Watershed|Catchment,2020-07-31T12:18:47.000Z,,,,Michigan,"-166.8659,69.7209,171.0832,76.0558",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/59092fc35b8040cc999c48d65c57d145_15,https://gis-michigan.opendata.arcgis.com/datasets/59092fc35b8040cc999c48d65c57d145_15.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/15,,,59092fc35b8040cc999c48d65c57d145_15,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Critical Dunes,"Digital form of maps used in ""Designated and Critical Sand Dune Areas"" pamphlet. Published by Geological Survey Division in 1996. These are the same areas represented in the ""Atlas of Critical Dunes"", which was publised in February 1989 and is referenced in Part 353, Sand Dune Protection and Management, of the Natural Resources and Environmental Protection Act, 1994 PA 451, as amended (NREPA). A complete metadata may be found at; Critical Dunes Metadata",English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|EGLE|Dunes|Monitoring,2020-07-30T20:33:29.000Z,,,,Michigan,"-167.1607,71.2224,174.6387,74.4276",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/fc0d8dcc56164af8bb655985518b98da_6,https://gis-michigan.opendata.arcgis.com/datasets/fc0d8dcc56164af8bb655985518b98da_6.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/geology/MapServer/6,,,fc0d8dcc56164af8bb655985518b98da_6,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Wellhead Protection Areas,Wellhead protection areas represent the land surface area that contributes ground water to wells serving public water supply systems throughout Michigan. The areas define a landscape in which management strategies are employed to protect public water supply wells from ground water contamination.,English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Hydrology|EGLE|PublicHealth|Wellhead|Groundwater|Wells|Monitoring,2020-07-31T12:44:27.000Z,,,,Michigan,"-168.1936,69.7199,174.0435,76.0828",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/30dfea48fdea4f52933867904f83561a_3,https://gis-michigan.opendata.arcgis.com/datasets/30dfea48fdea4f52933867904f83561a_3.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/public_health/MapServer/3,,,30dfea48fdea4f52933867904f83561a_3,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Quaternary Geology Map,Digital version of Quaternary Geology maps of northern and southern Michigan.,English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Geology|Glacial|Surfacial|EGLE|Polygon,2020-07-30T20:27:07.000Z,,,,Michigan,"-168.0729,69.8352,171.0836,76.0557",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/0d4a5156177a464a837830c176261e6d_5,https://gis-michigan.opendata.arcgis.com/datasets/0d4a5156177a464a837830c176261e6d_5.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/geology/MapServer/5,,,0d4a5156177a464a837830c176261e6d_5,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Coastal Zone Management Areas,A detailed digital geographic representation of the coastal zone management boundary applied under the Coastal Zone Management Act of 1972 (P.L. 92-583) within the State of Michigan.,English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Hydrology|GreatLakes|CZM|EGLE|Boundaries,2020-07-31T12:05:52.000Z,,,,Michigan,"-168.2325,69.8486,170.7224,76.235",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/fbc63d5955b9453bae7aee740cdca7fe_1,https://gis-michigan.opendata.arcgis.com/datasets/fbc63d5955b9453bae7aee740cdca7fe_1.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/1,,,fbc63d5955b9453bae7aee740cdca7fe_1,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Stream Rivers Assessment Units,,English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Hydrology|EGLE|Stream|Monitoring,2020-07-31T12:34:47.000Z,,,,Michigan,"-168.0726,69.8345,174.2808,76.113",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/e8d7353f8ce34d2fa891f9b614fe6c8f_5,https://gis-michigan.opendata.arcgis.com/datasets/e8d7353f8ce34d2fa891f9b614fe6c8f_5.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/5,,,e8d7353f8ce34d2fa891f9b614fe6c8f_5,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Point Location Assessment Units,,English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Hydrology|EGLE|Monitoring,2020-07-31T12:30:38.000Z,,,,Michigan,"-168.02,70.1628,174.3175,76.1258",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/83497cc74b234d959b44251fc9112502_0,https://gis-michigan.opendata.arcgis.com/datasets/83497cc74b234d959b44251fc9112502_0.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/0,,,83497cc74b234d959b44251fc9112502_0,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Great Lakes Assessment Units,,English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Hydrology|EGLE|Boundaries|Monitoring,2020-07-31T12:14:21.000Z,,,,Michigan,"-168.6969,68.2321,170.8497,76.4254",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/95e265bcf44c42b49319562dc84487d8_27,https://gis-michigan.opendata.arcgis.com/datasets/95e265bcf44c42b49319562dc84487d8_27.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/27,,,95e265bcf44c42b49319562dc84487d8_27,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Inland Lake Assessment Units,,English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Hydrology|EGLE|Monitoring,2020-07-31T12:16:21.000Z,,,,Michigan,"-168.0778,69.835,170.9998,76.0321",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/cc45d8b36c444e0eb6250f7c59903ba4_22,https://gis-michigan.opendata.arcgis.com/datasets/cc45d8b36c444e0eb6250f7c59903ba4_22.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/22,,,cc45d8b36c444e0eb6250f7c59903ba4_22,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,River Valley Segments,,English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Hydrology|EGLE|River,2020-07-31T12:32:48.000Z,,,,Michigan,"-168.193,69.5729,173.9951,76.1627",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/0df5d0dea21840d08d1122fe69d5faed_26,https://gis-michigan.opendata.arcgis.com/datasets/0df5d0dea21840d08d1122fe69d5faed_26.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/26,,,0df5d0dea21840d08d1122fe69d5faed_26,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Quaternary Geology Features,,English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Geology|EGLE|Glacial|Surfacial,2020-07-30T20:13:21.000Z,,,,Michigan,"-168.2288,69.6473,174.0087,76.1568",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/a67f25e52a0a47fe99f7a16df6ec60ac_1,https://gis-michigan.opendata.arcgis.com/datasets/a67f25e52a0a47fe99f7a16df6ec60ac_1.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/geology/MapServer/1,,,a67f25e52a0a47fe99f7a16df6ec60ac_1,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Glacial Landsystems,,English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Hydrology|EGLE|Groundwater|Geology,2020-07-31T12:10:26.000Z,,,,Michigan,"-168.0729,69.8352,171.2735,76.0602",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/42698926bba54a819407097bea8e5245_9,https://gis-michigan.opendata.arcgis.com/datasets/42698926bba54a819407097bea8e5245_9.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/9,,,42698926bba54a819407097bea8e5245_9,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Conservation Easements,,English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Hydrology|EGLE,2020-07-31T12:12:04.000Z,,,,Michigan,"-168.0919,70.023,174.7109,76.0904",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/2bea81cf1c71407fb8df05b13c853210_10,https://gis-michigan.opendata.arcgis.com/datasets/2bea81cf1c71407fb8df05b13c853210_10.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/10,,,2bea81cf1c71407fb8df05b13c853210_10,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Bedrock Geology,,English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Geology|EGLE|Bedrock,2020-07-30T20:05:58.000Z,,,,Michigan,"-168.2407,69.578,170.7129,76.101",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/d676f3f2007e4d61ad07faf0fb6bc4fd_0,https://gis-michigan.opendata.arcgis.com/datasets/d676f3f2007e4d61ad07faf0fb6bc4fd_0.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/geology/MapServer/0,,,d676f3f2007e4d61ad07faf0fb6bc4fd_0,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Watershed Basins,,English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Hydrology|EGLE|Watershed|Boundaries|Groundwater,2020-07-31T12:36:36.000Z,,,,Michigan,"-166.8659,69.7209,174.2369,76.1111",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/50520ab1f78343a9a1fcafd859e4f0c6_16,https://gis-michigan.opendata.arcgis.com/datasets/50520ab1f78343a9a1fcafd859e4f0c6_16.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/16,,,50520ab1f78343a9a1fcafd859e4f0c6_16,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Traffic Signals,Summit County traffic signals maintained by the Summit County Engineer,English,County of Summit GIS,"Summit County, Ohio",Geospatial data,,Summit|SummitCounty|Engineer|OpenData|Traffic|TrafficSignals|Signals|SummitCountyOhio,2019-03-16T19:43:21.000Z,,,,"Summit County, Ohio|Ohio","-81.6592,40.9907,-81.3881,41.335",Dataset|Service,Vector,Shapefile,https://data-summitgis.opendata.arcgis.com/datasets/4a73fe749c7542e9a512a7a46e9cc040_2,https://data-summitgis.opendata.arcgis.com/datasets/4a73fe749c7542e9a512a7a46e9cc040_2.zip,https://scgis.summitoh.net/server/rest/services/Engineer_Signals/MapServer/2,,,4a73fe749c7542e9a512a7a46e9cc040_2,Ohio State,11b-39153,11b-39153,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Athens FloodPlain,,English,Athens County GIS,"Athens County, Ohio",Geospatial data,,Athens|Cadastral|landrecords,2019-07-30T17:43:50.000Z,,,,"Athens County, Ohio|Ohio","-82.2985,39.1803,-81.7218,39.5564",Dataset|Service,Vector,Shapefile,https://data-athgis.opendata.arcgis.com/datasets/b067eeb454e94a63bcb1c6c453f2ae60_11,https://data-athgis.opendata.arcgis.com/datasets/b067eeb454e94a63bcb1c6c453f2ae60_11.zip,https://gis.athensoh.org/athgis/rest/services/Cadastral_Mercator/MapServer/11,,,b067eeb454e94a63bcb1c6c453f2ae60_11,Ohio State,11b-39009,11b-39009,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,PrecinctResults,Feature layer generated from running the Join Features solution,English,Centre County Government,"Centre County, Pennsylvania",Geospatial data,,AnalysisResult|JoinFeatures,2020-10-05T16:18:27.000Z,,,,"Centre County, Pennsylvania|Pennsylvania","-78.3818,40.69,-77.1415,41.2535",Dataset|Service,Vector,Shapefile,https://gisdata-centrecountygov.opendata.arcgis.com/datasets/f49b1f46e2ed487ba00150835e605b9e_0,https://gisdata-centrecountygov.opendata.arcgis.com/datasets/f49b1f46e2ed487ba00150835e605b9e_0.zip,,https://services3.arcgis.com/HDjl48g0Y109Q9wX/arcgis/rest/services/PreconctResults/FeatureServer/0,,f49b1f46e2ed487ba00150835e605b9e_0,Penn State,08b-42027,08b-42027,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,RoadTypeCenterline,Road type centerline in DuPage County ,English,DuPage County Illinois,"DuPage County, Illinois",Geospatial data,,Roadtype|Centerline|DuPageCounty|Road|Roads|RoadsDupage,2020-09-09T15:01:36.000Z,,,,"DuPage County, Illinois|Illinois","-88.3023,41.6525,-87.8653,42.0227",Dataset|Service,Vector,Shapefile,https://gisdata-dupage.opendata.arcgis.com/datasets/61f1a22f566a4b178606776057b54813_0,https://gisdata-dupage.opendata.arcgis.com/datasets/61f1a22f566a4b178606776057b54813_0.zip,https://gis.dupageco.org/arcgis/rest/services/Transportation/RoadTypeCenterline/MapServer/0,,,61f1a22f566a4b178606776057b54813_0,Chicago,12b-17043,12b-17043,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Property Sales Transactions by Land Use,This point layer contains property sales transactions by land use type for the years 2017 through present. This layer is regeneratednightly based on the previous day's transactions and symbolizedby land use classification. The parcel centroid values are utilized to create these points with condominium units being spatially accurate.,English,"Franklin County, Ohio","Franklin County, Ohio",Geospatial data,,Auditor|FranklinCounty|Columbus|Ohio|Appraisal|RealEstate|Sales,2017-02-04T23:47:21.000Z,,,,"Franklin County, Ohio|Ohio","-83.2531,39.7954,-82.7612,40.1441",Dataset|Service,Vector,Shapefile,https://auditor-fca.opendata.arcgis.com/datasets/5b6f2da9f7ba4f7798278dcdbb48a737_7,https://auditor-fca.opendata.arcgis.com/datasets/5b6f2da9f7ba4f7798278dcdbb48a737_7.zip,https://maps.franklincountyauditor.com/fcaags/rest/services/Sales/SalesInformation/MapServer/7,,,5b6f2da9f7ba4f7798278dcdbb48a737_7,Ohio State,11b-39049,11b-39049,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Property Sales Transactions,This point layer contains Property Sales Transaction by Land Use Type for the years 2017 through present. This layer isregeneratednightly based on the previous day's transactions and symbolizedby year of sale. The parcel centroid values are utilized to create these points with condominium units being spatially accurate.,English,"Franklin County, Ohio","Franklin County, Ohio",Geospatial data,,Auditor|FranklinCounty|Columbus|Ohio|Appraisal|RealEstate|Sales,2017-02-04T23:43:29.000Z,,,,"Franklin County, Ohio|Ohio","-83.2531,39.7954,-82.7612,40.1441",Dataset|Service,Vector,Shapefile,https://auditor-fca.opendata.arcgis.com/datasets/2a167cdd00ca442b8b6f2fa513ee81e4_0,https://auditor-fca.opendata.arcgis.com/datasets/2a167cdd00ca442b8b6f2fa513ee81e4_0.zip,https://maps.franklincountyauditor.com/fcaags/rest/services/Sales/SalesInformation/MapServer/0,,,2a167cdd00ca442b8b6f2fa513ee81e4_0,Ohio State,11b-39049,11b-39049,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Annexations,This layer contains polygons showing annexations. It is updated as new annexations are processed by the office.,English,"Franklin County, Ohio","Franklin County, Ohio",Geospatial data,,Auditor|FranklinCounty|Columbus|Ohio|AdministrativeAreas,2020-09-17T19:43:08.000Z,,,,"Franklin County, Ohio|Ohio","-83.2623,39.7929,-82.7606,40.1444",Dataset|Service,Vector,Shapefile,https://auditor-fca.opendata.arcgis.com/datasets/41dd87795d5b44fda2f827ab92803695_0,https://auditor-fca.opendata.arcgis.com/datasets/41dd87795d5b44fda2f827ab92803695_0.zip,https://maps.franklincountyauditor.com/fcaags/rest/services/Appraisal/AppraisalFeatures/MapServer/0,,,41dd87795d5b44fda2f827ab92803695_0,Ohio State,11b-39049,11b-39049,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Municipal Boundaries,This layer contains municipal boundary polygons and related attributes. This layer is compiled by using the Auditor's annexation layer and is updated as new annexations are processed by the office.,English,"Franklin County, Ohio","Franklin County, Ohio",Geospatial data,,Auditor|FranklinCounty|Columbus|Ohio|AdministrativeAreas,2017-01-07T17:41:55.000Z,,,,"Franklin County, Ohio|Ohio","-83.2584,39.7929,-82.7619,40.1444",Dataset|Service,Vector,Shapefile,https://auditor-fca.opendata.arcgis.com/datasets/d35e6a2a39304779abd056a02262f4af_3,https://auditor-fca.opendata.arcgis.com/datasets/d35e6a2a39304779abd056a02262f4af_3.zip,https://maps.franklincountyauditor.com/fcaags/rest/services/BaseMap/AdministrativeAreas/MapServer/3,,,d35e6a2a39304779abd056a02262f4af_3,Ohio State,11b-39049,11b-39049,Active,ArcGIS Hub,,Public,,FALSE,FALSE
