Title,Alternative Title,Description,Language,Creator,Publisher,Genre,Subject,Keyword,Date Issued,Temporal Coverage,Date Range,Solr Year,Spatial Coverage,Bounding Box,Type,Geometry Type,Format,Information,Download,Map Server,Feature Server,Image Server,Identifier,Slug,Provenance,Code,Is Part Of,Status,Accural Method,Date Accessioned,Rights,Access Rights,Suppressed,Child
,Damaged Properties (Public),"Feature Layer dataset showing damaged properties due to the civil unrest that occurred in the City of Minneapolis during the week of May 25 - May 29, 2020.FAQ'sWhy was the data compiled?  To get a clear understanding of the extent of damage to the City as well as to begin the recovery process. How was the data collected?  Several teams were sent out and used grid maps to travel every street within the City Boundary. Teams used an application where they assigned a level of damage to buildings to pin point them. What do the different levels mean?  Affected: Affected: (0-25%): Habitable, Cosmetic damage to roof or siding, Damage to landscape and trees (no impact to access), Wet basement w/no damage, Cosmetic damage only  Minor: (25-50%): Uninhabitable, ≤18"" of water in living spaces, Damage to mechanical components, Non-structural damage to roof, Chimney damage, Non-structural damage to interior/exterior components, Multiple vertical cracks in Foundation, Damage/contamination to well and septic systems, Skirting, HVAC, and non-structural components have been impacted  Major: (50-75%): Uninhabitable, >18"" of water in living spaces, Any water on main floor w/water filled basement, Failure or partial failure of foundation, Failure or partial failure of roof or exterior walls, Failure or partial failure of structural elements of walls, Water in the floor system, Foundation damage or displacement  Destroyed: (>75%): Uninhabitable, Failure of ≥2 structural components, Threat of destruction, Frame is compromised-MH, Roof system is missing",English,MapIT Minneapolis,"City of Minneapolis, Minnesota",Geospatial data,,Minneapolis|  Damage Assessment,2020-06-12T15:40:09.000Z,,,,"Minneapolis, Minnesota|Minnesota","-93.328,44.8949,-93.2048,45.0495",Dataset|Service,Vector,Shapefile,http://opendata.minneapolismn.gov/datasets/7c294878f9634918950e82d3cd5d057b_0,"http://opendata.minneapolismn.gov/datasets/7c294878f9634918950e82d3cd5d057b_0.zip?outSR={""latestWkid"":103734,""wkid"":103734}",,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/DamagedProperties/FeatureServer/0,,7c294878f9634918950e82d3cd5d057b_0,,Minnesota,05c-01,05c-01,active,ArcGIS Hub,,Public,,FALSE,
,Covid Cases Geography,,English,MapIT Minneapolis,"City of Minneapolis, Minnesota",,,Health| Minneapolis| Open Data,2020-06-10T20:49:30.000Z,,,,"Minneapolis, Minnesota|Minnesota","-93.4374,44.8791,-93.0907,45.0593",,,,http://opendata.minneapolismn.gov/datasets/407266dbccab4ff694e6fbd5ea63c0ad_0,,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Covid_Cases_Geography/FeatureServer/0,,407266dbccab4ff694e6fbd5ea63c0ad_0,,Minnesota,05c-01,05c-01,active,ArcGIS Hub,,Public,,FALSE,
,Covid Cases Demographic,,English,MapIT Minneapolis,"City of Minneapolis, Minnesota",,,Health| Minneapolis| Open Data,2020-06-10T20:40:33.000Z,,,,"Minneapolis, Minnesota|Minnesota","-93.4374,44.8791,-93.0907,45.0593",,,,http://opendata.minneapolismn.gov/datasets/580e0a92d27644b7b13a4036c2c4211d_0,,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Covid_Cases_Demographic/FeatureServer/0,,580e0a92d27644b7b13a4036c2c4211d_0,,Minnesota,05c-01,05c-01,active,ArcGIS Hub,,Public,,FALSE,
,Police Incidents 2020,Police Incidents for 2020 from the Police Information Management System (PIMS). This data set is updated daily. The reportedDateTime field is shown in UTC.,English,MapIT Minneapolis,"City of Minneapolis, Minnesota",Geospatial data,,Minneapolis| Open Data| Police| Public Safety,2020-06-11T18:17:23.000Z,,,,"Minneapolis, Minnesota|Minnesota","-93.3291,0,0,45.0512",Dataset|Service,Vector,Shapefile,http://opendata.minneapolismn.gov/datasets/35c7de976a60450bb894fc7aeb68aef6_0,"http://opendata.minneapolismn.gov/datasets/35c7de976a60450bb894fc7aeb68aef6_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Police_Incidents_2020/FeatureServer/0,,35c7de976a60450bb894fc7aeb68aef6_0,,Minnesota,05c-01,05c-01,active,ArcGIS Hub,,Public,,FALSE,
,Global Oakland,"Oakland County is Michigan's international business address. One thousand firms from 39 countries have business locations here, giving the county an international diversity that few counties or even states in the U.S. can match. Fiat Chrysler (Italy), BorgWarner (Germany), SAIC USA (China), Brose (Germany), Magna (Canada), Denso(Japan), Autoliv (Sweden) and Valeo (France) all have their North American headquarters in Oakland County. Use this handy application to see who they are. Visit our web site for more information. ",English,"Oakland County, Michigan","Oakland County, Michigan",,,Foreign Owned Firms|Global Oakland|Initiatives,2016-10-03T19:24:51.000Z,,,,"Oakland County, Michigan|Michigan","-83.6943,42.4261,-83.0743,42.8936",,,,http://accessoakland.oakgov.com/datasets/257c247d9ac9401fa17c523a979c0c08,,,,,257c247d9ac9401fa17c523a979c0c08,,Michigan State,06b-26125,06b-26125,active,ArcGIS Hub,,Public,,FALSE,
,USACE COVID-19 Two Week Trends (Public Version),"Refreshed daily at about noon Central Time. 14 day trend analysis using historical data per county from the USAFacts.org COVID-19 database. Two trend types are available in the attributes. One shows the number of improvements within the two week period in the style of CDC metrics, the other shows improvements based on the linear regression of daily new case numbers.USAFacts data:https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/Improvement Days:7-12 Days of Improvement- 7-12 days were reported with fewer new counts than the previous day.8-13 Days of Improvement- 8 -13 days were reported with fewer new counts than the previous day.14 Days of Improvement- 14 days were reported with fewer new counts than the previous day.No Improvement- Greater than 1% trend slope or does not match other categories.1-5 New Cases in Last 2 Weeks - 5 cases or fewer were reported in the period.No New Cases- No cases were reported during the periodRegression Trends:Strong Upward- Slope >3%Moderate Upward - Slope is between 1% and 3%Weak Upward- Slope is between 0% and 1%Flat- Slope is 0%Weak Downward- Slope is between 0% and -1%Moderate Downward- Slope is between -1% and -3%Strong Downward- Slope < 3%Slope:Slope is calculated by identifying the change in reported cases per day and plugging into a least-squares linear regression formula to solve for slope of the liney=mx +b.Growth Rate:Is the rate at which the reported number of cases has increased in the past 14 days.",English,jjordan_swg,Esri,,,COVID-19|USACE|Corps of Engineers|CESWG|SWG|Galveston|Disease Modelling|Trends|Reopening|Texas|Coronavirus|Emergency Management,2020-05-29T18:02:37.000Z,,,,United States,,,,,http://coronavirus-resources.esri.com/datasets/1cc5cbde3c27434892022c6b934fff47,,,,,1cc5cbde3c27434892022c6b934fff47,,,99-1000,99-1000,active,ArcGIS Hub,,Public,,FALSE,
,Bozeman COVID-19 Recovery," The City of Bozeman Strategic Services Department in collaboration with the City of Bozeman Economic Development Department is pleased to announce the availability of a ""Recovery Dashboard"" to help measure progress as we continue to recover from the COVID-19 pandemic.Metrics for business, tourism, and development are listed for the tri-county area (Gallatin/Madison/Park), in addition to indicators specific to the City of Bozeman, as well as a number of useful links to local and state resources. Data will be updated weekly to ensure timely decisions are made based on credible sources as we monitor trends over the weeks and months to come. We will be adding more information over time as we receive ideas and feedback on what is most relevant to the community while looking forward to supporting resiliency in our local economy.",English,"City of Bozeman, Montana",Esri,,,Hub Site|City of Bozeman|Gallatin County|Madison County|Park County|covid-19|covid recovery|covid reopening,2020-05-04T18:28:41.000Z,,,,United States,"-112.1428,45.0081,-109.9785,45.946",,,,http://coronavirus-resources.esri.com/datasets/769f8fe044094af19de02acaa9a41cd2,,,,,769f8fe044094af19de02acaa9a41cd2,,,99-1000,99-1000,active,ArcGIS Hub,,Public,,FALSE,
,Export Output2,"North Carolina COVID-10 Number of Presumptive Positive and Confirmed Positive Cases, Deaths, and Rate per 10,000 of COVID-19 by County",English,North Carolina,Esri,,,NC; Health,2020-03-12T21:46:35.000Z,,,,United States,"-84.3216,33.8344,-75.46,36.5884",,,,http://coronavirus-resources.esri.com/datasets/969678bce431494a8f64d7faade6e5b8_1,,,https://services.arcgis.com/iFBq2AW9XO0jYYF7/arcgis/rest/services/NCCovid19/FeatureServer/1,,969678bce431494a8f64d7faade6e5b8_1,,,99-1000,99-1000,active,ArcGIS Hub,,Public,,FALSE,
,Facility Mapping Solutions for COVID-19 Recovery,"With the White House release of guidelines for states to reopen and employees to gradually return to work, facilities are tasked with complex challenges. Managers must make decisions to ensure a safe work environment and adhere to social distancing requirements. Office layouts must be restructured for adequate spacing between workspaces and to allow for routing that minimizes close-proximity encounters. Clear communication with staff will also be a key factor: Which areas should be avoided? When has an area last be cleaned?The ArcGIS Indoors system from Esri can help answer these geospatially focused questions for reopening the workplace. With indoor maps and an indoor positioning system, managers can create a floor-plan level awareness of the workplace, one that will allow for safe reopening._____________________Communities around the world are taking strides in mitigating the threat that COVID-19 (coronavirus) poses. Geography and location analysis have a crucial role in better understanding this evolving pandemic.When you need help quickly, Esri can provide data, software, configurable applications, and technical support for your emergency GIS operations. Use GIS to rapidly access and visualize mission-critical information. Get the information you need quickly, in a way that's easy to understand, to make better decisions during a crisis.Esri's Disaster Response Program (DRP) assists with disasters worldwide as part of our corporate citizenship. We support response and relief efforts with GIS technology and expertise.More information...",English,Esri's Disaster Response Program,Esri,,,COVID-19|DRP,2020-06-16T17:36:48.000Z,,,,United States,"-146.0876,-7.2743,-52.7416,83.5092",,,,http://coronavirus-resources.esri.com/datasets/c0652eb993a14f0fa375211a3a5f2d78,,,,,c0652eb993a14f0fa375211a3a5f2d78,,,99-1000,99-1000,active,ArcGIS Hub,,Public,,FALSE,
,Connecting People with Lifesaving Resources Across the Globe During COVID-19,"Since the launch of ArcGIS StoryMaps last July, the storytelling community globally has built thousands of stories for advocacy and outreach, education, and most recently, COVID-19 response efforts.Read about how organizations are using ArcGIS StoryMaps for COVID-19 communication, get tips for effective storytelling, and learn how you can enable more storytelling across your organization with the new Storyteller role._____________________Communities around the world are taking strides in mitigating the threat that COVID-19 (coronavirus) poses. Geography and location analysis have a crucial role in better understanding this evolving pandemic.When you need help quickly, Esri can provide data, software, configurable applications, and technical support for your emergency GIS operations. Use GIS to rapidly access and visualize mission-critical information. Get the information you need quickly, in a way that's easy to understand, to make better decisions during a crisis.Esri's Disaster Response Program (DRP) assists with disasters worldwide as part of our corporate citizenship. We support response and relief efforts with GIS technology and expertise.More information...",English,Esri's Disaster Response Program,Esri,,,COVID-19|DRP,2020-06-16T17:28:47.000Z,,,,United States,"-146.0876,-7.2743,-52.7416,83.5092",,,,http://coronavirus-resources.esri.com/datasets/fd24a1dec51a491fbd4db357bcf07a00,,,,,fd24a1dec51a491fbd4db357bcf07a00,,,99-1000,99-1000,active,ArcGIS Hub,,Public,,FALSE,
,NCCovid19,"North Carolina COVID-10 Number of Presumptive Positive and Confirmed Positive Cases, Deaths, and Rate per 10,000 of COVID-19 by County",English,North Carolina,Esri,,,NC; Health,2020-03-12T21:46:35.000Z,,,,United States,"-84.3216,33.8344,-75.46,36.5884",,,,http://coronavirus-resources.esri.com/datasets/969678bce431494a8f64d7faade6e5b8,,,https://services.arcgis.com/iFBq2AW9XO0jYYF7/arcgis/rest/services/NCCovid19/FeatureServer,,969678bce431494a8f64d7faade6e5b8,,,99-1000,99-1000,active,ArcGIS Hub,,Public,,FALSE,
,COVID-19 Claremont Graduate University - Advanced GIS Lab - Inequality and Policy Research Center,"This App was developed by CGU Advanced GIS Lab and the Inequality and Policy Research Center (IPRC). The Advanced GIS Lab at the Center for Information Systems and Technology focuses on advanced spatial analysis and the research and development of advanced GIS solutions. The IPRC supports the scientific analysis of political, health, socioeconomic, and group-specific inequality in the United States and abroad. ",English,Advanced GIS Lab,Esri,,,COVID-19|Claremont|California|CGU|Claremont Gaduate University,2020-05-19T05:25:02.000Z,,,,United States,"-161.6968,-72.6727,161.6968,80.6945",,,,http://coronavirus-resources.esri.com/datasets/8529ff751ecb4fc88f816fb1587d2edf,,,,,8529ff751ecb4fc88f816fb1587d2edf,,,99-1000,99-1000,active,ArcGIS Hub,,Public,,FALSE,
,COVID-19 Virtual Dashboard,"Statistics and data on the COVID-19, the infectious disease caused by the novel coronavirus, in Oswego County, New York.",English,Oswego County GIS,Esri,,,Hub Site|novel coronavirus|COVID-19|covid19|coronavirus,2020-05-04T17:58:33.000Z,,,,United States,"-134.7473,23.561,-55.6955,50.3092",,,,http://coronavirus-resources.esri.com/datasets/59c237ad08f3403ead8709b89efdff14,,,,,59c237ad08f3403ead8709b89efdff14,,,99-1000,99-1000,active,ArcGIS Hub,,Public,,FALSE,
,COVID-19 Response Planning,,English,gbfbarcadmin,Esri,,,COVID-19|food security|food insecurity|Response|GBFB|agencies|programs|Non-Member Agencies|Direct Distribution|Distribution|Agency Closures,2020-04-04T18:30:37.000Z,,,,United States,"-72.029,41.161,-69.766,42.939",,,,http://coronavirus-resources.esri.com/datasets/f30652540b3d434b85a343d28e4324e3,,,,,f30652540b3d434b85a343d28e4324e3,,,99-1000,99-1000,active,ArcGIS Hub,,Public,,FALSE,
,2020 Primary Election Results,"Election results by precinct for Stark County, Ohio from the primary election held on Tuesday, March 17, 2020. These results include races for federal, state, county, and local issues. The Stark County Board of Elections (BOE) maintains the precincts layer for the county, which are identified in the attribute table. The results for each race are compiled into this single layer for convenience. The attribute table also contains information on voter turnout and registration.For the most up-to-date precincts, seeVoting Precincts.",English,Stark County Ohio,"Stark County, Ohio, Ohio",Geospatial data,,Analysis Result|Join Features,2020-05-20T19:32:01.000Z,,,,"Stark County, Ohio|Ohio","-81.6513,40.6345,-81.0818,40.988",Dataset|Service,Vector,Shapefile,http://opendata.starkcountyohio.gov/datasets/4f96b0f3435f4d25bc13d243fe60b2ce_0,"http://opendata.starkcountyohio.gov/datasets/4f96b0f3435f4d25bc13d243fe60b2ce_0.zip?outSR={""latestWkid"":3734,""wkid"":102722}",,https://services2.arcgis.com/1JiK2PayqrHvvJhM/arcgis/rest/services/2020_Primary_Election_Results/FeatureServer/0,,4f96b0f3435f4d25bc13d243fe60b2ce_0,,Ohio State,11b-39151,11b-39151,active,ArcGIS Hub,,Public,,FALSE,
,Parcel Transfer Update 06-28-2020,"This dataset contains parcel transfers in Stark County, Ohio between 06/18/2020 and 06/25/2020. Information about former owner and city, village, or township are also included.",English,Stark County Ohio,"Stark County, Ohio, Ohio",,,Stark County|Ohio|Parcel|Transfer|Open Data|ParcelUpdate|Parcel Transfer Split And Combine Stark County,2020-06-28T09:52:02.000Z,,,,"Stark County, Ohio|Ohio","-81.7986,40.6023,-80.9122,41.0372",,,,http://opendata.starkcountyohio.gov/datasets/904bfd6fde1243dfa6618d09bc555b9a,,,,,904bfd6fde1243dfa6618d09bc555b9a,,Ohio State,11b-39151,11b-39151,active,ArcGIS Hub,,Public,,FALSE,
,Parcel Transfer Update 06-21-2020,"This dataset contains parcel transfers in Stark County, Ohio between 06/11/2020 and 06/18/2020. Information about former owner and city, village, or township are also included.",English,Stark County Ohio,"Stark County, Ohio, Ohio",,,Stark County|Ohio|Parcel|Transfer|Open Data|ParcelUpdate|Parcel Transfer Split And Combine Stark County,2020-06-21T09:47:56.000Z,,,,"Stark County, Ohio|Ohio","-81.7986,40.6023,-80.9122,41.0372",,,,http://opendata.starkcountyohio.gov/datasets/4061154efcba4a1f941b44901640bfc3,,,,,4061154efcba4a1f941b44901640bfc3,,Ohio State,11b-39151,11b-39151,active,ArcGIS Hub,,Public,,FALSE,
,Parcel Transfer Update 06-14-2020,"This dataset contains parcel transfers in Stark County, Ohio between 06/04/2020 and 06/11/2020. Information about former owner and city, village, or township are also included.",English,Stark County Ohio,"Stark County, Ohio, Ohio",,,Stark County|Ohio|Parcel|Transfer|Open Data|ParcelUpdate|Parcel Transfer Split And Combine Stark County,2020-06-14T09:43:51.000Z,,,,"Stark County, Ohio|Ohio","-81.7986,40.6023,-80.9122,41.0372",,,,http://opendata.starkcountyohio.gov/datasets/ee71138264d3495bb4554d9719a8fe58,,,,,ee71138264d3495bb4554d9719a8fe58,,Ohio State,11b-39151,11b-39151,active,ArcGIS Hub,,Public,,FALSE,
,Sustainable Communities,"Areas are eligible to apply for state funding for projects to improve their housing, economies, transportation and the environment.",English,Baltimore County Web Map Portal,"Baltimore County, Maryland",Geospatial data,,landuse|baltimore county,2017-03-22T18:14:19.000Z,,,,"Baltimore County, Maryland|Maryland","-76.8373,39.2011,-76.4349,39.4756",Dataset|Service,Vector,Shapefile,http://data-bc-gis.opendata.arcgis.com/datasets/0cf0c644f29e43bdabcc1cc60357fffd_5,http://data-bc-gis.opendata.arcgis.com/datasets/0cf0c644f29e43bdabcc1cc60357fffd_5.zip,https://bcgis.baltimorecountymd.gov/arcgis/rest/services/LandusePlanning/Landuse/MapServer/5,,,0cf0c644f29e43bdabcc1cc60357fffd_5,,Maryland,04b-24005,04b-24005,active,ArcGIS Hub,,Public,,FALSE,
,Limit of Moderate Wave Action,"The Digital Flood Insurance Rate Map (DFIRM) Database depicts flood risk information and supporting data used to develop the risk data. The primary risk classifications used are the 1-percent-annual-chance flood event, the 0.2-percent-annual-chance flood event, and areas of minimal flood risk. The DFIRM Database is derived from Flood Insurance Studies (FISs), previously published Flood Insurance Rate Maps (FIRMs), flood hazard analyses performed in support of the FISs and FIRMs, and new mapping data, where available. The FISs and FIRMs are published by the Federal Emergency Management Agency (FEMA). The file is georeferenced to earth's surface using the Maryland Coordinate System, U.S. Survey Foot. The specifications for the horizontal control of DFIRM data files are consistent with those required for mapping at a scale of 1:12,000.",English,Baltimore County Web Map Portal,"Baltimore County, Maryland",Geospatial data,,Limit of Moderate Wave Action|LIMWA|Tags hydrology|elevation|environment|transportation|structure|inlandwaters|FEMA Flood Hazard Zone|Riverine flooding|Floodway|FIRM|DFIRM|SFHA|DFIRM Database|Flood Insurance Rate Map|NFIP|Special Flood Hazard Area|Digital Flood Insurance Rate Map|Base Flood Elevation,2018-04-17T14:25:00.000Z,,,,"Baltimore County, Maryland|Maryland","-76.5165,39.1949,-76.331,39.4067",Dataset|Service,Vector,Shapefile,http://data-bc-gis.opendata.arcgis.com/datasets/55dd57fc1f1a497fb6f8b5d45003e139_3,http://data-bc-gis.opendata.arcgis.com/datasets/55dd57fc1f1a497fb6f8b5d45003e139_3.zip,https://bcgis.baltimorecountymd.gov/arcgis/rest/services/DevelopmentManagement/Floodplain/MapServer/3,,,55dd57fc1f1a497fb6f8b5d45003e139_3,,Maryland,04b-24005,04b-24005,active,ArcGIS Hub,,Public,,FALSE,
,Crime Reports Application,Open ApplicationAccess an interactive mapping service that allows you to generate a crime report and find statistics for a specific community.,English,Baltimore County Web Map Portal,"Baltimore County, Maryland",,,crime,2018-11-20T21:52:50.000Z,,,,"Baltimore County, Maryland|Maryland","-180.0,-90.0,180.0,90.0",,,,http://data-bc-gis.opendata.arcgis.com/datasets/7c9554e8916744f0b89b11e345a2a013,,,,,7c9554e8916744f0b89b11e345a2a013,,Maryland,04b-24005,04b-24005,active,ArcGIS Hub,,Public,,FALSE,
,Capital Projects,There is no description available.,English,Baltimore County Web Map Portal,"Baltimore County, Maryland",Geospatial data,,capital projects,2018-12-13T17:59:47.000Z,,,,"Baltimore County, Maryland|Maryland","-76.8587,39.2022,-76.3352,39.6848",Dataset|Service,Vector,Shapefile,http://data-bc-gis.opendata.arcgis.com/datasets/aaeb6c96c72c495f9ad1a0b46de16477_0,http://data-bc-gis.opendata.arcgis.com/datasets/aaeb6c96c72c495f9ad1a0b46de16477_0.zip,https://bcgis.baltimorecountymd.gov/arcgis/rest/services/Apps/CapitalProjects/MapServer/0,,,aaeb6c96c72c495f9ad1a0b46de16477_0,,Maryland,04b-24005,04b-24005,active,ArcGIS Hub,,Public,,FALSE,
,Zipcodes,"Zipcodes for Baltimore County, Maryland.",English,Baltimore County Web Map Portal,"Baltimore County, Maryland",Geospatial data,,admin|boundaries,2017-03-27T17:50:09.000Z,,,,"Baltimore County, Maryland|Maryland","-76.8968,39.1947,-76.3254,39.7219",Dataset|Service,Vector,Shapefile,http://data-bc-gis.opendata.arcgis.com/datasets/b61afcd87ad941feac40d2c67d72fe69_0,http://data-bc-gis.opendata.arcgis.com/datasets/b61afcd87ad941feac40d2c67d72fe69_0.zip,https://bcgis.baltimorecountymd.gov/arcgis/rest/services/Miscellaneous/ZIPCodes/MapServer/0,,,b61afcd87ad941feac40d2c67d72fe69_0,,Maryland,04b-24005,04b-24005,active,ArcGIS Hub,,Public,,FALSE,
,Special Flood Hazard Area,"The Digital Flood Insurance Rate Map (DFIRM) Database depicts flood risk information and supporting data used to develop the risk data. The primary risk classifications used are the 1-percent-annual-chance flood event, the 0.2-percent-annual-chance flood event, and areas of minimal flood risk. The DFIRM Database is derived from Flood Insurance Studies (FISs), previously published Flood Insurance Rate Maps (FIRMs), flood hazard analyses performed in support of the FISs and FIRMs, and new mapping data, where available. The FISs and FIRMs are published by the Federal Emergency Management Agency (FEMA). The file is georeferenced to earth's surface using the Maryland Coordinate System, U.S. Survey Foot. The specifications for the horizontal control of DFIRM data files are consistent with those required for mapping at a scale of 1:12,000.",English,Baltimore County Web Map Portal,"Baltimore County, Maryland",Geospatial data,,Flood Plain|flood hazard area|hydrology|elevation|environment|transportation|structure|inlandwaters|FEMA Flood Hazard Zone|Riverine flooding|Floodway|FIRM|DFIRM|SFHA|DFIRM Database|Flood Insurance Rate Map|NFIP|Special Flood Hazard Area|Digital Flood Insurance Rate Map|Base Flood Elevation,2018-04-17T14:21:46.000Z,,,,"Baltimore County, Maryland|Maryland","-76.8968,39.1907,-76.3163,39.7219",Dataset|Service,Vector,Shapefile,http://data-bc-gis.opendata.arcgis.com/datasets/c4c74231efbf4d78a8a41d69daf744ef_4,http://data-bc-gis.opendata.arcgis.com/datasets/c4c74231efbf4d78a8a41d69daf744ef_4.zip,https://bcgis.baltimorecountymd.gov/arcgis/rest/services/DevelopmentManagement/Floodplain/MapServer/4,,,c4c74231efbf4d78a8a41d69daf744ef_4,,Maryland,04b-24005,04b-24005,active,ArcGIS Hub,,Public,,FALSE,
,Road Edge of Pavement,"Layer symbolizes roads from edge of pavement in Baltimore County, Maryland. Data captured from aerial photography.",English,Baltimore County Web Map Portal,"Baltimore County, Maryland",Geospatial data,,Road|Edge of Pavement|Baltimore County|transportation,2016-10-26T18:30:51.000Z,,,,"Baltimore County, Maryland|Maryland","-76.8919,39.1949,-76.3255,39.7225",Dataset|Service,Vector,Shapefile,http://data-bc-gis.opendata.arcgis.com/datasets/c8301bf4b8ed463a8949cd71b4188c41_10,http://data-bc-gis.opendata.arcgis.com/datasets/c8301bf4b8ed463a8949cd71b4188c41_10.zip,https://bcgis.baltimorecountymd.gov/arcgis/rest/services/Transportation/Transportation/MapServer/10,,,c8301bf4b8ed463a8949cd71b4188c41_10,,Maryland,04b-24005,04b-24005,active,ArcGIS Hub,,Public,,FALSE,
,Contours,Feature class contains all contour lines for Baltimore County. Contours are captured in 2 foot intervals. Contours were created from LiDAR captured to meet or exceed the FEMA QL 2 specification. LiDAR was captured in April of 2014.,English,Baltimore County Web Map Portal,"Baltimore County, Maryland",Geospatial data,,Baltimore County|Contours|elevation,2016-09-27T14:07:30.000Z,,,,"Baltimore County, Maryland|Maryland","-76.8956,39.1948,-76.3343,39.7225",Dataset|Service,Vector,Shapefile,http://data-bc-gis.opendata.arcgis.com/datasets/0792e2c9707a4ca5ac8d487a76022479_0,http://data-bc-gis.opendata.arcgis.com/datasets/0792e2c9707a4ca5ac8d487a76022479_0.zip,https://bcgis.baltimorecountymd.gov/arcgis/rest/services/Elevation/Contours/MapServer/0,,,0792e2c9707a4ca5ac8d487a76022479_0,,Maryland,04b-24005,04b-24005,active,ArcGIS Hub,,Public,,FALSE,
,2017 Orthophotography,"The 2017 Orthophotography dataset was captured in a project managed by the State of Maryland. The programis managed by theMarylandGeographic Information Officewith assistance from theMaryland Department of Planningon behalf of theMarylandEmergency Number Systems Boardand local public-safety answering points. The timeframe for capture was March - April of 2017. All products meet or exceed theASPRSClass I Accuracy Standards for 1"" = 200' maps.",English,Baltimore County Web Map Portal,"Baltimore County, Maryland",Aerial imagery,,ortho|orthophotography|2017|baltimore county,2017-12-07T14:24:53.000Z,,,,"Baltimore County, Maryland|Maryland","-76.9166,39.1443,-76.2546,39.7286",Image|Service,Imagery,Imagery,http://data-bc-gis.opendata.arcgis.com/datasets/828fa35c42fa43528802e38564e2d9c3,,,,https://bcgis.baltimorecountymd.gov/arcgis/rest/services/Imagery/Orthos2017/ImageServer,828fa35c42fa43528802e38564e2d9c3,,Maryland,04b-24005,04b-24005,active,ArcGIS Hub,,Public,,FALSE,
,2011 Orthophotography,Orthophotography for Baltimore County from March/April 2011. Complete county wide data set captured in project from Stae of Maryland.,English,Baltimore County Web Map Portal,"Baltimore County, Maryland",Aerial imagery,,Baltimore|Baltimore County|Orthos|2011,2016-08-23T17:58:49.000Z,,,,"Baltimore County, Maryland|Maryland","-76.9165,39.1886,-76.3186,39.7286",Image|Service,Imagery,Imagery,http://data-bc-gis.opendata.arcgis.com/datasets/6d7dbe0ee1f5418e8f3747f839f64a65,,,,https://bcgis.baltimorecountymd.gov/arcgis/rest/services/Imagery/Orthos2011/ImageServer,6d7dbe0ee1f5418e8f3747f839f64a65,,Maryland,04b-24005,04b-24005,active,ArcGIS Hub,,Public,,FALSE,
,Light Gray Canvas,"This map is designed to focus attention on your thematic content by providing a neutral background with minimal colors, labels, and features. The map is intended to support the ArcGIS Online basemap gallery. For more details on the map, please visit the Light Gray Base and Light Gray Reference.",English,esri_en,"Crawford County, Pennsylvania",,,basemap|vector,2017-06-27T22:01:14.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-180,-89.9962,180,89.9962",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/de45b9cad20141ebb82fae0da8b3e2c6,,,,,de45b9cad20141ebb82fae0da8b3e2c6,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
,Dark Gray Canvas,"This map is designed to focus attention on your thematic content by providing a neutral background with minimal colors, labels, and features. The map is intended to support the ArcGIS Online basemap gallery. For more details on the map, please visit the Dark Gray Base and Dark Gray Reference.",English,esri_en,"Crawford County, Pennsylvania",,,basemap|vector,2017-06-27T22:01:14.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-180,-89.9962,180,89.9962",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/a343955125bf4002987c400ad6d0346c,,,,,a343955125bf4002987c400ad6d0346c,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
,Terrain with Labels,"This map features shaded relief imagery, bathymetry and coastal water features that provide neutral background with political boundaries and placenames for reference purposes. The map is intended to support the ArcGIS Online basemap gallery. For more details on the map, please visit the World Hillshade and Terrain with Labels.",English,esri_en,"Crawford County, Pennsylvania",,,basemap|vector,2017-06-27T22:01:15.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-180,-89.9962,180,89.9962",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/1536abe5e5504e5db380ccfaa9b6fd8d,,,,,1536abe5e5504e5db380ccfaa9b6fd8d,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
