Title,Alternative Title,Description,Language,Creator,Title Source,Resource Class,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Resource Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,ID,Identifier,Provider,Code,Member Of,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child Record
,Reason for Stop by Driver Race - Traffic Stops,"In 2016, Saint Paul Police Chief Todd Axtell released 15 years of traffic stop data that hadn't previously been made public. Since then, the department has continued to release data about who is being stopped, where the stops are occurring and why officers are making the stops.2021 Data: At a glanceOfficers made 16,703 traffic stops12,702 traffic stops were made for moving violations3,342 traffic stops were made for equipment violations649 investigative traffic stops were made9 traffic stops were the result of 911 calls1 stop was made for other reasons.Traffic stops: an important public safety toolMost traffic stops occur in areas of the city from which the most 911 calls are madeMost traffic stops occur in neighborhoods experiencing the highest levels of violent crimeOfficers are most likely to issue citations for behavior that leads to crashes, injuries and deathTraffic stops help officers take illegally possessed guns off the streets—in 2021, 150 illegally possessed guns were recovered during traffic stops.Chief Axtell's commitment to responsiveness and transparency with our community led to changes in 2021 for traffic stop protocols of the Saint Paul Police Department.On Sept. 8, 2021, Chief Axtell convened a Traffic Stop Working Group to explore overall traffic safety in the City of Saint Paul, equity and traffic enforcement—and then make recommendations about how the SPPD can best keep the streets safe for everyone.The group included members of the Saint Paul NAACP, the African American Leadership Council, the Black Ministerial Alliance, the City's Department of Human Rights & Equal Economic Opportunity, the City Attorney's Office, traffic safety advocates and Saint Paul police officers.After months of data review and analysis, the group determined that the following driving behaviors and violations are most likely to lead to crashes, injuries and death:speedingdistracted drivingreckless drivingdriving under the influencerunning stop signs and stop lights andegregious equipment violations such as driving without headlights, significantly obstructed view, etc.Through the workgroup and data analysis, the conclusion was reached that, while minor equipment violations (including expired tabs, a single burned out headlight or taillight, small windshield cracks, lack of license plate lights, and small objects hanging from mirrors that don't significantly obstruct a driver's view of the road) are illegal and important to note, they have little effect on the overall safety of our streets.As a result, Chief Axtell provided guidance and direction to officers that minor equipment violations should not be used as a primary reason for a traffic stop, unless there is an articulable public safety concern. In addition, SPPD began working to establish a system to allow officers to document minor equipment violations and notify the registered owners of vehicles via the mail.Where Traffic Stops Occur: Keeping streets and neighborhoods safeThe 2021 data show that officers make most traffic stops in neighborhoods experiencing higher levels of serious crime and where community members have shared concerns about speeding, distracted driving and other dangerous behaviors. These same areas tend to have higher levels of poverty and are among our most diverse. Our community has made clear that they want and need officers in these neighborhoods, deterring crime, helping victims, taking guns off the streets.The maps on the linked website below show that most traffic stops occur in these areas of the city—where officers are responding to reports of shots fired, helping gunshot wound victims, recovering illegally possessed firearms and following up on 911 calls.https://www.stpaul.gov/departments/police/traffic-stop-data",English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-01-18T21:43:19.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/apps/stpaul::reason-for-stop-by-driver-race-traffic-stops,,item.html?id=e5077719516a4715b407b229681f3689,Minnesota,05c-02,05c-02_48,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Downtown Alliance Public Contacts,This data shows information from the months of January to July 2022. This information is being shared to show that the intentional deployment and presence of the ambassadors prior to the summer months could have an impact on the natural increase of crime rates during the warmer period.,English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-01-24T19:47:02.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::downtown-alliance-public-contacts,,item.html?id=b1a542ebac334a4ca71f4ff0449a660f&sublayer=0,Minnesota,05c-02,05c-02_49,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Traffic Stops,"In 2016, Saint Paul Police Chief Todd Axtell released 15 years of traffic stop data that hadn't previously been made public. Since then, the department has continued to release data about who is being stopped, where the stops are occurring and why officers are making the stops.2021 Data: At a glanceOfficers made 16,703 traffic stops12,702 traffic stops were made for moving violations3,342 traffic stops were made for equipment violations649 investigative traffic stops were made9 traffic stops were the result of 911 calls1 stop was made for other reasons.Traffic stops: an important public safety toolMost traffic stops occur in areas of the city from which the most 911 calls are madeMost traffic stops occur in neighborhoods experiencing the highest levels of violent crimeOfficers are most likely to issue citations for behavior that leads to crashes, injuries and deathTraffic stops help officers take illegally possessed guns off the streets—in 2021, 150 illegally possessed guns were recovered during traffic stops.Chief Axtell's commitment to responsiveness and transparency with our community led to changes in 2021 for traffic stop protocols of the Saint Paul Police Department.On Sept. 8, 2021, Chief Axtell convened a Traffic Stop Working Group to explore overall traffic safety in the City of Saint Paul, equity and traffic enforcement—and then make recommendations about how the SPPD can best keep the streets safe for everyone.The group included members of the Saint Paul NAACP, the African American Leadership Council, the Black Ministerial Alliance, the City's Department of Human Rights & Equal Economic Opportunity, the City Attorney's Office, traffic safety advocates and Saint Paul police officers.After months of data review and analysis, the group determined that the following driving behaviors and violations are most likely to lead to crashes, injuries and death:speedingdistracted drivingreckless drivingdriving under the influencerunning stop signs and stop lights andegregious equipment violations such as driving without headlights, significantly obstructed view, etc.Through the workgroup and data analysis, the conclusion was reached that, while minor equipment violations (including expired tabs, a single burned out headlight or taillight, small windshield cracks, lack of license plate lights, and small objects hanging from mirrors that don't significantly obstruct a driver's view of the road) are illegal and important to note, they have little effect on the overall safety of our streets.As a result, Chief Axtell provided guidance and direction to officers that minor equipment violations should not be used as a primary reason for a traffic stop, unless there is an articulable public safety concern. In addition, SPPD began working to establish a system to allow officers to document minor equipment violations and notify the registered owners of vehicles via the mail.Where Traffic Stops Occur: Keeping streets and neighborhoods safeThe 2021 data show that officers make most traffic stops in neighborhoods experiencing higher levels of serious crime and where community members have shared concerns about speeding, distracted driving and other dangerous behaviors. These same areas tend to have higher levels of poverty and are among our most diverse. Our community has made clear that they want and need officers in these neighborhoods, deterring crime, helping victims, taking guns off the streets.The maps on the linked website below show that most traffic stops occur in these areas of the city—where officers are responding to reports of shots fired, helping gunshot wound victims, recovering illegally possessed firearms and following up on 911 calls.https://www.stpaul.gov/departments/police/traffic-stop-data",English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-01-21T18:18:43.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::traffic-stops,,item.html?id=aac7f4802e58484ea8367290deec3522&sublayer=0,Minnesota,05c-02,05c-02_50,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Vacant Buildings Map,Vacant Building Categories: The City of Saint Paul requires a review of the sale of all vacant buildings. Requirements differ based on the category of vacancy.CATEGORY I: Payment of registration and fees Notify the City of new ownership Restore utilities and comply with orders for legal occupancy Obtain a Truth-in-Sale of Housing ReportCATEGORY II (No sale without City approval): Registration of new ownership Payment of registration and fees Code compliance report Cost estimate from licensed contractor for all repairs A schedule for completion of the repairs Proof of financial capability to complete all repairs.CATEGORY III (No sale without City approval): No sale without a Certificate of Code Compliance or Certificate of Occupancy.For more information about Saint Paul's Vacant BuildingProgram visit:https://www.stpaul.gov/departments/safety-inspections/rent-buy-sell-property/vacant-buildings/vacant-building-program,English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-01-19T17:04:30.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::vacant-buildings-map,,item.html?id=284c28f3acea45bd8a513f4d80bb0e67,Minnesota,05c-02,05c-02_51,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,District Council 10 - Como - Crime Incidents,"The data is released by the Saint Paul Police Department every 2 to 3 weeks and includes the following categories: Homicide, Rape, Robbery, Aggravated Assault, Burglary, Theft, Auto Theft, Arson, Domestic Assaults, Vandalism, Narcotics, and Firearm Discharges. Statistics displayed do not reflect official crime index totals, and may change after full investigation.",English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-01-25T21:36:26.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::district-council-10-como-crime-incidents,,item.html?id=8d7f93ce42a5405787506fae98a30e9b&sublayer=0,Minnesota,05c-02,05c-02_52,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,District Council 11 - Hamline/Midway - Crime Incidents,"The data is released by the Saint Paul Police Department every 2 to 3 weeks and includes the following categories: Homicide, Rape, Robbery, Aggravated Assault, Burglary, Theft, Auto Theft, Arson, Domestic Assaults, Vandalism, Narcotics, and Firearm Discharges. Statistics displayed do not reflect official crime index totals, and may change after full investigation.",English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-01-25T21:40:00.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::district-council-11-hamline-midway-crime-incidents,,item.html?id=4a2bdf39fa22417f915267b6c75c2386&sublayer=0,Minnesota,05c-02,05c-02_53,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,District Council 7 - Thomas/Dale(Frogtown) - Crime Incidents,"The data is released by the Saint Paul Police Department every 2 to 3 weeks and includes the following categories: Homicide, Rape, Robbery, Aggravated Assault, Burglary, Theft, Auto Theft, Arson, Domestic Assaults, Vandalism, Narcotics, and Firearm Discharges. Statistics displayed do not reflect official crime index totals, and may change after full investigation.",English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-01-25T20:56:29.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::district-council-7-thomas-dalefrogtown-crime-incidents,,item.html?id=15fe2a27632140ecb07fa5a54f1ccdba&sublayer=0,Minnesota,05c-02,05c-02_54,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,District Council 15 - Highland - Crime Incidents,"The data is released by the Saint Paul Police Department every 2 to 3 weeks and includes the following categories: Homicide, Rape, Robbery, Aggravated Assault, Burglary, Theft, Auto Theft, Arson, Domestic Assaults, Vandalism, Narcotics, and Firearm Discharges. Statistics displayed do not reflect official crime index totals, and may change after full investigation.",English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-01-25T22:06:01.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::district-council-15-highland-crime-incidents,,item.html?id=11b8b15bd68345a2a16f4238d9281667&sublayer=0,Minnesota,05c-02,05c-02_55,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,District Council 9 - West Seventh - Crime Incidents,"The data is released by the Saint Paul Police Department every 2 to 3 weeks and includes the following categories: Homicide, Rape, Robbery, Aggravated Assault, Burglary, Theft, Auto Theft, Arson, Domestic Assaults, Vandalism, Narcotics, and Firearm Discharges. Statistics displayed do not reflect official crime index totals, and may change after full investigation.",English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-01-25T21:12:27.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::district-council-9-west-seventh-crime-incidents,,item.html?id=03ed6abbb7c146619bde5360acc1acaf&sublayer=0,Minnesota,05c-02,05c-02_56,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,District Council 14 - Macalester-Groveland - Crime Incidents,"The data is released by the Saint Paul Police Department every 2 to 3 weeks and includes the following categories: Homicide, Rape, Robbery, Aggravated Assault, Burglary, Theft, Auto Theft, Arson, Domestic Assaults, Vandalism, Narcotics, and Firearm Discharges. Statistics displayed do not reflect official crime index totals, and may change after full investigation.",English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-01-25T21:58:35.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::district-council-14-macalester-groveland-crime-incidents,,item.html?id=eea248a9e048442fbfe322533e30423c&sublayer=0,Minnesota,05c-02,05c-02_57,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,District Council 12 - St. Anthony - Crime Incidents,"The data is released by the Saint Paul Police Department every 2 to 3 weeks and includes the following categories: Homicide, Rape, Robbery, Aggravated Assault, Burglary, Theft, Auto Theft, Arson, Domestic Assaults, Vandalism, Narcotics, and Firearm Discharges. Statistics displayed do not reflect official crime index totals, and may change after full investigation.",English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-01-25T21:46:52.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::district-council-12-st-anthony-crime-incidents,,item.html?id=cde36ddebe9342a583f3bfbc6d351842&sublayer=0,Minnesota,05c-02,05c-02_58,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,District Council 5 - Payne/Phalen - Crime Incidents,"The data is released by the Saint Paul Police Department every 2 to 3 weeks and includes the following categories: Homicide, Rape, Robbery, Aggravated Assault, Burglary, Theft, Auto Theft, Arson, Domestic Assaults, Vandalism, Narcotics, and Firearm Discharges. Statistics displayed do not reflect official crime index totals, and may change after full investigation.",English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-01-25T20:46:25.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::district-council-5-payne-phalen-crime-incidents,,item.html?id=7b4afbe3633c4a52b917f18cd0082af4&sublayer=0,Minnesota,05c-02,05c-02_59,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,District Council 4 - Daytons Bluff - Crime Incidents,"The data is released by the Saint Paul Police Department every 2 to 3 weeks and includes the following categories: Homicide, Rape, Robbery, Aggravated Assault, Burglary, Theft, Auto Theft, Arson, Domestic Assaults, Vandalism, Narcotics, and Firearm Discharges.Statistics displayed do not reflect official crime index totals, and may change after full investigation.",English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-01-25T20:38:55.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::district-council-4-daytons-bluff-crime-incidents,,item.html?id=87b1415ce40446cca3192b5d3f9a26eb&sublayer=0,Minnesota,05c-02,05c-02_60,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,District Council 8 - Summit/University - Crime Incidents,"The data is released by the Saint Paul Police Department every 2 to 3 weeks and includes the following categories: Homicide, Rape, Robbery, Aggravated Assault, Burglary, Theft, Auto Theft, Arson, Domestic Assaults, Vandalism, Narcotics, and Firearm Discharges. Statistics displayed do not reflect official crime index totals, and may change after full investigation.",English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-01-25T21:06:19.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::district-council-8-summit-university-crime-incidents,,item.html?id=a8b17a394c2c430a9348a320812f7c3c&sublayer=0,Minnesota,05c-02,05c-02_61,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,District Council 6 - North End - Crime Incidents,"The data is released by the Saint Paul Police Department every 2 to 3 weeks and includes the following categories: Homicide, Rape, Robbery, Aggravated Assault, Burglary, Theft, Auto Theft, Arson, Domestic Assaults, Vandalism, Narcotics, and Firearm Discharges. Statistics displayed do not reflect official crime index totals, and may change after full investigation.",English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-01-25T20:52:28.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::district-council-6-north-end-crime-incidents,,item.html?id=8d2fd026e1f84bb3ad2da9aaf30c8d66&sublayer=0,Minnesota,05c-02,05c-02_62,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,District Council 3 - West Side - Crime Incidents,"The data is released by the Saint Paul Police Department every 2 to 3 weeks and includes the following categories: Homicide, Rape, Robbery, Aggravated Assault, Burglary, Theft, Auto Theft, Arson, Domestic Assaults, Vandalism, Narcotics, and Firearm Discharges.Statistics displayed do not reflect official crime index totals, and may change after full investigation.",English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-01-25T20:30:48.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::district-council-3-west-side-crime-incidents,,item.html?id=49c013e63cc349a08e12b2defbfffddd&sublayer=0,Minnesota,05c-02,05c-02_63,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,District Council 13 - Union Park - Crime Incidents,"The data is released by the Saint Paul Police Department every 2 to 3 weeks and includes the following categories: Homicide, Rape, Robbery, Aggravated Assault, Burglary, Theft, Auto Theft, Arson, Domestic Assaults, Vandalism, Narcotics, and Firearm Discharges. Statistics displayed do not reflect official crime index totals, and may change after full investigation.",English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-01-25T21:53:11.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::district-council-13-union-park-crime-incidents,,item.html?id=851647acda4141588cfcd9f1f910eb46&sublayer=0,Minnesota,05c-02,05c-02_64,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,District Council 16 - Summit Hill - Crime Incidents,"The data is released by the Saint Paul Police Department every 2 to 3 weeks and includes the following categories: Homicide, Rape, Robbery, Aggravated Assault, Burglary, Theft, Auto Theft, Arson, Domestic Assaults, Vandalism, Narcotics, and Firearm Discharges. Statistics displayed do not reflect official crime index totals, and may change after full investigation.",English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-01-25T22:17:03.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::district-council-16-summit-hill-crime-incidents,,item.html?id=6247493054904e6daf1e689d610d82b1&sublayer=0,Minnesota,05c-02,05c-02_65,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Bridge Fund Family Dataset,"In March 2020, Mayor Carter announced the Saint Paul Bridge Fund to provide emergency relief for families and small businesses most vulnerable to the economic impacts of the COVID-19 pandemic. The program was funded through $3.25 million dollars from the Saint Paul Housing and Redevelopment Authority along with contributions from philanthropic, corporate and individual donors. Through these additional contributions, the fund provided $4.1 million to families and small businesses in Saint Paul.More than 5,200 applications applied for a family grant of $1,000 64% were from ACP50 areas (Areas of Concentrated Poverty where 50% or more of the residents are people of color)The applications were reviewed in order of a random number assigned at application close. Of these applications: 1,265 families were awarded a $1000 grant- 63% were from ACP50 areas- 66% indicated they are renters- 37% cited layoff or furlough as contributing to their economic hardship- 22% cited reduced hours as contributing to their economic hardship- 19% are unbankedThis is a de-identified dataset of the families who applied for the Bridge Fund and includes: Self-reported survey responses Award information Geographic informationAdditional information about the Saint Paul Bridge Fund may be found at stpaul.gov/bridge-fund",English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2021-10-12T19:19:56.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::bridge-fund-family-dataset,,item.html?id=1fcfa558d9d84ecb9e10e4ab6be09285&sublayer=0,Minnesota,05c-02,05c-02_66,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,General Overlay Zoning,"These are the zoning overlays are found in City CodeChapter 67, as well as the Height Districts found inChapter 63. Other major zoning overlays are not found here but are organized as stand-alone layers, including the Floodplain Management Overlay Districts Mississippi River Corridor Critical Area Overlay Districts (both current and future versions), and Special Sign Overlay Districts.This data allows mapping of ten overlay districts:EGEast Grand Avenue Overlay DistrictH1Height District Area IH2Height District Area IIH3Height District Area IIIHVHillcrest Village Overlay DistrictSF-PState Fair Parking Overlay DistrictSF-VState Fair Vending Overlay DistrictSHStudent Housing Neighborhood Overlay DistrictTPTree Preservation Overlay DistrictWBWhite Bear Avenue Overlay DistrictAttributes (Fields) Defined:Zoning:The shorthand for the zoning district, generally a combination of two or three letters and numbers.Zoning Name:The name of the zoning district.Zoning Description:A description of the zoning district, written in HTML, intended for use in the popup in ArcGIS Online.Notes:Notes on the zoning designation.",English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-04-27T14:35:55.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::general-overlay-zoning,,item.html?id=d56d985c779e45968ad973ccc9bf3f55&sublayer=1,Minnesota,05c-02,05c-02_67,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Floodplain Management Overlay Zoning,"The Floodplain Management Overlay Districts are designed to guide floodplain development in order to lessen the adverse effects of floods and to comply with the rules and regulations of the National Flood Insurance Program. The data allows mapping of areas regulated as floodway and flood fringe under the Saint Paul Zoning CodeChapter 72, Floodplain Management Overlay Districts.This data allows mapping of two districts:FWFloodwayFFFlood FringeAttributes (Fields) Defined:Zoning:The shorthand for the zoning district, generally a combination of two or three letters and numbers.Zoning Name:The name of the zoning district.Zoning Description:A description of the zoning district, written in HTML, intended for use in the popup in ArcGIS Online.Notes:Notes on the zoning designation.",English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-04-27T14:39:28.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::floodplain-management-overlay-zoning,,item.html?id=6650e96f101d4f66ae335531a6ef68a3&sublayer=2,Minnesota,05c-02,05c-02_68,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Mississippi River Corridor Critical Area Overlay Zoning,"This data delineates the districts set forth inChapter 68 of Saint Paul City Code, focused on the Mississippi River Corridor Critical Area (MRCCA). Chapter 68 also currently contains floodplain standards which are technically still binding, but have been functionally replaced by the standards set forth in Chapter 72,Floodplain Management Overlay Districts. The River Corridor Overlay District and its subclassifications, RC1, RC2, RC3, RC4, are map overlay districts, designed to provide comprehensive floodplain and river bluff management for the city in accordance with the policies of Minnesota Statutes (Chapters 103 and 116G), Minnesota Regulations (MEQC 54) and Governor's Executive Order No. 79-19.The MRCCA is a land corridor along the Mississippi River in the seven-county metro area in which special land use regulations guide development activity. The corridor extends 72 miles along the Mississippi River from the cities of Ramsey and Dayton in the north to the City of Hastings and Ravenna Township in the south. It includes 54,000 acres of land along both sides of the river. The State of Minnesota created the corridor and land use regulations in 1976. Local governments administer the regulations through their local plans and zoning ordinances.The MRCCA is home to a full range of residential neighborhoods and parks, as well as river-related commerce, industry, and transportation. Though the MRCCA has been extensively developed, many intact and remnant natural areas remain, including bluffs, islands, foodplains, wetlands, riparian zones, and native aquatic and terrestrial flora and fauna.New rules regulating the MRCCAwere published on December 27, 2016 and became effective January 4, 2017. Those new rules and these districts will not apply to Saint Paul until Saint Paul updates its zoning code to conform to the new state rules, which has not been initiated as of April 2018, a process which will take many months to complete. This text should be updated at the time the rules are put into effect. A separate layer shows these future overlay districts. But the districts shown in this layer you are currently looking at are the ones which are currently applicable within the Mississippi River Corridor Critical Area in the City of Saint Paul.This data allows mapping of seven districts:RC1River Corridor Floodway Overlay DistrictRC2River Corridor Flood Fringe Overlay DistrictRC3River Corridor Urban Open Overlay DistrictRC4River Corridor Urban Diversified Overlay DistrictAttributes (Fields) Defined:Zoning:The shorthand for the zoning district, generally a combination of two or three letters and numbers.Zoning Name:The name of the zoning district.Zoning Description:A description of the zoning district, written in HTML, intended for use in the popup in ArcGIS Online.Notes:Notes on the zoning designation.",English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-04-27T14:48:19.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::mississippi-river-corridor-critical-area-overlay-zoning,,item.html?id=75815eba75ec4ba59879ae05a7485485&sublayer=4,Minnesota,05c-02,05c-02_69,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Future Mississippi River Corridor Critical Area Overlay Zoning,"The Mississippi River Corridor Critical Area (MRCCA) districts shown in this layer will NOT applyto Saint Paul until Saint Paul updates its zoning code to conform to the new state rules, a process tentatively expected to be completed in the coming year. This text will be updated at the time the rules are put into effect. In the meantime, a companion layer of the Mississippi River Corridor Critical Area Overlay Districts can be found wherever this layer is found, and the districts in that layer are the ones which are currently applicable within the Mississippi River Corridor Critical Area.This data delineates the Mississippi River Corridor Critical Area (MRCCA) districts as provided inMinnesota Rules, part 6106.0100, subp. 9. The MRCCA is a land corridor along the Mississippi River in the seven-county metro area in which special land use regulations guide development activity. The corridor extends 72 miles along the Mississippi River from the cities of Ramsey and Dayton in the north to the City of Hastings and Ravenna Township in the south. It includes 54,000 acres of land along both sides of the river. The State of Minnesota created the corridor and land use regulations in 1976. Local governments administer the regulations through their local plans and zoning ordinances.The MRCCA is home to a full range of residential neighborhoods and parks, as well as river-related commerce, industry, and transportation. Though the MRCCA has been extensively developed, many intact and remnant natural areas remain, including bluffs, islands, foodplains, wetlands, riparian zones, and native aquatic and terrestrial flora and fauna.New rules regulating the MRCCAwere published on December 27, 2016 and became effective January 4, 2017. The new rules establish six districts, each with dimensional standards for river and bluff setbacks, and building height. The purpose of this map is to delineate the physical boundaries for each of these six districts.According to the accompanying documentation onMinnesota Geospatal Commons, where this feature class was downloaded, this map serves as the authoritative source for the MRCCA districts in rule.This data allows mapping of seven districts:CA-ROSRural and Open Space DistrictCA-RNRiver Neighborhood DistrictCA-RTCRiver Towns and Crossings DistrictCA-SRSeparated from River DistrictCA-UMUrban Mixed DistrictCA-UCUrban Core DistrictAttributes (Fields) Defined:Zoning:The shorthand for the zoning district, generally a combination of two or three letters and numbers.Zoning Name:The name of the zoning district.Zoning Description:A description of the zoning district, written in HTML, intended for use in the popup in ArcGIS Online.Notes:Notes on the zoning designation.",English,Saint Paul GIS,"City of Saint Paul, Minnesota",Geospatial data,2022-04-27T14:42:29.000Z,,,,"Saint Paul, Minnesota, United States|Minnesota, United States",Dataset|Service,Vector,Shapefile,https://information.stpaul.gov/maps/stpaul::future-mississippi-river-corridor-critical-area-overlay-zoning,,item.html?id=49bef931d896461286956592e14860d3&sublayer=3,Minnesota,05c-02,05c-02_70,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
