SYSTEM IDENTIFIER,Coordinates,Main Title,Display Date,Date Start,Date End
UMN_ALMA:9923967060001701,"E0195500 W1695300 N0782700 N0371400; (E 19°55'00""--W 169°53'00""/N 78°27'00""--N 37°14'00"")",Russie d'Asie 1:2 000 000,1927?,1927,1927
UMN_ALMA:9977769908101701,W1022900 W0865100 N0492300 N0421200; (W 102°29ʹ--W 86°51ʹ/N 49°23ʹ--N 42°12ʹ).,"Martin Ulvestads kart over Nordvesten og hovedströget af ""Norge i Amerika"" : Minnesota, Wisconsin, Nord og Syd Dakota med de tilstödende Dele af Nebraska, Iowa, Illinois og Michigan",1901,1901,1901
UMN_ALMA:9976470508601701,E0493500 E0502400 N0403600 N0401200; (E 49°35'--E 50°24'/N 40°36'--N 40°12').,Detalʹnai︠a︡ geologicheskai︠a︡ karta Apsheronskago poluostrova : Bibi-Ėĭbat : masshtab 1:4200,,1914,1914
UMN_ALMA:9975272409601701,"W0040000 E0195900 N0550900 N0415800; (W 4°00'00""-E 19°59'00""/N 55°09'00""-N 41°58'00"").",Bartholomew's contour motoring map of Central Europe showing the best touring roads with heights and distances in metres and kilometres,1913?,1913,1913
UMN_ALMA:9975418877401701,W0980000 W0480000 N0560000 N0370000; (W 98°--W 48°/N 56°--N 37°).,British possessions in North America,between 1820 and 1823,1820,1823
UMN_ALMA:9963446340001701,W0934900 W0931800 N0413200 N0410900; (W 93□49ʹ--W 93□18ʹ/N 41□32ʹ--N 41□09ʹ).,"County map series (topographic), [Iowa]",between 1900 and 1999,1900,9999
UMN_ALMA:9916340940001701,W0821500 W0814500 N0401000 N0394500; (W 82°15'--W 81°45' / N 40°10'--N 39°45').,"Muskingum County, Ohio ",1912,1912,1912
UMN_ALMA:9976760695501701,W0723000 W0710000 N0480000 N0463000; (W 72°30ʹ--W 71°00ʹ/N 48°00ʹ--N 46°30ʹ).,"Quebec, Montreal sheet : portions of Champlain, Portneuf, Quebec, Montmorency, Charlevoix, Bellechasse, Dorchester, Lévis, Lotbinière and Nicolet counties ",1929,1929,1929
UMN_ALMA:9976760404301701,0813000 080000000 0480000 0463000; (W 81°30ʹ--W 80°00ʹ/N 48°00ʹ--N 46°30ʹ).,"Ontario, Gowganda sheet : portions of Timiskaming, Nipissing and Sudbury Districts ",1929,1929,1929
UMN_ALMA:9975267307201701,E0014500 E0081900 N0510500 N0450000; (E 1°45'--E 8°19'/N 51°05'--N 45°00'),Carte du front : la frontière française de la Mer du Nord à l'Italie,between 1920 and 1940?,1920,1940
UMN_ALMA:9963402080001701,W0924700 W0921600 N0415300 N0412900; (W 92□47ʹ--W 92□16ʹ/N 41□53ʹ--N 41□29ʹ).,"County map series (topographic), [Iowa]",between 1900 and 1999,1900,9999
UMN_ALMA:9976574997301701,"W0890520 W0885347 N0435115 N0434500; (W 89°05'20""-W 88°53'47""/N 43°51'15""-N 43°45'00"").","Hydrographic map of Green Lake, Green Lake County, Wis. ",1898,1898,1898
UMN_ALMA:9976156487801701,W1800000 E1800000 S0200000 S0900000; (W 180°--E 180°/S 20°--S 90°).,Polus Antarcticus,1650,1650,1650
UMN_ALMA:9975609308601701,E0900000 W1500000 N0710000 N0460000; (E 90°--W 150°/N 71°--N 46°).,Eastern Siberia,1838,1838,1838
UMN_ALMA:9975609308701701,E0345700 E0582500 N0150600 S0200800; (E 34°57ʹ00ʺ--E 58°25ʹ00ʺ/N 15°06ʹ00ʺ--S 20°08ʹ00ʺ).,The coast of Zanguebar and Aien,1688,1688,1688
UMN_ALMA:9975287408901701,W0083900 W0004300 N0605100 N0543700; (W 8°39ʹ00ʺ--W 0°43ʹ00ʺ/N 60°51ʹ00ʺ--N 54°37ʹ00ʺ).,"Scarborough's map of Scotland, shewing counties, all railroad and steamship lines with distances between stations and landings",between 1901 and 1910,1901,1910
UMN_ALMA:9931349920001701,"W1200000 W0894900 N0600000 N0475400; (W 120°00'00""--W 89°49'00""/N 60°00'00""--N 47°54'00"").","Map of Manitoba, Saskatchewan and Alberta : edition showing tree distribution up to Dec. 31, 1909 ",1909,1909,1909
UMN_ALMA:9931349920001701,"W1200000 W0894900 N0600000 N0475400; (W 120°00'00""--W 89°49'00""/N 60°00'00""--N 47°54'00"").","Map of Manitoba, Saskatchewan and Alberta : edition showing tree distribution up to Dec. 31, 1909 ",1909,1909,1909
UMN_ALMA:9939165680001701,"W0003509 W0003331 N0445123 N0444950; (W 0°35'09""--W 0°33'31""/N 44°51'23""--N 44°49'50"")",Bourdeaux ...,1690?-1709?,169u,170u
UMN_ALMA:9938270230001701,"E0735200 E0765500 N0322900 N0293200; (E 73°52'00""--E 76°55'00""/N 32°29'00""--N 29°32'00"")","Map of the Panjab, Kashmir, Iskardu & Ladhak : comprising the dominions of Ranjeet Singh ",1847,1849,1849
UMN_ALMA:9934116830001701,E0800000 E1500000 N0600000 N0350000; (E 80°--E 150°/N 60°--N 35°).,Siberia and Chinese Tartary,1838,1838,1838
UMN_ALMA:9937010560001701,"W0971400 W0950500 N0490000 N0481000; (W 97°14'00""-- W 95°05'00""/N 49°00'00""--N48°10'00"").","Map of Kittson, Marshall and Roseau Counties, Minnesota : school and other state lands, for sale in 1913 ",1913,1913,1913
UMN_ALMA:9936620080001701,"W1050000 W0665800 N0490500 N0283300; (W 105°00'00""--W 66°58'00""/N 49°05'00""--N 28°33'00"").","Mitchell's travellers guide through the United States : a map of the roads, distances, steam boat & canal routes & c. ",1832,1832,1832
UMN_ALMA:9928901790001701,"E0801625 E0801741 N0130538 N0130357; (E 80°16'25""-E 80°17'41""/N 13°05'38""-N 13°03'57"")",A plan of Madras and Fort St George,1792?,1792,1792
UMN_ALMA:9935041000001701,"W0952800 W0883000 N0472500 N0285800; (W 95°28'00""--W 88°30'00""/N 47°25'00""--N 28°58'00"").",Survey of the Mississippi River,1878-79,1878,1879
UMN_ALMA:9930053490001701,"W0282500 E0444300 N0722600 N0350900; (W 28°25'00""--E 44°43'00""/N 72°26'00""--N 35°09'00"")","Higginson's map of Europe : comprising Sardinia, Switzerland & Italy, with a large part of France & Germany ",1859,1859,1859
UMN_ALMA:9937041840001701,E0341500 E0391500 N0331500 N0293000; (E 34°15ʻ--E 39°15ʻ/N 33°15ʻ--N 29°30ʻ).,Palestine,1916,1916,1916
UMN_ALMA:9935764970001701,W1200000 W1140000 N0420000 N0350000; (W 120°--W 114°/N 42°--N 35°).,Hammond's enlarged map of Nevada,1911,1911,1911
UMN_ALMA:9934052830001701,W0971500 W0893000 N0492300 N0433000; (W 97°15'--W 89°30; /N 49°23'--N 43°30'),Map of Minnesota,1925,1925,1925
UMN_ALMA:9931955270001701,W1221900 W1213000 N0395000 N0380000; (W 122⁰19ʹ--W 121⁰30ʹ/N 39⁰50ʹ--N 38⁰00ʹ).,"California, Sacramento Valley",1904-1908,1904,1908
UMN_ALMA:9939507830001701,E0650000 E1500000 N0500000 N0250000; (E 065⁰--E 150⁰/N 50⁰--N 25⁰).,Imperii Persici in omnes suas provincias nova tabula geographica,1724,1724,1724
UMN_ALMA:9931947380001701,W0740000 W0650000 N0490000 N0450000; (W 740--W 650/N 490--N 450).,Canada East or Lower Canada and New Brunswick,1855,1855,1855
UMN_ALMA:9930983600001701,"E0055100 E0251100 N0562400 N0471600; (E 5°51'00""--E 25°11'00""/N 56°24'00""--N 47°16'00"").",The Rand McNally new library atlas map of the German Empire,1912,1912,1912
UMN_ALMA:9928896220001701,"W0844900 W0803100 N0421900 N0382400; (W 84ʻ49'00""--W 80ʻ31'00""/N 42ʻ19'00""--N 38ʻ24'00"")","The travellers guide through Ohio : with its canals, roads & distances ",1837,1837,1837
UMN_ALMA:9930994530001701,W0120000 E0400000 N0460000 N0260000; (W 12⁰--E 40⁰/N 46⁰--N 26⁰).,The National Geographic magazine map of the countries bordering the Mediterranean Sea,1912?,1912,1912
UMN_ALMA:9934946560001701,"E0700300 E0865600 N0194300 N0052400; (E 70°03'00""--E 86°56'00""/N 19°43'00""--N 5°24'00"")","Suite de la carte de l'Inde en deçà du Gange : IIe. feuille, comprenant la Presqu' Isle de l'Inde : pour servir à l'Histoire générale des voyages",1780,1780,1780
UMN_ALMA:9948197150001701,"W0934105 W0932915 N0445811 N0445304; (W 93°41'05""--W 93°29'15""/N 44°58'11""--N 44°53'04"").","Chart of Lake Minnetonka, Minnesota ",1906,1906,1906
UMN_ALMA:9939932070001701,"W0920900 W0915500 N0441200 N0440100; (W 92°09'00""--W 91°55'00""/N 44°12'00""--N 44°01'00"").","Location survey of Whitewater state park, Winona county, Minnesota, 1922 : showing proposed acquisition and improvements ",1922,1922,1922
UMN_ALMA:9948199940001701,"W0923500 W0893800 N0481400 N0471500; (W 92°35'00""--W 89°38'00""/N 48°14'00""--N 47°15'00"").","Superior National Forest, Minnesota, 1928",1928,1928,1928
UMN_ALMA:9947303320001701,"W0902500 W0820700 N0481800 N0414100; (W 90ʻ25'00""--W 82ʻ07'00""/N 48ʻ18'00""--N 41ʻ41'00"")",Hammond's enlarged map of Michigan,1911,1911,1911
UMN_ALMA:9948658390001701,W0865000 W0822000 N055000 N0414000; (W 86⁰50ʹ--W 82⁰20ʹ/N 45⁰50ʹ--N 41⁰40ʹ).||W0921000 W0832500 N0491500 N0450000; (W 92⁰10ʹ--W 83⁰25ʹ/N 49⁰15ʹ--N45⁰00ʹ).,"Michigan : Southern Peninsula ; Michigan, Northern Peninsula ",1904,1904,1904
UMN_ALMA:9947629000001701,W0730000 W0490000 N0130000 S0010000; (W 73°--W 49°/N 13°--S 1°).,A map of the Caracas,1814,1814,1814
UMN_ALMA:9940803920001701,"W0803000 W0693000 N0472500 N0363600; (W 80°30'00""--W 69°30'00""/N 47°25'00""--N 36°36'00"").","Pensilvaniæ, Novæ-Cæsareæ, Novi-Eboraci, Aquanishuonigæ et Canadæ ",1784,1784,1784
UMN_ALMA:9948338940001701,"W0970600 W0820600 N0500700 N0393100; (W 97°06'00""--W 82°06'00""/N 50°07'00""--N 39°31'00"").","Map showing the Soo Line, comprising the Sault Ste. Marie & Atlantic and Minneapolis & Pacific railways ",1887,1887,1887
UMN_ALMA:9942236910001701,"W0710243 W0710010 N0422035 N0421713; (W 71°02'43""--W 71°00'10""/N 42°20'35""--N 42°17'13"").",Preliminary study of a plan for a pleasure bay between Dorchester Point and Castle Island,1883?,1883,1883
UMN_ALMA:9948670250001701,W0970000 W0900000 N0493000 N0430000; (W 97⁰--W 90⁰/N 49⁰30ʹ--N 43⁰).,"Rand, McNally and Co.'s Minnesota ",1880,1880,1880
UMN_ALMA:9948656750001701,W1020000 W0950000 N0400000 N0370000; (W 102°--W 95° / N 40°--N 37°).,The Federal Aid Highway System progress map : [Kansas],1927,1927,1927
UMN_ALMA:9948177310001701,W0942600 W0930200 N0475600 N0470100; (W 94⁰26ʹ--W 93⁰02ʹ/N 47⁰56ʹ--N 47⁰01ʹ).,"Standard map of Itasca County, Minnesota",1929,1929,1929
UMN_ALMA:9940938080001701,W0971500 W0893000 N0491000 N0431500; (W 97⁰15ʹ--W 89⁰30ʹ/N 49⁰10ʹ--N 43⁰15ʹ).,Minnesota,between 1871 and 1880?,1871,1880
UMN_ALMA:9941245500001701,E0303000 E0330000 N0474000 N0462000; (E 30°30ʻ--E 33°00ʻ/N 47°40ʻ--N 46°20ʻ).,Kärnten und Steiermark (west),between 1920 and 1929?,192u,192u
UMN_ALMA:9941256780001701,"W1244200 W1162700 N0461700 N0415900; (W 124°42'00""--W 116°27'00""/N 46°17'00""--N 41°59'00"")",Location of large timber holdings in western Oregon : report of the Commissioner of Corporations on the Lumber Industry,1914?,1914,1914
UMN_ALMA:9941256780001701,"W1244200 W1162700 N0461700 N0415900; (W 124°42'00""--W 116°27'00""/N 46°17'00""--N 41°59'00"")",Location of large timber holdings in western Oregon : report of the Commissioner of Corporations on the Lumber Industry,1914?,1914,1914
UMN_ALMA:9940677010001701,"W0054100 E0082800 N0511600 N0422300; (W 5°41'00""--E 8°28'00""/N 51°16'00""--N 42°23'00"")","Carte de France, routière et kilométrique indiquant les grands itinéraires automobiles ",1929?,1929,1929
UMN_ALMA:9943453450001701,W0840000 W0801000 N0305000 N0253000; (W 84°00ʹ--W 80°10ʹ/N 30°50ʹ--N 25°30ʹ).,New sectional map of the eastern & southern portion of the state of Florida,1887,1887,1887
UMN_ALMA:9946637640001701,W1150000 W1000000 N0540000 N0490000; (W 115°--W 100°/N 54°--N 49°).,"Map shewing mounted police stations & patrols throughout the North-West Territories, during the year 1888 : also boundaries of the Indian treaties and location of Indian reserves ",1889,1889,1889
UMN_ALMA:9942214880001701,W0120000 E0090000 N0450000 N0330000; (W 12°--E 9°/N 45°--N 33°).,"A chart of the coasts of Spain and Portugal, with the Balearic Islands, and part of the coast of Barbary ","June 28th,",1780,1780
UMN_ALMA:9945020900001701,"W0971400 W0892900 N0492300 N0432900; (W 97ʻ14'00""--W 89ʻ29'00""/N 49ʻ23'00""--N 43ʻ29'00"")","Railroad commissioners' map of Minnesota : corrected to May 1, 1910 ","1910, 1909",1909,1910
UMN_ALMA:9948196060001701,W0921000 W0923700 N0454500 N0451600; (W 92⁰10ʹ--W 92⁰37ʹ/N 45⁰45ʹ--N 45⁰16ʹ).,"Standard map of Chisago County, Minnesota : showing portions of Anoka and Isanti counties",1920,1920,1920
UMN_ALMA:9940774350001701,W1460000 W0380000 N0700000 N0400000; (W 146°--W 38°/N 70°--N 40°).,Railway Map of the Dominion of Canada,1907,1907,1907
UMN_ALMA:9942876090001701,"W0794500 W0714700 N0450000 N0402800; (W 79ʻ45'00""--W 71ʻ47'00""/N 45ʻ00'00""--N 40ʻ28'00"")",Map of the State of New York : showing the state system of highways and secondary roads suitable for motor travel,1923,1923,1923
UMN_ALMA:9940935860001701,W0971500 W0893000 N0492300 N0431500; (W 97⁰15ʹ--W 89⁰30ʹ/N 49⁰23ʹ--N 43⁰15ʹ).,Minnesota,between 1871 and 1880?,1871,1880
UMN_ALMA:9944524130001701,"W0844900 W0803100 N0415800 N0382400; W 84°49'00""-W 80°31'00""/N 41°58'00""-N 38°24'00""",Geological map of the state of Ohio,1879,1879,1879
UMN_ALMA:9948560820001701,W1030000 W0942900 N0370000 N0334100; (W 103-̊W 94 ̊29/́N 37-̊N 33 ̊41)́.,"Rand, McNally & Co.'s Oklahoma and Indian Territory",1903,1903,1903
UMN_ALMA:9940804920001701,"W0923100 W0650100 N0493500 N0235500; (W 92°31'00""--W 65°01'00""/N 49°35'00""--N 23°55'00"").",The United States in 1830,between 1900 and 1999,1900,1980
UMN_ALMA:9944520750001701,W0950000 W0913100 N0470600 N0432900; Not given,Chapman's new sectional map of Minnesota,1856,1856,1856
UMN_ALMA:9944108590001701,W0942600 W0930200 N0475600 N0470100; (W 94⁰26ʹ--W 93⁰02ʹ/N 47⁰56ʹ--N 47⁰01ʹ).,"Itasca County, Minnesota : cheap homes for thousands ",1908?,1908,1908
UMN_ALMA:9943941480001701,W0062000 E0020000 N0554600 N0490000; (W 6⁰20ʹ--E 2⁰00ʹ/N 55⁰46ʹ--N 49⁰00ʹ).,The Rand-McNally new library atlas map of England and Wales,1912,1912,1912
UMN_ALMA:9946970010001701,E0721000 E0820000 N0191500 N0074800; (E 73°00ʹ--E 82°00ʹ/N 19°15ʹ--N 7°48ʹ).,"A map of the peninsula of India : from the 19th degree north latitude to Cape Comorin, MDCCXCII ",1799,1799,1799
UMN_ALMA:9945230200001701,"W1410000 W0521900 N0600600 N0350000; (W 141°00'00""--W 52°19'00""/N 60°06'00""--N 35°00'00"").",Map showing the route by road & navigation for connecting the Atlantic & Pacific Oceans : to accompany S.J. Dawson's report of the red river expedition,1859,1859,1859
UMN_ALMA:9943092990001701,W0971500 W0893000 N0492300 N0433000; (W 97⁰15ʹ--W 89⁰30ʹ/N 49⁰23ʹ--N 43⁰30ʹ).||W0961500 W0890000 N0404500 N0360000; (W 96⁰15ʹ--W 89⁰00ʹ/N 40⁰45ʹ--N 36⁰00ʹ).,Minnesota : Missouri,1886?,1886,1886
UMN_ALMA:9944506310001701,"W0944000 W0863900 N0470400 N0422700; W 94°40'00""-W 86°39'00""/N 47°04'00""-N 42°27'00""",Public surveys in the state of Wisconsin and territory of Minnesota,1849,1849,1849
UMN_ALMA:9944530600001701,"W0723300 W0703300 N0451800 N0424100; (W 72°33'00""--W 70°33'00""/N 45°18'00""--N 42°41'00"")",Map of New Hampshire,1816,1816,1816
UMN_ALMA:9943967850001701,"W0925300 W0861400 N0471800 N0422900; (W 92ʻ53'00""--W 86ʻ14'00""/N 47ʻ18'00""--N 42ʻ29'00"")",State of Wisconsin : compiled from the official records of the General Land Office and other sources,1912,1912,1912
UMN_ALMA:9943452410001701,"W1223344 W1222053 N0471908 N0471000; (W 122°33'44""--W 122°20'53""/N 47°19'08""--N 47°10'00"")",Metsker's guide map of Tacoma : the lumber capital of America,1923,1923,1923
UMN_ALMA:9943449780001701,"E0800300 E0881200 N0302600 N0262000; (E 80°03'00""--E 88°12'00""/N 30°26'00""--N 26°20'00"")",The Karakoram Himalayas,1894,1894,1894
UMN_ALMA:9940653790001701,W1190200 W1185600 N0353000 N0352500; (W 119⁰02ʹ--W 118⁰56ʹ/N 35⁰30ʹ--N 35⁰25ʹ).,Kern River oil field,1915,1915,1915
UMN_ALMA:9940882340001701,W0971500 W0760000 N0190000 N0043000; (W 97°15ʹ--W 76°00ʹ/N 19°00ʹ--N 4°30ʹ).,"Map of Central America, shewing the different lines of Atlantic & Pacific communication ",1850,1850,1850
UMN_ALMA:9940971540001701,"E0120000 E0180000 N0520000 N0450000; (E 12°00'00""--E 18°00'00""/N 52°00'00""--N 45°00'00"").","A general map of Saxony and Bohemia, with the adjacent countries, including all Silesia : being a specimen of a new Geographical and military atlas, to be continued occasionally ",1760-,1760,9999
UMN_ALMA:9944903080001701,"W0004600 W0002800 N0524500 N0523300; (W °46'00""--W °28'00""/N 52°45'00""--N 52°33'00"").",Comitatus Rotelandiæ tabula nova & aucta,1695,1695,1730
UMN_ALMA:9947638750001701,W0890543 W0330543 N0130000 S0570000; (W 89°5ʹ43ʺ--W 33°5ʹ43ʺ/N 13°00ʹ00ʺ--S 57°00ʹ00ʺ).,"A new map of South America, from the latest authorities",1814,1814,1814
UMN_ALMA:9939886250001701,W0931200 W0930100 N0445900 N0445300; (W 93⁰12ʹ--W 93⁰01ʹ/N 44⁰59ʹ--N 44⁰53ʹ).,"R.L. Polk & Co.'s directory map of the city of St. Paul, Minn ","1889, 1888",1888,1889
UMN_ALMA:9947186270001701,"W1800000 E1800000 N0845900 S0850000; (W 180ʻ00'00""--E 180ʻ00'00""/N 84ʻ59'00""--S 85ʻ00'00"")",[Mapa-mundi] : Juan de la Cosa la fizo en el puerto de S.M. en el año de 1500,1892,1892,1892
UMN_ALMA:9947186270001701,"W1800000 E1800000 N0845900 S0850000; (W 180ʻ00'00""--E 180ʻ00'00""/N 84ʻ59'00""--S 85ʻ00'00"")",[Mapa-mundi] : Juan de la Cosa la fizo en el puerto de S.M. en el año de 1500,1892,1892,1892
UMN_ALMA:9942809170001701,"W0952300 W0923400 N0471500 N0445700; (W 95°23'00""--W 92°34'00""/N 47°15'00""--N 44°57'00"").",Map of the Mississippi River : from Lake Itasca to the Falls of Saint Anthony,1881,1881,1881
UMN_ALMA:9944906060001701,"W0044500 W0024500 N0532400 N0522400; (W 4°45'00""--W 2°45'00""/N 53°24'00""--N 52°24'00"").",North Wales,1695?,1695,1695
UMN_ALMA:9944902210001701,"W0022100 W0012900 N0514000 N0505600; (W 2°21'00""--W 1°29'00""/N 51°40'00""--N 50°56'00"").",A new map of the county of Wilts : divided into hundreds,January 6th 1804,1804,1804
UMN_ALMA:9943090060001701,W755430 W755430 N0435830 N0435830; (W 75°54ʹ30ʺ/N 43°58ʹ30ʺ).,"Map of the City of Watertown, N.Y. ",1929,1929,1929
UMN_ALMA:9948339770001701,"W0710400 W0710200 N0422200 N0422100; (W 71°04'00""--W 71°02'00""/N 42°22'00""--N 42°21'00"").","Plan of Boston showing existing ways and owners on Dec. 25, 1643 ",1903,1903,1903
UMN_ALMA:9939537540001701,"W0283848 W0283559 N0383300 N0383048; (W 28°38'48""--W 28°35'59""/N 38°33'00""--N 38°30'48"")||W0283756 W0283138 N0383301 N0382936; (W 28°37'56""--W 28°31'38""/N 38°33'01""--N 38°29'36"")","Horta and Pim Bays  Azores, Fayal Channel ",1891,1891,1891
UMN_ALMA:9948348310001701,"E1442400 W0642100 N0713600 S0144500; (E 144°24'00""--W 64°21'00""/N 71°36'00""--S 14°45'00"")",Map of Cook's Tours in America,1886,1886,1886
UMN_ALMA:9940012940001701,"W0951800 W0882500 N0463100 N0365300; (W 95°18'00""--W 88°25'00""/N 46°31'00""--N 36°53'00"").","Map of the Upper Mississippi River : from the mouth of the Ohio River to Lake Itasca, Minn. in fifty sheets",1893-1915,1893,1915
UMN_ALMA:9944463530001701,"E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")||E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")||E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")",Kungl. Automobil Klubbens turistkarta öfver Sverige,1925,1925,1925
UMN_ALMA:9944463530001701,"E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")||E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")||E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")",Kungl. Automobil Klubbens turistkarta öfver Sverige,1925,1925,1925
UMN_ALMA:9944463530001701,"E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")||E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")||E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")",Kungl. Automobil Klubbens turistkarta öfver Sverige,1925,1925,1925
UMN_ALMA:9943086240001701,,State Park Devils Lake Wisconsin : course in plane table surveying,1923,1923,1923
UMN_ALMA:9951232970001701,"W0971400 W0892900 N0492300 N0432900; (W 97°14'00""--W 89°29'00""/N 49°23'00""--N 43°29'00"").||W0971400 W0892900 N0492300 N0432900; (W 97°14'00""--W 89°29'00""/N 49°23'00""--N 43°29'00"").",[Fire insurance maps of Minnesota],1903?-,1903,9999
UMN_ALMA:9956972200001701,E0140000 E0300000 N0510000 N0400000; (E 14⁰--E 30⁰/N 51⁰--N 40⁰).,"Le royaume de Hongrie, et les estats qui en ont esté sujets, et qui sont presentement la partie septentrionale de la Turquie en Europe : tiré des memoires les pl. nouveaux ",1684,1684,1684
UMN_ALMA:9951636770001701,W0644000 W0615500 N0471500 N0454000; (W 64°40ʻ--W 61°55ʻ/N 47°15ʻ--N 45°40ʻ).,"Prince Edward Island, Nova Scotia, and New Brunswick ",1927,1927,1927
UMN_ALMA:9954585360001701,"W1682600 W0300400 N0834600 S0564300; (W 168°26'00""--W 30°04'00""/N 83°46'00""--S 56°43'00"").","New map of America divided into its kingdoms, states, governments, and other subdivisions : from the latest observations",1799,1799,1799
UMN_ALMA:9952837440001701,W1290000 W0600000 N0560000 N0210000; (W 129⁰--W 60⁰/N 56⁰--N 21⁰).,"General railway map engraved expressly for the Official guide of the railways and steam navigation lines of the United States, Porto Rico, Canada, Mexico and Cuba, comprising maps of the United States, Cuba, Porto Rico, the Philippines, etc",1923,1923,1923
UMN_ALMA:9949972930001701,W0840000 W0810000 N0420000 N0390000; (W 84⁰--W 81⁰/N 42⁰--N 40⁰).,The Federal Aid Highway System progress map : [Ohio],1927,1927,1927
UMN_ALMA:9949972930001701,W0840000 W0810000 N0420000 N0390000; (W 84⁰--W 81⁰/N 42⁰--N 40⁰).,The Federal Aid Highway System progress map : [Ohio],1927,1927,1927
UMN_ALMA:9950329000001701,W0031500 W0004500 N0524000 N0514000; (W 3°15ʻ--W 0°45ʻ/N 52°40ʻ--N 51°40ʻ).,Tourists' & cyclists' road map of England & Wales : sheet 11,between 1920 and 1929?,192u,192u
UMN_ALMA:9954584370001701,"W0064200 E0020500 N0555500 N0494000; (W 6°42'00""--E 2°05'00""/N 55°55'00""--N 49°40'00"")",Bacon's cycling road-map of England & Wales,1915,1915,1915
UMN_ALMA:9954626310001701,"W1313900 W0595600 N0551600 N0394000; (W 131°39'00""--W 59°56'00""/N 55°16'00""--N 39°40'00"").",Sectional map indicating main automobile roads between Canada & United States,1929,1929,1929
UMN_ALMA:9959262220001701,0923000 0870000 0473000 0420000; (W 92°30ʹ--W 87°/N 47°30ʹ--N 42°).,The Rand McNally new commercial atlas map of Wisconsin,1919?,1919,1919
UMN_ALMA:9951959550001701,"W0944900 W0922400 N0495900 N0483600; (W 94°49'00""--W 92°24'00""/N 49°59'00""--N 48°36'00"").","Lake of the Woods fishing [and] hunting map : showing locations of fishing and hunting camps in Kenora, Fort Frances, Emo, Rainy River, Dryden, Hudson, Sioux Lookout and Ignace Districts",between 1900 and 1999,1900,1999
UMN_ALMA:9957954140001701,W1250000 W1063000 N0370000 N0320000; (W 125⁰00ʹ--W 106⁰30ʹ/N 37⁰00ʹ--N 32⁰00ʹ).,Reconnaissance and survey of a railway route from Mississippi River near the 35th parallel north lat to Pacific Ocean : Map no. 1,1854?,1854,1854
UMN_ALMA:9952857330001701,"E1442400 W0642100 N0713600 S0144500; (E 144°24'00""--W 64°21'00""/N 71°36'00""--S 14°45'00"").",National highways map of the United States : showing one hundred thousand miles of national highways,1915,1915,1915
UMN_ALMA:9951666830001701,W0925400 W0864500 N0470700 N0423000; (W 92°54´-- W 86°45´ / N 47°07´-- N 42°30´).,Map of Wisconsin showing geology and roads,1911,1911,1911
UMN_ALMA:9951666830001701,W0925400 W0864500 N0470700 N0423000; (W 92°54´-- W 86°45´ / N 47°07´-- N 42°30´).,Map of Wisconsin showing geology and roads,1911,1911,1911
UMN_ALMA:9959280100001701,W0861600 W0853200 N0424600 N0422500; (W 86°16ʹ--W 85°32ʹ/N 42°46ʹ--N 42°25ʹ).,"Soil map, Michigan, Allegan Co. sheet ",1901,1901,1901
UMN_ALMA:9951765520001701,W0971500 W0893000 N0492300 N0433000; (W 97⁰15ʹ--W 89⁰30ʹ/N 49⁰23ʹ--N 43⁰30ʹ).,"Rand, McNally & Co.'s Minnesota ","1897, 1895",1895,1897
UMN_ALMA:9949956690001701,W0800000 W0720000 N0450000 N0410000; (W 80°--W 72° / N 45°--N 41₇).,The federal aid highway system progress map : [New York],1926,1926,1926
UMN_ALMA:9956989870001701,"E0590000 E0980000 N0300000 N0050000; (E 59°00'00""--E 98°00'00""/N 30°00'00""--N 5°00'00"")",The East Indies : with the roads,30th April 1768,1768,1768
UMN_ALMA:9955516250001701,W1090000 W1020000 N0410000 N0370000; (W 109°--W 102°/N 41°--37°).,Map of the state of Colorado showing the coal and metalliferous areas,1910,1910,1910
UMN_ALMA:9974819677101701,W0800000 W0753000 N0393000 N0363000; (W 80°00ʹ00ʺ--W 75°30ʹ00ʺ/N 39°30ʹ00ʺ--N 36°30ʹ00ʺ).,Map showing the location of battle fields of Virginia,1892,1892,1892
UMN_ALMA:9974055208201701,W1224400 W1223700 N0453600 N0452800; (W 122°44ʹ--W 122°37ʹ/N 45°36ʹ--N 45°28ʹ).,Riggen & Holbrook's map of Portland and environs,1889,1889,1889
