Title,Spatial Coverage,Alternative Title,Description,Language,Creator,Resource Class,ISO Topic Categories,Keyword,Date Issued,Temporal Coverage,Date Range,Resource Type,Format,Information,Download,ID,Identifier,Provider,Code,Is Part Of,Member Of,Accrual Method,Date Accessioned,Rights,License,Access Rights,File Size,Bounding Box
Railways [District of Columbia],District of Columbia,HOTOSM United States (District of Columbia) Railways (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:railway IN ('rail','station')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,facilities and infrastructure|geodata|railways|transportation,2020-06-30,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_districtofcolumbia_railways,https://data.humdata.orghttps://export.hotosm.org/downloads/f4fc9e9e-0e04-4367-8361-116fd0d3baea/hotosm_usa_districtofcolumbia_railways_lines_shp.zip,0251dcd4-7f61-4353-b765-56d8a74e6a41,https://data.humdata.org/dataset/hotosm_usa_districtofcolumbia_railways,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-77.1197949,38.7916303,-76.909366,38.995968"
Buildings [District of Columbia],District of Columbia,HOTOSM United States (District of Columbia) Buildings (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:building IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,buildings|geodata,2020-06-30,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_districtofcolumbia_buildings,https://data.humdata.orghttps://export.hotosm.org/downloads/f4fc9e9e-0e04-4367-8361-116fd0d3baea/hotosm_usa_districtofcolumbia_buildings_polygons_shp.zip,e4da7796-29ac-43fd-9309-7615b21c3c0e,https://data.humdata.org/dataset/hotosm_usa_districtofcolumbia_buildings,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-77.1197949,38.7916303,-76.909366,38.995968"
Waterways [District of Columbia],District of Columbia,HOTOSM United States (District of Columbia) Waterways (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:waterway IS NOT NULL OR water IS NOT NULL OR natural IN ('water','wetland','bay')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|rivers|water bodies - hydrography|waterbodies,2020-06-30,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_districtofcolumbia_waterways,https://data.humdata.orghttps://export.hotosm.org/downloads/f4fc9e9e-0e04-4367-8361-116fd0d3baea/hotosm_usa_districtofcolumbia_waterways_lines_shp.zip,e8aeae56-571a-4ad5-baeb-997ab16910a1,https://data.humdata.org/dataset/hotosm_usa_districtofcolumbia_waterways,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-77.1197949,38.7916303,-76.909366,38.995968"
Sea Ports [District of Columbia],District of Columbia,HOTOSM United States (District of Columbia) Sea Ports (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity = 'ferry_terminal' OR building = 'ferry_terminal' OR port IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,facilities and infrastructure|geodata|logistics|ports|transportation,2020-06-30,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_districtofcolumbia_sea_ports,https://data.humdata.orghttps://export.hotosm.org/downloads/f4fc9e9e-0e04-4367-8361-116fd0d3baea/hotosm_usa_districtofcolumbia_sea_ports_points_shp.zip,90f26ff6-94ee-4807-9a8e-a4a0c00afc53,https://data.humdata.org/dataset/hotosm_usa_districtofcolumbia_sea_ports,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-77.1197949,38.7916303,-76.909366,38.995968"
Health Facilities [District of Columbia],District of Columbia,HOTOSM United States (District of Columbia) Health Facilities (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:healthcare IS NOT NULL OR amenity IN ('doctors','dentist','clinic','hospital','pharmacy')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|health|health facilities,2020-06-30,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_districtofcolumbia_health_facilities,https://data.humdata.orghttps://export.hotosm.org/downloads/f4fc9e9e-0e04-4367-8361-116fd0d3baea/hotosm_usa_districtofcolumbia_health_facilities_points_shp.zip,2fb28973-c866-400e-ae9d-108250011e73,https://data.humdata.org/dataset/hotosm_usa_districtofcolumbia_health_facilities,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-77.1197949,38.7916303,-76.909366,38.995968"
Airports [District of Columbia],District of Columbia,HOTOSM United States (District of Columbia) Airports (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:aeroway IS NOT NULL OR building = 'aerodrome' OR emergency:helipad IS NOT NULL OR emergency = 'landing_site'Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,airports|aviation|facilities and infrastructure|geodata|helicopter landing zone - hlz|transportation,2020-06-30,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_districtofcolumbia_airports,https://data.humdata.orghttps://export.hotosm.org/downloads/f4fc9e9e-0e04-4367-8361-116fd0d3baea/hotosm_usa_districtofcolumbia_airports_points_shp.zip,5e17db33-590e-4143-9945-360edd35982b,https://data.humdata.org/dataset/hotosm_usa_districtofcolumbia_airports,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-77.1197949,38.7916303,-76.909366,38.995968"
Points of Interest [District of Columbia],District of Columbia,HOTOSM United States (District of Columbia) Points of Interest (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity IS NOT NULL OR man_made IS NOT NULL OR shop IS NOT NULL OR tourism IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,facilities and infrastructure|geodata|points of interest - poi,2020-06-30,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_districtofcolumbia_points_of_interest,https://data.humdata.orghttps://export.hotosm.org/downloads/f4fc9e9e-0e04-4367-8361-116fd0d3baea/hotosm_usa_districtofcolumbia_points_of_interest_points_shp.zip,bde2e06b-35cd-492d-bda8-54ee8787e857,https://data.humdata.org/dataset/hotosm_usa_districtofcolumbia_points_of_interest,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-77.1197949,38.7916303,-76.909366,38.995968"
Financial Services [Florida],Florida,HOTOSM United States (Florida) Financial Services (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity IN ('mobile_money_agent','bureau_de_change','bank','microfinance','atm','sacco','money_transfer','post_office')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,financial institutions|geodata|services,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_florida_financial_services,https://data.humdata.orghttps://export.hotosm.org/downloads/9865cbc6-1262-429e-ab22-794928b87b6b/hotosm_usa_florida_financial_services_points_shp.zip,42352ed0-6a8f-4d2c-ad1b-88fe4235c282,https://data.humdata.org/dataset/hotosm_usa_florida_financial_services,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-87.634896,24.396308,-79.974306,31.000762"
Education Facilities [Florida],Florida,HOTOSM United States (Florida) Education Facilities (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity IN ('kindergarten','school','college','university') OR building IN ('kindergarten','school','college','university')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,education|education facilities - schools|geodata,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_florida_education_facilities,https://data.humdata.orghttps://export.hotosm.org/downloads/9865cbc6-1262-429e-ab22-794928b87b6b/hotosm_usa_florida_education_facilities_points_shp.zip,f5b2e88b-9b6c-4491-b9b5-6d2f1c74f550,https://data.humdata.org/dataset/hotosm_usa_florida_education_facilities,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-87.634896,24.396308,-79.974306,31.000762"
Health Facilities [Florida],Florida,HOTOSM United States (Florida) Health Facilities (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:healthcare IS NOT NULL OR amenity IN ('doctors','dentist','clinic','hospital','pharmacy')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|health|health facilities,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_florida_health_facilities,https://data.humdata.orghttps://export.hotosm.org/downloads/9865cbc6-1262-429e-ab22-794928b87b6b/hotosm_usa_florida_health_facilities_points_shp.zip,e69e1564-1bc2-4712-b3ee-b7a1529df33c,https://data.humdata.org/dataset/hotosm_usa_florida_health_facilities,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-87.634896,24.396308,-79.974306,31.000762"
Railways [Florida],Florida,HOTOSM United States (Florida) Railways (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:railway IN ('rail','station')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,facilities and infrastructure|geodata|railways|transportation,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_florida_railways,https://data.humdata.orghttps://export.hotosm.org/downloads/9865cbc6-1262-429e-ab22-794928b87b6b/hotosm_usa_florida_railways_lines_shp.zip,20d944b4-4a97-464b-a8a1-af5200b478e5,https://data.humdata.org/dataset/hotosm_usa_florida_railways,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-87.634896,24.396308,-79.974306,31.000762"
Sea Ports [Florida],Florida,HOTOSM United States (Florida) Sea Ports (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity = 'ferry_terminal' OR building = 'ferry_terminal' OR port IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,facilities and infrastructure|geodata|logistics|ports|transportation,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_florida_sea_ports,https://data.humdata.orghttps://export.hotosm.org/downloads/9865cbc6-1262-429e-ab22-794928b87b6b/hotosm_usa_florida_sea_ports_points_shp.zip,92d7350a-ce66-4393-8245-d1e0baf53acb,https://data.humdata.org/dataset/hotosm_usa_florida_sea_ports,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-87.634896,24.396308,-79.974306,31.000762"
Airports [Florida],Florida,HOTOSM United States (Florida) Airports (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:aeroway IS NOT NULL OR building = 'aerodrome' OR emergency:helipad IS NOT NULL OR emergency = 'landing_site'Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,airports|aviation|facilities and infrastructure|geodata|helicopter landing zone - hlz|transportation,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_florida_airports,https://data.humdata.orghttps://export.hotosm.org/downloads/9865cbc6-1262-429e-ab22-794928b87b6b/hotosm_usa_florida_airports_points_shp.zip,e37b5f33-71ed-498f-b479-525a0eceecfa,https://data.humdata.org/dataset/hotosm_usa_florida_airports,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-87.634896,24.396308,-79.974306,31.000762"
Waterways [Florida],Florida,HOTOSM United States (Florida) Waterways (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:waterway IS NOT NULL OR water IS NOT NULL OR natural IN ('water','wetland','bay')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|rivers|water bodies - hydrography,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_florida_waterways,https://data.humdata.orghttps://export.hotosm.org/downloads/9865cbc6-1262-429e-ab22-794928b87b6b/hotosm_usa_florida_waterways_lines_shp.zip,a075dffa-9bc0-4f0b-a08f-91c9bf37ea05,https://data.humdata.org/dataset/hotosm_usa_florida_waterways,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-87.634896,24.396308,-79.974306,31.000762"
Points of Interest [Florida],Florida,HOTOSM United States (Florida) Points of Interest (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity IS NOT NULL OR man_made IS NOT NULL OR shop IS NOT NULL OR tourism IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,facilities and infrastructure|geodata|points of interest - poi,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_florida_points_of_interest,https://data.humdata.orghttps://export.hotosm.org/downloads/9865cbc6-1262-429e-ab22-794928b87b6b/hotosm_usa_florida_points_of_interest_points_shp.zip,afb85e8c-764b-49be-95a7-017e56c0840b,https://data.humdata.org/dataset/hotosm_usa_florida_points_of_interest,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-87.634896,24.396308,-79.974306,31.000762"
Buildings [Florida],Florida,HOTOSM United States (Florida) Buildings (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:building IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,buildings|geodata,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_florida_buildings,https://data.humdata.orghttps://export.hotosm.org/downloads/9865cbc6-1262-429e-ab22-794928b87b6b/hotosm_usa_florida_buildings_polygons_shp.zip,e022bd39-caaa-42bf-8294-1f800f92e46b,https://data.humdata.org/dataset/hotosm_usa_florida_buildings,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-87.634896,24.396308,-79.974306,31.000762"
Roads [Florida],Florida,HOTOSM United States (Florida) Roads (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:highway IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|roads|transportation,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_florida_roads,https://data.humdata.orghttps://export.hotosm.org/downloads/9865cbc6-1262-429e-ab22-794928b87b6b/hotosm_usa_florida_roads_lines_shp.zip,78017cb0-a37e-435b-8fe6-05b30e2c0fc4,https://data.humdata.org/dataset/hotosm_usa_florida_roads,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-87.634896,24.396308,-79.974306,31.000762"
Populated Places [Florida],Florida,HOTOSM United States (Florida) Populated Places (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:place IN ('isolated_dwelling','town','village','hamlet','city')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|populated places - settlements,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_florida_populated_places,https://data.humdata.orghttps://export.hotosm.org/downloads/9865cbc6-1262-429e-ab22-794928b87b6b/hotosm_usa_florida_populated_places_points_shp.zip,882281a6-c7a4-437c-a1f6-ea6184d29206,https://data.humdata.org/dataset/hotosm_usa_florida_populated_places,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-87.634896,24.396308,-79.974306,31.000762"
Roads [Georgia],Georgia,HOTOSM United States (Georgia) Roads (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:highway IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|roads|transportation,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_georgia_roads,https://data.humdata.orghttps://export.hotosm.org/downloads/10e0572f-c3c6-4c03-a358-d9adca44656a/hotosm_usa_georgia_roads_lines_shp.zip,3e9e36f6-5bdb-465a-b4dd-893f047c4ead,https://data.humdata.org/dataset/hotosm_usa_georgia_roads,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-85.6052418,30.3556558,-80.751429,35.0006769"
Airports [Georgia],Georgia,HOTOSM United States (Georgia) Airports (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:aeroway IS NOT NULL OR building = 'aerodrome' OR emergency:helipad IS NOT NULL OR emergency = 'landing_site'Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,airports|aviation|facilities and infrastructure|geodata|helicopter landing zone - hlz|transportation,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_georgia_airports,https://data.humdata.orghttps://export.hotosm.org/downloads/10e0572f-c3c6-4c03-a358-d9adca44656a/hotosm_usa_georgia_airports_points_shp.zip,573ac1a2-f3ee-434e-a8ed-ce2358fd7dd6,https://data.humdata.org/dataset/hotosm_usa_georgia_airports,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-85.6052418,30.3556558,-80.751429,35.0006769"
Sea Ports [Georgia],Georgia,HOTOSM United States (Georgia) Sea Ports (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity = 'ferry_terminal' OR building = 'ferry_terminal' OR port IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,facilities and infrastructure|geodata|logistics|ports|transportation,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_georgia_sea_ports,https://data.humdata.orghttps://export.hotosm.org/downloads/10e0572f-c3c6-4c03-a358-d9adca44656a/hotosm_usa_georgia_sea_ports_points_shp.zip,d8dfc75a-82e3-45e3-af1d-81bbd2520b95,https://data.humdata.org/dataset/hotosm_usa_georgia_sea_ports,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-85.6052418,30.3556558,-80.751429,35.0006769"
Points of Interest [Georgia],Georgia,HOTOSM United States (Georgia) Points of Interest (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity IS NOT NULL OR man_made IS NOT NULL OR shop IS NOT NULL OR tourism IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,facilities and infrastructure|geodata|points of interest - poi,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_georgia_points_of_interest,https://data.humdata.orghttps://export.hotosm.org/downloads/10e0572f-c3c6-4c03-a358-d9adca44656a/hotosm_usa_georgia_points_of_interest_points_shp.zip,c38700c8-42dd-401a-8920-a4bed0f3ef17,https://data.humdata.org/dataset/hotosm_usa_georgia_points_of_interest,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-85.6052418,30.3556558,-80.751429,35.0006769"
Health Facilities [Georgia],Georgia,HOTOSM United States (Georgia) Health Facilities (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:healthcare IS NOT NULL OR amenity IN ('doctors','dentist','clinic','hospital','pharmacy')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|health|health facilities,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_georgia_health_facilities,https://data.humdata.orghttps://export.hotosm.org/downloads/10e0572f-c3c6-4c03-a358-d9adca44656a/hotosm_usa_georgia_health_facilities_points_shp.zip,36d46c7d-fa1b-476c-b119-07116ea12acd,https://data.humdata.org/dataset/hotosm_usa_georgia_health_facilities,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-85.6052418,30.3556558,-80.751429,35.0006769"
Waterways [Georgia],Georgia,HOTOSM United States (Georgia) Waterways (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:waterway IS NOT NULL OR water IS NOT NULL OR natural IN ('water','wetland','bay')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|rivers|water bodies - hydrography|waterbodies,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_georgia_waterways,https://data.humdata.orghttps://export.hotosm.org/downloads/10e0572f-c3c6-4c03-a358-d9adca44656a/hotosm_usa_georgia_waterways_lines_shp.zip,3f67f0c3-2fa3-45d7-a910-88559a7a5069,https://data.humdata.org/dataset/hotosm_usa_georgia_waterways,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-85.6052418,30.3556558,-80.751429,35.0006769"
Financial Services [Georgia],Georgia,HOTOSM United States (Georgia) Financial Services (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity IN ('mobile_money_agent','bureau_de_change','bank','microfinance','atm','sacco','money_transfer','post_office')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,financial institutions|geodata|services,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_georgia_financial_services,https://data.humdata.orghttps://export.hotosm.org/downloads/10e0572f-c3c6-4c03-a358-d9adca44656a/hotosm_usa_georgia_financial_services_points_shp.zip,f2536ce1-e3bd-49b7-a0bc-ac24acf97909,https://data.humdata.org/dataset/hotosm_usa_georgia_financial_services,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-85.6052418,30.3556558,-80.751429,35.0006769"
