Title,Date,Publisher,Description,Metadata
Philadelphia Streets - Waste Baskets Big Belly,2016,City of Philadelphia,Big Belly brand waste baskets maintained/collected by the City of Philadelphia.,FullMetadataDisplay.aspx?file=PhillyStreets_WasteBaskets_Big_Belly.xml
Philadelphia Streets - Waste Baskets Wire,2016,City of Philadelphia,Non Big Belly waste baskets maintained/collected by the City of Philadelphia,FullMetadataDisplay.aspx?file=PhillyStreets_WasteBaskets_Wire.xml
Philadelphia Streets - Zipcodes Arc,2016,City of Philadelphia,"The purpose of this dataset is to represent the Zip Code areas for the City of Philadelphia.  The edges of Zip Codes are slightly modified for logical and cartographic purposes.

The arc layer contains data signifying information relating it to the polygon layer. It can tell you if both sides of the arc belong to one of the bounding polygons.  All the arcs, including those with no boundary info, have naming attributes for labeling the polygon borders.  Contact the Streets GIS unit for public consumption.",FullMetadataDisplay.aspx?file=PhillyStreets_Zipcodes_Arc.xml
Philadelphia Streets - Zipcodes Poly,2016,City of Philadelphia,"Philadelphia.  The edges of Zip Codes are slightly modified for logical and cartographic purposes.

This polygon layer has an accompanying arc layer. Certain arcs in the arc layer contain data signifying information relating it to the polygon layer. It can tell you if both sides of the arc belong to one of the bounding polygons.  All the arcs, including those with no boundary info, have naming attributes for labeling the polygon borders.  Contact the Streets GIS unit for public consumption of the corresponding arc layer.",FullMetadataDisplay.aspx?file=PhillyStreets_Zipcodes_Poly.xml
Philadelphia Topographic Contours,1996,City of Philadelphia,"Planimetric Coverage containing the delineation of topographic contours.  Annotation of Contour Line elevations exists.  Annotation viewable at 1"" = 200?",FullMetadataDisplay.aspx?file=philadelphiatopographiccontours1996.xml
Philadelphia Transparcels,2004,City of Philadelphia,This dataset is composed of the entire City of Philadelphia's transparcels based on their legal descriptions. Feature update 2004,FullMetadataDisplay.aspx?file=PhiladelphiaTransparcels201201.xml
Philadelphia Water - Dams,2016,City of Philadelphia,"This point layer represents dams. The Purpose of this data is to describe the asset both locationally and via its attributes which are extensive for a GIS dataset and which are maintained. This data will serve as a platform for planning, analysis and research at PWD.",FullMetadataDisplay.aspx?file=PhillyWater_DAMS.xml
Philadelphia Water - GSI SMP Types,2016,City of Philadelphia,"This layer represents Green Stormwater Infrastructure Stormwater Management Practice types. Integrating Green Stormwater Infrastructure (GSI) into a highly developed area such as Philadelphia requires a decentralized and creative approach to planning and design. Various tools can be implemented to accomplish this, including stormwater planters, rain gardens and green roofs. All of these tools help to reduce runoff volume and filter pollutants by intercepting stormwater runoff before it enters the City's combined sewer system. The Purpose of this data is to describe the asset both locationally and via its attributes which are extensive for a GIS dataset and which are maintained. This data will serve as a platform for planning, analysis and research at PWD.",FullMetadataDisplay.aspx?file=PhillyWater_GSI_SMP_TYPES.xml
Philadelphia Water - Inlet,2016,City of Philadelphia,"This point layer contains all the wastewater and stormwater inlet locations. The Purpose of this data is to describe the asset both locationally and via its attributes which are extensive for a GIS dataset and which are maintained. This data will serve as a platform for planning, analysis and research at PWD.",FullMetadataDisplay.aspx?file=PhillyWater_INLETS.xml
Philadelphia Water - Outfall,2016,City of Philadelphia,"This point layer contains all the stormwater outfalls. The Purpose of this data is to describe the asset both locationally and via its attributes which are extensive for a GIS dataset and which are maintained. This data will serve as a platform for planning, analysis and research at PWD.",FullMetadataDisplay.aspx?file=PhillyWater_OUTFALLS.xml
Philadelphia Water - PWD Parcels,2022,City of Philadelphia,"The primary purpose of PWD_PARCEL layer is to calculate parcel-based stormwater charges for PWD customers under the new parcel-based stormwater billing program.  The layer was created from the DOR_PARCELS layer in 2005 after it was decided that none of the other City parcel layers could meet the needs of PWD's stormwater billing program.  Those needs are generally that the parcel delineations match up to what people actually own, that there is an accurate assessment of the impervious area on the parcel, and that there is owner information associated with the parcel.  Over the past 5 years, PWD has made corrections based off deeds on file with DOR, BRT information, and other City records.  PWD also matched up each DOR parcel to a corresponding BRT record that contained the owner information for that parcel.",FullMetadataDisplay.aspx?file=PhillyWater_PWD_PARCELS2022.xml
Philadelphia Water - Raingauges,2016,City of Philadelphia,The purpose of this data is to describe the Rain Gauges both locationally and via their attributes.,FullMetadataDisplay.aspx?file=PhillyWater_RAINGAUGES.xml
Philadelphia Watercourses Designated for Protection 2012 - line,2016,City of Philadelphia,"Polyline geometric features representing the center flow line of all waterways in Philadelphia only.
Hydrographic polygon features included in Philadelphia Hydrology Map. This map was officially adopted by City Council as the official map of Philadelphia Watercoures Designated for Protection on September 13th, 2012. The geographic data depicts watercourses within Philadelphia County as they appear on the map and will not be edited or updated. For up to date hydrography see (GIS_WATERSHEDS.Hydrographic_Features_Poly). Base Summary: PWD's Office of Watersheds has compiled a geodatabase of Philadelphia hydrographic features for Philadelphia County and its contributing watersheds. The data is comprised of a combination of USGS's National Hydrography Dataset stream flow data, planimetric data digitized by Sanborn in 2004, and data provided by PWD field survey work. Features updated: 09/26/2012 Attributes updated: 09/26/2012 Metadata updated 09/26/2012 Update Frequency - monthly",FullMetadataDisplay.aspx?file=PhiladelphiaWatercoursesDesignatedProtection_Line2016.xml
Philadelphia Watercourses Designated for Protection 2012 - polygon,2016,City of Philadelphia,"Polylgon geometric features representing the waterways and impoundments in Philadelphia only.
Hydrographic polygon features included in Philadelphia Hydrology Map. This map was officially adopted by City Council as the official map of Philadelphia Watercoures Designated for Protection on September 13th, 2012. The geographic data depicts watercourses within Philadelphia County as they appear on the map and will not be edited or updated. For up to date hydrography see (GIS_WATERSHEDS.Hydrographic_Features_Poly). Base Summary: PWD's Office of Watersheds has compiled a geodatabase of Philadelphia hydrographic features for Philadelphia County and its contributing watersheds. The data is comprised of a combination of USGS's National Hydrography Dataset stream flow data, planimetric data digitized by Sanborn in 2004, and data provided by PWD field survey work. Features updated: 09/26/2012 Attributes updated: 09/26/2012 Metadata updated 09/26/2012 Update Frequency - monthly",FullMetadataDisplay.aspx?file=PhiladelphiaWatercoursesDesignatedProtection_Poly2016.xml
Philadelphia Watersheds - Combined Sewer Service Area,2016,City of Philadelphia,Combined Sewer Service area within Philadelphia,FullMetadataDisplay.aspx?file=PhillyWatersheds_Combined_Sewer_Service_Area.xml
Philadelphia Watersheds - Green Water Infrastructure,2016,City of Philadelphia,"Green City, Clean Waters is Philadelphia's 25-year plan to protect and enhance our watersheds by managing stormwater with green infrastructure. This feature class represents Green Stormwater Infrastructure (GSI) locations that are currently in the design phase or have been constructed.",FullMetadataDisplay.aspx?file=PhillyWatersheds_Green_StWater_Infrastructure.xml
Philadelphia Watersheds - GSI Planning Districts,2016,City of Philadelphia,"District planning areas for Green City, Clean Waters stormwater management strategic planning.",FullMetadataDisplay.aspx?file=PhillyWatersheds_GSI_Planning_Districts.xml
Philadelphia Watersheds - GSI Private Projects Regs,2016,City of Philadelphia,Point geometric features representing land development projects in compliance with PWD’s Stormwater Regulations.,FullMetadataDisplay.aspx?file=PhillyWatersheds_GSI_Private_Projects_Regs.xml
Philadelphia Watersheds - Historic Streams Arc,2016,City of Philadelphia,Philadelphia streams as mapped by Charles Ellet in 1842 and Previous study of historic streams conducted by PWD.,FullMetadataDisplay.aspx?file=PhillyWatersheds_HistoricStreams_Arc.xml
Philadelphia Watersheds - Historic Streams Polygon,2016,City of Philadelphia,"Philadelphia shoreline of Delaware River and Schuylkill River, digitized as mapped by Charles Ellet in 1842. Data is digitized from georeferenced map scans.",FullMetadataDisplay.aspx?file=PhillyWatersheds_HistoricStreams_Poly.xml
Philadelphia Watersheds - Hydrographic Features Arc,2016,City of Philadelphia,Polyline geometric features representing the center flow line of all waterways in Philadelphia's five major watersheds.,FullMetadataDisplay.aspx?file=PhillyWatersheds_Hydrographic_Features_Arc.xml
Philadelphia Watersheds - Hydrographic Features Polygon,2016,City of Philadelphia,Polygon geometric features representing the waterways and impoundments in Philadelphia's five major watersheds.,FullMetadataDisplay.aspx?file=PhillyWatersheds_Hydrographic_Features_Poly.xml
Philadelphia Watersheds - Major Watersheds Philadelphia,2016,City of Philadelphia,Polygon feature class representing major watersheds in the Philadelphia and Region.,FullMetadataDisplay.aspx?file=PhillyWatersheds_Major_Watersheds_Phila.xml
Philadelphia Watersheds - Major Watersheds Regional,2016,City of Philadelphia,Polygon feature class represtenting major watersheds in the Philadelphia Region.,FullMetadataDisplay.aspx?file=PhillyWatersheds_Major_Watersheds_Regional.xml
Philadelphia Watersheds - PWD Monitoring Locations,2016,City of Philadelphia,"Locations where PWD has conducted surface water quality sampling and other types of stream assessments. Monitoring activities may include water quality grab sampling, habitat assessment, and sampling of invertebrates, fish and algae from wadeable streams. Not all assessment activities are performed at all sites.",FullMetadataDisplay.aspx?file=PhillyWatersheds_PWD_MonitoringLocations.xml
Philadelphia Watersheds - Rain Barrel Installed,2016,City of Philadelphia,Rain Barrel installation locations prior to RainCheck.,FullMetadataDisplay.aspx?file=PhillyWatersheds_RainBarrel_Installed.xml
Philadelphia Watersheds - Rain Check Installed,2016,City of Philadelphia,RainCheck program installation sites,FullMetadataDisplay.aspx?file=PhillyWatersheds_RainCheck_Installed.xml
Philadelphia Watersheds - Zoning Hydrology Line 2012,2016,City of Philadelphia,"Hydrographic polygon features included in Philadelphia Hydrology Map. This map was officially adopted by City Council as the official map of Philadelphia Watercoures Designated for Protection on September 13th, 2012. The geographic data depicts watercourses within Philadelphia County as they appear on the map and will not be edited or updated.",FullMetadataDisplay.aspx?file=PhillyWatersheds_Zoning_Hydrology_Line_2012.xml
Philadelphia Watersheds - Zoning Hydrology polygon 2012,2016,City of Philadelphia,"Hydrographic polygon features included in Philadelphia Hydrology Map. This map was officially adopted by City Council as the official map of Philadelphia Watercoures Designated for Protection on September 13th, 2012. The geographic data depicts watercourses within Philadelphia County as they appear on the map and will not be edited or updated.",FullMetadataDisplay.aspx?file=PhillyWatersheds_ZONING_HYDROLOGY_POLY_2012.xml
Philadelphia Zoning Registered Community Organizations,2016,City of Philadelphia,"The Zoning Code establishes a registry of community organizations to be managed by the Philadelphia City Planning Commission. The RCO system is designed to improve community notification of proposed developments and make community involvement more predictable across the city. RCOs became effective on August 22, 2012.  Polygon boundaries of Registered Community Organizations (RCO) as established under Section 14-303 (12) of the City of Philadelphia Zoning Code enacted December 15, 2011 and made effective August 22, 2012. RCO’s register annually with the City Planning Commission and are notified of projects requiring Zoning Board approval or Civic Design Review. RCO boundaries may overlap as permitted by the Zoning Code.KEY ATTRIBUTE FIELDS:RCO Name: Name of Registered Community OrganizationType: Type of RCO.Expire Date: Date RCO registration with PCPC expiresExpire Year: Year RCO registration with PCPC expires Philadelphia Zoning-Related Websites:Registered Community Organizations -- http://www.phila.gov/CityPlanning/projectreviews/Pages/RegisteredCommunityOrganizationsZoning Code -- http://www.amlegal.com/library/pa/philadelphia.shtml and navigate to Title 14Zonng Map -- http://www.phila.gov/map On pop-up menu scroll down to 'Zoning'Zoning Administration Manual -- http://www.phila.gov/CityPlanning/projectreviews/Pages/Zoning.aspxDATA DEVELOPMENT:Features produced in ArcGIS Desktop using PA South Stateplane coordinates, NAD83, US Foot. Boundaries were constructed by PCPC using self-reported geographic descriptions by the RCO. Feature Update Date: 01-2013",FullMetadataDisplay.aspx?file=PhiladelphiaZoningRegisteredCommunityOrganizations2016.xml
United States Protected Areas (PAD-US 1.1 (CBI Edition)),2010,Conservation Biology Institute,"Protected areas are cornerstones of national and international conservation strategies. By way of these designations, lands and waters are set-aside in-perpetuity to preserve functioning natural ecosystems, act as refuges for species, and maintain ecological processes. Complementary conservation strategies preserve land for the sustainable use of natural resources, or for the protection of significant geologic and cultural features or open space. PAD-US 1.1 (CBI Edition) attempts to include all available spatial data on these places. It is our goal to publish the most comprehensive geospatial data set of U. S. protected areas to date.  

PAD-US 1.1 (CBI Edition) is limited to the continental U.S.,  Alaska, and Hawaii. It does not include protected areas data for U.S. territories at this time.

The PAD-US 1.1 (CBI Edition) data set portrays the nation's protected areas with a standardized spatial geometry and numerous valuable attributes on land ownership, management designations, and conservation status (using national GAP and international IUCN coding systems).  The PAD-US 1.1 (CBI Edition) defines protected area to include all lands dedicated to the preservation of biology diversity and to other natural, recreation and cultural uses, and managed for these purposes through legal or other effective means (adapted from IUCN definition). The database represents the full range of conservation designations that preserve these natural resources in the United States. Our database does not distinguish a protection threshold above which biodiversity is considered secure. Instead, a complete suite of protected area attributes are provided for each polygon with the purpose of giving users the information they need to define the most relevant conservation thresholds for their own objectives and requirements.  Collaborating with the nation's leading data providers, the goal is to provide an annual update.",FullMetadataDisplay.aspx?file=UnitedStatesProtectedAreas2010.xml
Crawford County -  BLS (Basic Life Support - EMT) ambulance service coverage,2018,Crawford County,"BLS (Basic Life Support - EMT) ambulance coverage within Crawford County, PA",FullMetadataDisplay.aspx?file=CrawfordCounty_BLS_Coverage201808.xml
Crawford County - Address Points,2018,Crawford County,"Crawford County, Pennsylvania address points. Location and information of address points in Crawford County,Pennsylvania. This feature service has restricted fields available for this open data version. Certain fields have been redacted. The full dataset (as seen via the GIS mapping applications) is available via cost by contacting Crawford County. The full dataset available at cost provides all records that are not redacted by law. This is a feature service and data can change at anytime without notice.",FullMetadataDisplay.aspx?file=CrawfordCounty_AddressPoints201808.xml
Crawford County - Airports,2018,Crawford County,Location of aiports and information about them within Crawford County PA,FullMetadataDisplay.aspx?file=CrawfordCounty_Airports201805.xml
Crawford County - ALS (Advanced Life Support - paramedic) service coverage,2018,Crawford County,"Advanced Life Support (ALS) / paramedic service coverage within Crawford County, PA",FullMetadataDisplay.aspx?file=CrawfordCounty_ALS_Zones201808.xml
Crawford County - Assessment ID Points,2018,Crawford County,"Crawford County, Pennsylvania ID Points. ID points compliment the tax parcel layer and provide the location of subdivisions (general area) and individual lots. This is a feature service and data can change at anytime without notice.",FullMetadataDisplay.aspx?file=CrawfordCounty_ID_pt201805.xml
Crawford County - Campgrounds,2018,Crawford County,"Campgrounds location and individual site information within Crawford County, PA",FullMetadataDisplay.aspx?file=CrawfordCounty_Campgrounds201805.xml
Crawford County - Cemeteries,2018,Crawford County,"Locations of cemeteries, and access road information",FullMetadataDisplay.aspx?file=CrawfordCounty_Cemeteries201805.xml
Crawford County - Fire Department Coverage,2018,Crawford County,"Fire department area coverage in Crawford County, PA",FullMetadataDisplay.aspx?file=CrawfordCounty_FireDeptCoverage201808.xml
Crawford County - Lakes,2018,Crawford County,Lake boundaries were digitized from various years of ortho-imagery,FullMetadataDisplay.aspx?file=CrawfordCounty_Lakes201805.xml
Crawford County - Landmarks,2020,Crawford County,"Location of landmarks and places of interest within Crawford County, PA",FullMetadataDisplay.aspx?file=CrawfordCounty_Landmarks202006.xml
Crawford County - Municipal Election Districts,2018,Crawford County,Crawford County PA municipal election precincts areas,FullMetadataDisplay.aspx?file=CrawfordCounty_MunicipalElectionDistricts201805.xml
Crawford County - Parcels,2020,Crawford County,Tax parcels for Crawford County PA. This information is constantly updated and maintained by the Crawford county assessment office (814-333-7302) or gisassessment@co.crawford.pa.us,FullMetadataDisplay.aspx?file=CrawfordCounty_Parcels202006.xml
Crawford County - Pennsylvania House Districts,2018,Crawford County,Voting districts for the PA House of Representatives within Crawford County PA,FullMetadataDisplay.aspx?file=CrawfordCounty_PAHouseDistricts201805.xml
Crawford County - Pennsylvania Senate Districts,2018,Crawford County,PA Senate voting districts within Crawford County PA,FullMetadataDisplay.aspx?file=CrawfordCounty_PASenateDistricts201805.xml
Crawford County - Police Department Coverage,2018,Crawford County,Municipal and State Police reponse areas,FullMetadataDisplay.aspx?file=CrawfordCounty_PoliceDeptCoverage201808.xml
Crawford County - Polling Place Locations,2020,Crawford County,Polling place locations and information within Crawford County PA,FullMetadataDisplay.aspx?file=CrawfordCounty_PollingPlaces202006.xml
Crawford County - Public Safety Department Locations,2018,Crawford County,"Locations of Fire, EMS,and Police stations and other miscelanous Public Safety agencies in Crawford County, PA",FullMetadataDisplay.aspx?file=CrawfordCounty_PublicSafteyDept201805.xml
Crawford County - QRS (Quick Response Service) Department Coverage,2018,Crawford County,"QRS (Quick Response Service) coverage areas within Crawford County, PA. QRS service is provided by fire departments to provide basic care until a BLS or ALS ambulance service can arrive. These are commonly found in areas in which a department doesn't run BLS/ALS services.",FullMetadataDisplay.aspx?file=CrawfordCounty_QRS_DeptCoverage201808.xml
Crawford County - Railroads,2018,Crawford County,Location and information of railroad tracks in Crawford County PA. This is a feature service and data can change at anytime without notice.,FullMetadataDisplay.aspx?file=CrawfordCounty_Railroads201805.xml
Crawford County - Recreational Trails,2018,Crawford County,"Location and information of recreational public trails used for hiking, biking, walking, running within Crawford County, PA",FullMetadataDisplay.aspx?file=CrawfordCounty_RecTrails201805.xml
Crawford County - Rescue Department Coverage,2018,Crawford County,"Rescue department coverage areas within Crawford County, PA",FullMetadataDisplay.aspx?file=CrawfordCounty_RescueDeptCoverage201808.xml
Crawford County - Rivers/Streams,2018,Crawford County,Rivers/streams digitized from various years of ortho-imagery,FullMetadataDisplay.aspx?file=CrawfordCounty_RiversStreams201805.xml
Crawford County - School Districts,2018,Crawford County,"School district coverage areas in Crawford County, PA",FullMetadataDisplay.aspx?file=CrawfordCounty_SchoolDistricts201805.xml
Crawford County - Softlines,2018,Crawford County,"Crawford County, Pennsylvania softlines. Softlines compliment the tax parcel layer and show information such as (not limited to) land hooks, streams, railroads, lot lines, free hooks. This is a feature service and data can change at anytime without notice.",FullMetadataDisplay.aspx?file=CrawfordCounty_Softlines201808.xml
Crawford County - Street Centerlines,2018,Crawford County,"Crawford County, Pennsylvania street centerline. Street centerline location and information within Crawford County, Pennsylvania. This is a feature service and data can change at anytime without notice.",FullMetadataDisplay.aspx?file=CrawfordCounty_StreetCenterlines201808.xml
Crawford County - US Congressional Districts,2018,Crawford County,"US Congressional voting districts within Crawford County, PA",FullMetadataDisplay.aspx?file=CrawfordCounty_USCongressionalDistricts201805.xml
Crawford County - US Senate Voting Districts,2018,Crawford County,"US Senate Voting Districts within Crawford County, PA",FullMetadataDisplay.aspx?file=CrawfordCounty_USSenateDistricts201805.xml
Cumberland County - Address Points,2022,Cumberland County,"Address Points for Cumberland County, PA.  These represent addressable structures.",FullMetadataDisplay.aspx?file=CumberlandCounty_Address_Points202211.xml
Cumberland County - Land Trails,2022,Cumberland County,"Hiking and multi-use land trails in Cumberland County, Pennsylvania.",FullMetadataDisplay.aspx?file=CumberlandCounty_Trails202211.xml
Cumberland County - Parcels,2021,Cumberland County,"Real estate boundaries and parcel identification number for Cumberland County, Pennsylvania. These boundaries do not represent survey accuracy",FullMetadataDisplay.aspx?file=CumberlandCounty_TaxParcels202109.xml
Cumberland County - Public Parks Natural Areas,2022,Cumberland County,"Public parks located in Cumberland County, Pennsylvania.",FullMetadataDisplay.aspx?file=CumberlandCounty_Public_Parks_Natural_Areas202211.xml
Cumberland County - Road Centerlines,2022,Cumberland County,"Real estate boundaries and parcel identification number for Cumberland County, Pennsylvania. These boundaries do not represent survey accuracy",FullMetadataDisplay.aspx?file=CumberlandCounty_Road_Centerlines202211.xml
Dauphin County - Parcels,2022,Dauphin County,"The parcels are intended to provide a graphical representation of deeded properties in Dauphin County and be used for basemapping, thematic mapping and analysis.",FullMetadataDisplay.aspx?file=DauphinCountyParcels202205.xml
Dauphin County - Streets,2022,Dauphin County,"Road centerlines for Dauphin County. Used for the emergency dispatch system, mapping, and reference.",FullMetadataDisplay.aspx?file=DauphinCountyStreets202205.xml
PAMAP  Spatial Energy Imagery,2011,DCNR PAMAP Program,"Half meter GSD represented in Geographic Decimal Degrees, natural color (RGB), 8-bit per band digital orthophotography for approximately 14,035 square miles in Pennsylvania. The imagery was collected using the Leica Geosystems ADS40-SH51 during Fall, 2010 and Spring, 2011 at an average altitude of 4,800 meters above ground level. An auto correlated elevation model was used as vertical control. Airborne GPS/IMU was used as a basis for Analytical Aerial Triangulation (AT).  Following rectification of imagery, manually placed seamlines were used to mosaic into a seamless coverage.  The orthophotography is georeferenced to Geographic NAD83 decimal degrees.",FullMetadataDisplay.aspx?file=PAMAP_SpatialEnergy_2011.xml
PAMAP  Spatial Energy Imagery - Tile Index,2011,DCNR PAMAP Program,"Tile Index - Half meter GSD represented in Geographic Decimal Degrees, natural color (RGB), 8-bit per band digital orthophotography for approximately 14,035 square miles in Pennsylvania. The imagery was collected using the Leica Geosystems ADS40-SH51 during Fall, 2010 and Spring, 2011 at an average altitude of 4,800 meters above ground level. An auto correlated elevation model was used as vertical control. Airborne GPS/IMU was used as a basis for Analytical Aerial Triangulation (AT).  Following rectification of imagery, manually placed seamlines were used to mosaic into a seamless coverage.  The orthophotography is georeferenced to Geographic NAD83 decimal degrees.",FullMetadataDisplay.aspx?file=PAMAP_SpatialEnergy_2011.xml
PAMAP iCubed Imagery,2010,DCNR PAMAP Program,(2010) Pennsylvania area natural color seamless orthoimagery acquired by Aerials Express at a 45cm pixel-resolution. Flight operations began on 12/11/09 and ended on 04/10/10 using an (DMC) camera with an approximate forward overlap of 60% and side overlap of 30% with an approximate Ground Sample Distance of (44 cm). The dataset is projected as Universal Transverse Mercator (UTM) 17 on the North American Datum of 1983. The PAMAP Program LiDAR Data of Pennsylvania; West Virginia Statewide Digital Elevation Models; USGS National Elevation Dataset (NED) - (Used in the respective sequential order) were utilized as the Digital Elevation Model in ortho-processing.,FullMetadataDisplay.aspx?file=PAMAP_iCubed_2010.xml
PAMAP iCubed Imagery  - Tile Index North,2010,DCNR PAMAP Program,TILE INDEX North - (2010) Pennsylvania area natural color seamless orthoimagery acquired by Aerials Express at a 45cm pixel-resolution. Flight operations began on 12/11/09 and ended on 04/10/10 using an (DMC) camera with an approximate forward overlap of 60% and side overlap of 30% with an approximate Ground Sample Distance of (44 cm). The dataset is projected as Universal Transverse Mercator (UTM) 17 on the North American Datum of 1983. The PAMAP Program LiDAR Data of Pennsylvania; West Virginia Statewide Digital Elevation Models; USGS National Elevation Dataset (NED) - (Used in the respective sequential order) were utilized as the Digital Elevation Model in ortho-processing.,FullMetadataDisplay.aspx?file=PAMAP_iCubed2010_TileIndex.xml
PAMAP iCubed Imagery  - Tile Index South,2010,DCNR PAMAP Program,TILE INDEX South - (2010) Pennsylvania area natural color seamless orthoimagery acquired by Aerials Express at a 45cm pixel-resolution. Flight operations began on 12/11/09 and ended on 04/10/10 using an (DMC) camera with an approximate forward overlap of 60% and side overlap of 30% with an approximate Ground Sample Distance of (44 cm). The dataset is projected as Universal Transverse Mercator (UTM) 17 on the North American Datum of 1983. The PAMAP Program LiDAR Data of Pennsylvania; West Virginia Statewide Digital Elevation Models; USGS National Elevation Dataset (NED) - (Used in the respective sequential order) were utilized as the Digital Elevation Model in ortho-processing.,FullMetadataDisplay.aspx?file=PAMAP_iCubed2010_TileIndex.xml
PAMAP Program -  DEM Mosaics by Lidar Delivery Zones,2006 - 2008,DCNR PAMAP Program,"Mosaics of PAMAP DEMs by PAMAP Lidar Delivery Zones -

This dataset, produced by the PAMAP Program, consists of a raster digital elevation model with a horizontal ground resolution of 3.2 feet.  The model was constructed from PAMAP LiDAR (Light Detection and Ranging) elevation points. PAMAP data are organized into blocks, which do not have gaps or overlaps, that represent 10,000 feet by 10,000 feet on the ground. The coordinate system for blocks in the northern half of the state is Pennsylvania State Plane North (datum:NAD83, units: feet); blocks in the southern half of the state are in Pennsylvania State Plane South. A block name is formed by concatenating the first four digits of the State Plane northing and easting defining the block's northwest corner, the State identifier ""PA"", and the State Plane zone designator ""N"" or ""S"" (e.g. 45001210PAS).",FullMetadataDisplay.aspx?file=PAMAP_DEMmosaics.xml
PAMAP Program -  LiDAR Breaklines,2006 - 2008,DCNR PAMAP Program,"This dataset, produced by the PAMAP Program, consists of topographic contours mapped at an interval of 2 feet. Contours were derived from a bare-earth digital elevation model constructed from PAMAP LiDAR (Light Detection and Ranging) elevation points. PAMAP data are organized into blocks, which do not have gaps or overlaps, that represent 10,000 feet by 10,000 feet on the ground. The coordinate system for blocks in the northern half of the state is Pennsylvania State Plane North (datum:NAD83, units: feet); blocks in the southern half of the state are in Pennsylvania State Plane South. A block name is formed by concatenating the first four digits of the State Plane northing and easting defining the block's northwest corner, the State identifier ""PA"", and the State Plane zone designator ""N"" or ""S"" (e.g. 45001210PAS).",FullMetadataDisplay.aspx?file=PAMAP_Breaklines.xml
PAMAP Program - 3.2 ft Digital Elevation Model,2006 - 2008,DCNR PAMAP Program,"This dataset, produced by the PAMAP Program, consists of a raster digital elevation model with a horizontal ground resolution of 3.2 feet.  The model was constructed from PAMAP LiDAR (Light Detection and Ranging) elevation points. PAMAP data are organized into blocks, which do not have gaps or overlaps, that represent 10,000 feet by 10,000 feet on the ground. The coordinate system for blocks in the northern half of the state is Pennsylvania State Plane North (datum:NAD83, units: feet); blocks in the southern half of the state are in Pennsylvania State Plane South. A block name is formed by concatenating the first four digits of the State Plane northing and easting defining the block's northwest corner, the State identifier ""PA"", and the State Plane zone designator ""N"" or ""S"" (e.g. 45001210PAS).",FullMetadataDisplay.aspx?file=PAMAP_DEM.xml
PAMAP Program - Buildings (Points),2007,DCNR PAMAP Program,This dataset consists of building/structure/address points aggregated by the PAMAP Program from data supplied by various Pennsylvania county governments.  Additional information is available at the PAMAP website: www.dcnr.state.pa.us/topogeo/pamap.,FullMetadataDisplay.aspx?file=PAMAP_BuildingPoint2007.xml
PAMAP Program - Buildings (Polygon),2007,DCNR PAMAP Program,This dataset consists of building outlines aggregated by the PAMAP Program from data supplied by various Pennsylvania county governments.  Additional information is available at the PAMAP website: www.dcnr.state.pa.us/topogeo/pamap.,FullMetadataDisplay.aspx?file=PAMAP_BuildingPolygon2007.xml
PAMAP Program - Color Orthophotos Cycle 1,2003 - 2006,DCNR PAMAP Program,"Orthoimagery for south-central Pennsylvania captured in April of 2003. An orthoimage is remotely sensed image data in which displacement of features in the image caused by terrain relief and sensor orientation have been mathematically removed. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map. For this dataset, the natural color orthoimages were produced at 2-feet pixel resolution. The design accuracy is estimated not to exceed 4.8 feet at the 95% confidence level. Each orthoimage provides imagery for a 10,000 by 10,000 feet block on the ground. The projected coordinate system is Pennsylvania State Plane with a NAD83 datum. There is no image overlap been adjacent files. The ortho image filenames were derived from the northwest corner of each ortho tile using the first four digits of the northing and easting coordinates referenced to the Pennsylvania State Plane coordinate system, followed by the State designator ""PA"", and the State Plane zone designator ""S"".",FullMetadataDisplay.aspx?file=PAMAP_cycle1.xml
PAMAP Program - Color Orthophotos Cycle 2,2007 - 2008,DCNR PAMAP Program,"This dataset, produced by the PAMAP Program, consists of an orthorectified digital raster image (i.e. orthoimage) with a horizontal ground resolution of 1 foot.  An orthoimage is a remotely sensed image that has been positionally corrected for camera lens distortion, vertical displacement, and variations in aircraft altitude and orientation.  Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map.  Source images were captured in natural color at a negative scale of 1:19200.  PAMAP data are organized into blocks, which do not have gaps or overlaps, that represent 10,000 feet by 10,000 feet on the ground. The coordinate system for blocks in the northern half of the state is Pennsylvania State Plane North (datum:NAD83, units: feet); blocks in the southern half of the state are in Pennsylvania State Plane South. A block name is formed by concatenating the first four digits of the State Plane northing and easting defining the block's northwest corner, the State identifier ""PA"", and the State Plane zone designator ""N"" or ""S"" (e.g. 45001210PAS).",FullMetadataDisplay.aspx?file=PAMAP_cycle2.xml
